Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Russell Westbrook;2016-2017;REG;Thunder;81;34.59;31.58;1.72;9.00;10.72;10.38;1.67;0.38;5.38;2.35;10.17;23.95;0.425;2.47;7.20;0.343;8.77;10.37;0.845
James Harden;2016-2017;REG;Rockets;81;36.38;29.09;1.16;7.01;8.17;11.19;1.51;0.46;5.70;2.65;8.32;18.91;0.440;3.23;9.33;0.347;9.21;10.88;0.847
Isaiah Thomas;2016-2017;REG;Celtics;76;33.81;28.93;0.57;2.14;2.71;5.91;0.91;0.16;2.74;2.20;8.97;19.36;0.464;3.22;8.49;0.380;7.76;8.54;0.909
Anthony Davis;2016-2017;REG;Pelicans;75;36.10;28.01;2.36;9.61;11.97;2.11;1.31;2.24;2.41;2.24;10.28;20.37;0.505;0.53;1.79;0.298;6.92;8.63;0.802
DeMar DeRozan;2016-2017;REG;Raptors;74;35.41;27.30;0.95;4.28;5.23;3.92;1.00;0.18;2.45;1.81;9.74;20.88;0.467;0.45;1.68;0.266;7.36;8.74;0.842
Damian Lillard;2016-2017;REG;Trail Blazers;75;35.91;26.99;0.61;4.28;4.89;5.84;0.93;0.25;2.61;2.03;8.81;19.84;0.444;2.85;7.69;0.371;6.51;7.27;0.895
DeMarcus Cousins;2016-2017;REG;Kings, Pelicans;72;34.24;26.97;2.08;8.96;11.04;4.63;1.39;1.32;3.74;3.86;8.99;19.88;0.452;1.82;5.06;0.360;7.18;9.31;0.772
LeBron James;2016-2017;REG;Cavaliers;74;37.76;26.41;1.31;7.35;8.66;8.73;1.23;0.58;4.08;1.81;9.95;18.16;0.548;1.68;4.62;0.363;4.84;7.18;0.674
Kawhi Leonard;2016-2017;REG;Spurs;74;33.44;25.51;1.08;4.70;5.78;3.50;1.76;0.73;2.07;1.65;8.59;17.72;0.485;1.99;5.22;0.381;6.34;7.20;0.880
Stephen Curry;2016-2017;REG;Warriors;79;33.40;25.30;0.77;3.71;4.48;6.62;1.81;0.23;3.01;2.32;8.54;18.27;0.468;4.10;9.99;0.411;4.11;4.58;0.898
Kyrie Irving;2016-2017;REG;Cavaliers;72;35.07;25.22;0.72;2.43;3.15;5.82;1.17;0.33;2.47;2.18;9.32;19.72;0.473;2.46;6.13;0.401;4.13;4.56;0.905
Karl-Anthony Towns;2016-2017;REG;Timberwolves;82;36.96;25.13;3.62;8.62;12.24;2.68;0.72;1.26;2.59;2.94;9.78;18.05;0.542;1.23;3.37;0.366;4.34;5.22;0.832
Kevin Durant;2016-2017;REG;Warriors;62;33.39;25.08;0.63;7.65;8.27;4.85;1.08;1.60;2.23;1.89;8.89;16.55;0.537;1.89;5.03;0.375;5.42;6.19;0.875
Jimmy Butler;2016-2017;REG;Bulls;76;36.96;23.89;1.70;4.47;6.17;5.50;1.89;0.41;2.08;1.47;7.50;16.47;0.455;1.20;3.26;0.367;7.70;8.89;0.865
Paul George;2016-2017;REG;Pacers;75;35.86;23.67;0.77;5.83;6.60;3.35;1.60;0.35;2.89;2.75;8.29;17.99;0.461;2.60;6.60;0.394;4.48;4.99;0.898
Andrew Wiggins;2016-2017;REG;Timberwolves;82;37.18;23.57;1.23;2.78;4.01;2.32;0.99;0.34;2.29;2.23;8.65;19.11;0.452;1.26;3.51;0.358;5.02;6.61;0.760
Kemba Walker;2016-2017;REG;Hornets;79;34.67;23.16;0.56;3.41;3.96;5.49;1.09;0.25;2.13;1.51;8.14;18.35;0.443;3.04;7.61;0.399;3.85;4.54;0.847
John Wall;2016-2017;REG;Wizards;78;36.35;23.14;0.73;3.51;4.24;10.63;2.04;0.64;4.13;1.94;8.29;18.37;0.452;1.14;3.47;0.328;5.41;6.76;0.801
Bradley Beal;2016-2017;REG;Wizards;77;34.86;23.10;0.68;2.40;3.08;3.45;1.10;0.27;2.03;2.19;8.27;17.18;0.481;2.90;7.18;0.403;3.66;4.44;0.825
CJ McCollum;2016-2017;REG;Trail Blazers;80;34.95;22.96;0.75;2.91;3.66;3.58;0.90;0.56;2.15;2.53;8.65;18.03;0.480;2.31;5.50;0.420;3.35;3.68;0.912
Giannis Antetokounmpo;2016-2017;REG;Bucks;80;35.57;22.90;1.79;6.95;8.74;5.43;1.64;1.86;2.91;3.08;8.20;15.71;0.522;0.61;2.25;0.272;5.89;7.65;0.770
