Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Stephen Curry;2015-2016;REG;Warriors;79;34.18;30.06;0.86;4.58;5.44;6.67;2.14;0.19;3.30;2.04;10.19;20.22;0.504;5.09;11.23;0.453;4.59;5.06;0.907
James Harden;2015-2016;REG;Rockets;82;38.11;28.98;0.77;5.35;6.12;7.46;1.68;0.62;4.56;2.79;8.66;19.72;0.439;2.88;8.01;0.359;8.78;10.21;0.860
Kevin Durant;2015-2016;REG;Thunder;72;35.80;28.18;0.64;7.56;8.19;5.00;0.94;1.18;3.47;1.90;9.69;19.18;0.505;2.58;6.67;0.387;6.21;6.92;0.898
DeMarcus Cousins;2015-2016;REG;Kings;65;34.55;26.89;2.43;9.03;11.46;3.29;1.55;1.40;3.83;3.63;9.25;20.49;0.451;1.08;3.23;0.333;7.32;10.20;0.718
LeBron James;2015-2016;REG;Cavaliers;76;35.64;25.26;1.46;5.97;7.43;6.74;1.37;0.64;3.28;1.88;9.70;18.63;0.520;1.14;3.71;0.309;4.72;6.46;0.731
Damian Lillard;2015-2016;REG;Trail Blazers;75;35.67;25.05;0.60;3.43;4.03;6.83;0.87;0.37;3.23;2.20;8.24;19.65;0.419;3.05;8.13;0.375;5.52;6.19;0.892
Anthony Davis;2015-2016;REG;Pelicans;61;35.48;24.28;2.13;8.15;10.28;1.90;1.28;2.05;1.98;2.43;9.18;18.64;0.493;0.57;1.77;0.324;5.34;7.05;0.758
Russell Westbrook;2015-2016;REG;Thunder;80;34.37;23.48;1.81;6.03;7.84;10.45;2.04;0.25;4.28;2.50;8.20;18.05;0.454;1.26;4.26;0.296;5.81;7.16;0.812
DeMar DeRozan;2015-2016;REG;Raptors;78;35.95;23.46;0.82;3.65;4.47;4.03;1.05;0.27;2.23;2.14;7.87;17.65;0.446;0.60;1.78;0.338;7.12;8.37;0.850
Paul George;2015-2016;REG;Pacers;81;34.80;23.14;0.98;5.98;6.95;4.06;1.88;0.36;3.27;2.84;7.47;17.88;0.418;2.59;6.98;0.372;5.60;6.52;0.860
Isaiah Thomas;2015-2016;REG;Celtics;82;32.25;22.23;0.56;2.40;2.96;6.21;1.11;0.11;2.68;2.04;7.21;16.85;0.428;2.04;5.67;0.359;5.78;6.63;0.871
Klay Thompson;2015-2016;REG;Warriors;80;33.33;22.14;0.44;3.39;3.83;2.08;0.75;0.63;1.73;1.90;8.14;17.33;0.470;3.45;8.11;0.425;2.41;2.76;0.873
Carmelo Anthony;2015-2016;REG;Knicks;72;35.14;21.85;1.36;6.38;7.74;4.15;0.86;0.53;2.44;2.50;7.88;18.15;0.434;1.46;4.31;0.339;4.64;5.60;0.829
Blake Griffin;2015-2016;REG;Clippers;35;33.44;21.40;1.49;6.91;8.40;4.86;0.80;0.49;2.37;2.71;8.60;17.23;0.499;0.17;0.51;0.333;4.03;5.54;0.727
Kyle Lowry;2015-2016;REG;Raptors;77;37.03;21.22;0.71;4.03;4.74;6.42;2.05;0.44;2.92;2.74;6.65;15.56;0.427;2.75;7.09;0.388;5.17;6.38;0.811
Kawhi Leonard;2015-2016;REG;Spurs;72;33.05;21.18;1.35;5.53;6.88;2.58;1.78;0.99;1.46;1.85;7.67;15.15;0.506;1.79;4.04;0.443;4.06;4.64;0.874
Jimmy Butler;2015-2016;REG;Bulls;67;36.92;20.88;1.18;4.18;5.36;4.79;1.64;0.64;1.97;1.85;7.01;15.43;0.455;0.96;3.07;0.311;5.90;7.09;0.832
Kemba Walker;2015-2016;REG;Hornets;81;35.62;20.85;0.69;3.73;4.42;5.20;1.57;0.48;2.11;1.37;7.01;16.44;0.426;2.25;6.05;0.371;4.58;5.41;0.847
CJ McCollum;2015-2016;REG;Trail Blazers;80;34.75;20.83;0.59;2.65;3.24;4.26;1.21;0.30;2.45;2.34;8.01;17.90;0.448;2.46;5.91;0.416;2.34;2.83;0.827
Andrew Wiggins;2015-2016;REG;Timberwolves;81;35.12;20.68;1.32;2.31;3.63;2.02;0.96;0.57;2.25;2.04;7.33;15.98;0.459;0.70;2.35;0.300;5.31;6.98;0.761
Brook Lopez;2015-2016;REG;Nets;73;33.65;20.56;2.81;5.05;7.86;2.01;0.79;1.70;2.40;2.95;8.10;15.86;0.510;0.03;0.19;0.143;4.34;5.52;0.787
Eric Bledsoe;2015-2016;REG;Suns;31;34.15;20.39;0.58;3.45;4.03;6.13;2.03;0.61;3.58;2.42;7.19;15.87;0.453;1.55;4.16;0.372;4.45;5.55;0.802
John Wall;2015-2016;REG;Wizards;77;36.16;19.88;0.55;4.36;4.91;10.26;1.88;0.77;4.13;2.06;7.43;17.52;0.424;1.49;4.25;0.352;3.53;4.47;0.791
Gordon Hayward;2015-2016;REG;Jazz;80;36.16;19.73;0.76;4.20;4.96;3.70;1.19;0.34;2.53;2.29;6.51;15.03;0.433;1.79;5.13;0.349;4.91;5.96;0.824
Kyrie Irving;2015-2016;REG;Cavaliers;53;31.46;19.64;0.81;2.13;2.94;4.70;1.06;0.34;2.34;2.02;7.43;16.58;0.448;1.58;4.91;0.323;3.19;3.60;0.885
Brandon Knight;2015-2016;REG;Suns;52;35.97;19.58;0.69;3.19;3.88;5.06;1.17;0.38;3.38;2.38;7.13;17.21;0.415;2.31;6.73;0.343;3.00;3.52;0.852
Danilo Gallinari;2015-2016;REG;Nuggets;53;34.69;19.55;0.96;4.32;5.28;2.53;0.79;0.36;1.45;1.64;5.42;13.21;0.410;1.64;4.55;0.361;7.08;8.15;0.868
Chris Paul;2015-2016;REG;Clippers;74;32.71;19.54;0.53;3.66;4.19;9.97;2.04;0.18;2.61;2.50;6.96;15.05;0.462;1.65;4.45;0.371;3.97;4.43;0.896
Chris Bosh;2015-2016;REG;Heat;53;33.55;19.06;0.91;6.45;7.36;2.43;0.68;0.64;1.47;1.91;6.75;14.47;0.467;1.53;4.19;0.365;4.02;5.06;0.795
Dwyane Wade;2015-2016;REG;Heat;74;30.51;19.04;1.11;2.97;4.08;4.65;1.07;0.57;2.74;1.57;7.30;15.99;0.456;0.09;0.59;0.159;4.35;5.49;0.793
Reggie Jackson;2015-2016;REG;Pistons;79;30.69;18.85;0.73;2.47;3.20;6.23;0.75;0.14;2.82;2.37;6.84;15.75;0.434;1.49;4.24;0.352;3.68;4.27;0.863
Karl-Anthony Towns;2015-2016;REG;Timberwolves;82;32.03;18.33;2.76;7.66;10.41;1.96;0.71;1.68;2.23;2.99;7.62;14.05;0.543;0.37;1.07;0.341;2.72;3.35;0.811
Dirk Nowitzki;2015-2016;REG;Mavericks;75;31.51;18.29;0.69;5.83;6.52;1.76;0.69;0.69;1.12;2.15;6.64;14.83;0.448;1.68;4.56;0.368;3.33;3.73;0.893
Nikola Vucevic;2015-2016;REG;Magic;65;31.34;18.17;2.66;6.14;8.80;2.75;0.83;1.08;1.89;2.66;8.20;16.09;0.510;0.03;0.14;0.222;1.74;2.31;0.753
Khris Middleton;2015-2016;REG;Bucks;79;36.10;18.15;0.57;3.25;3.82;4.19;1.66;0.24;2.28;2.58;6.42;14.47;0.444;1.81;4.57;0.396;3.51;3.95;0.888
LaMarcus Aldridge;2015-2016;REG;Spurs;74;30.55;17.99;2.36;6.16;8.53;1.49;0.51;1.09;1.34;2.04;7.24;14.12;0.513;0.00;0.22;0.000;3.50;4.08;0.858
Kobe Bryant;2015-2016;REG;Lakers;66;28.23;17.59;0.64;3.11;3.74;2.79;0.94;0.20;1.97;1.74;6.03;16.85;0.358;2.02;7.06;0.285;3.52;4.26;0.826
Jahlil Okafor;2015-2016;REG;76ers;53;30.01;17.51;2.30;4.74;7.04;1.23;0.42;1.15;2.34;2.64;7.49;14.74;0.508;0.02;0.11;0.167;2.51;3.66;0.686
Bradley Beal;2015-2016;REG;Wizards;55;31.06;17.42;0.75;2.69;3.44;2.93;0.98;0.20;2.04;2.13;6.53;14.53;0.449;1.91;4.93;0.387;2.45;3.20;0.767
Rudy Gay;2015-2016;REG;Kings;70;33.98;17.20;1.47;5.03;6.50;1.71;1.43;0.73;1.99;2.63;6.66;14.39;0.463;1.06;3.07;0.344;2.83;3.63;0.780
Paul Millsap;2015-2016;REG;Hawks;81;32.59;17.04;2.42;6.62;9.04;3.23;1.80;1.73;2.33;2.91;6.17;13.14;0.470;0.91;2.85;0.320;3.78;5.00;0.756
Ryan Anderson;2015-2016;REG;Pelicans;66;30.43;17.03;2.00;4.02;6.02;1.12;0.58;0.38;1.36;1.65;6.02;14.06;0.428;1.98;5.42;0.366;3.02;3.45;0.873
Giannis Antetokounmpo;2015-2016;REG;Bucks;80;35.29;16.88;1.40;6.25;7.65;4.34;1.18;1.41;2.60;3.23;6.41;12.66;0.506;0.35;1.38;0.255;3.70;5.11;0.724
Jrue Holiday;2015-2016;REG;Pelicans;65;28.17;16.75;0.42;2.58;3.00;6.02;1.35;0.34;2.57;2.28;6.31;14.38;0.439;1.34;3.98;0.336;2.80;3.32;0.843
Marc Gasol;2015-2016;REG;Grizzlies;52;34.44;16.56;1.12;5.85;6.96;3.77;0.96;1.35;2.27;2.71;6.31;13.60;0.464;0.04;0.06;0.667;3.90;4.71;0.829
Pau Gasol;2015-2016;REG;Bulls;72;31.83;16.49;2.15;8.85;11.00;4.08;0.58;2.03;2.28;2.06;6.49;13.82;0.469;0.33;0.96;0.348;3.18;4.01;0.792
Derrick Favors;2015-2016;REG;Jazz;62;31.99;16.39;2.73;5.39;8.11;1.52;1.19;1.47;1.68;2.42;6.74;13.08;0.515;0.00;0.06;0.000;2.90;4.10;0.709
Derrick Rose;2015-2016;REG;Bulls;66;31.78;16.36;0.70;2.71;3.41;4.71;0.67;0.21;2.65;1.27;6.77;15.86;0.427;0.67;2.27;0.293;2.15;2.71;0.793
JJ Redick;2015-2016;REG;Clippers;75;27.96;16.35;0.13;1.72;1.85;1.41;0.56;0.07;1.05;1.80;5.63;11.73;0.480;2.67;5.61;0.475;2.43;2.73;0.888
Andre Drummond;2015-2016;REG;Pistons;81;32.91;16.22;4.88;9.91;14.79;0.83;1.47;1.38;1.90;3.02;6.81;13.10;0.520;0.02;0.07;0.333;2.57;7.23;0.355
Kevin Love;2015-2016;REG;Cavaliers;77;31.49;16.03;1.95;7.95;9.90;2.43;0.75;0.53;1.84;2.06;5.31;12.70;0.418;2.05;5.70;0.360;3.35;4.08;0.822
Victor Oladipo;2015-2016;REG;Magic;72;33.05;16.01;0.67;4.17;4.83;3.92;1.61;0.75;2.13;2.42;5.90;13.46;0.439;1.36;3.90;0.349;2.85;3.43;0.830
Jeff Teague;2015-2016;REG;Hawks;79;28.44;15.63;0.42;2.28;2.70;5.94;1.24;0.30;2.76;2.10;5.47;12.41;0.441;1.39;3.46;0.403;3.30;3.95;0.837
Jordan Clarkson;2015-2016;REG;Lakers;79;32.31;15.51;1.22;2.78;4.00;2.43;1.11;0.09;1.71;2.13;6.01;13.91;0.432;1.41;4.03;0.349;2.08;2.58;0.804
Evan Fournier;2015-2016;REG;Magic;79;32.48;15.35;0.42;2.43;2.85;2.70;1.22;0.03;1.68;2.71;5.43;11.76;0.462;1.97;4.92;0.401;2.52;3.01;0.836
Lou Williams;2015-2016;REG;Lakers;67;28.46;15.34;0.48;2.06;2.54;2.49;0.93;0.28;1.60;1.60;4.22;10.37;0.407;1.64;4.79;0.343;5.25;6.33;0.830
Greg Monroe;2015-2016;REG;Bucks;79;29.29;15.32;2.76;6.05;8.81;2.27;0.91;0.85;1.65;2.06;6.22;11.90;0.522;0.00;0.01;0.000;2.89;3.90;0.740
Mike Conley;2015-2016;REG;Grizzlies;56;31.44;15.30;0.46;2.46;2.93;6.11;1.20;0.29;1.50;1.79;5.25;12.43;0.422;1.39;3.84;0.363;3.41;4.09;0.834
Zach Randolph;2015-2016;REG;Grizzlies;68;29.65;15.29;2.63;5.15;7.78;2.09;0.63;0.19;1.54;2.15;6.34;13.34;0.475;0.09;0.38;0.231;2.53;3.18;0.796
Eric Gordon;2015-2016;REG;Pelicans;45;32.92;15.24;0.22;1.98;2.20;2.69;0.96;0.31;1.62;2.18;5.13;12.24;0.419;2.51;6.51;0.386;2.47;2.78;0.888
Al Horford;2015-2016;REG;Hawks;82;32.13;15.23;1.80;5.48;7.28;3.21;0.82;1.49;1.30;1.99;6.45;12.79;0.504;1.07;3.13;0.342;1.26;1.57;0.798
Avery Bradley;2015-2016;REG;Celtics;76;33.37;15.20;0.63;2.26;2.89;2.08;1.54;0.25;1.43;2.16;6.00;13.39;0.448;1.93;5.34;0.362;1.26;1.62;0.781
Tyreke Evans;2015-2016;REG;Pelicans;25;30.61;15.16;0.80;4.36;5.16;6.56;1.28;0.32;2.92;2.64;5.44;12.52;0.435;1.32;3.40;0.388;2.96;3.72;0.796
