Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Shaquille O'Neal;1999-2000;REG;Lakers;79;40.04;29.67;4.25;9.39;13.65;3.78;0.46;3.03;2.82;3.23;12.10;21.08;0.574;0.00;0.01;0.000;5.47;10.43;0.524
Allen Iverson;1999-2000;REG;76ers;70;40.22;28.41;1.01;2.80;3.81;4.69;2.06;0.07;3.29;2.31;10.41;24.76;0.421;1.27;3.73;0.341;6.31;8.86;0.713
Grant Hill;1999-2000;REG;Pistons;74;37.52;25.76;1.31;5.31;6.62;5.20;1.39;0.58;3.24;2.57;9.41;19.22;0.489;0.46;1.32;0.347;6.49;8.16;0.795
Vince Carter;1999-2000;REG;Raptors;82;38.15;25.70;1.83;3.98;5.80;3.93;1.34;1.12;2.17;3.21;9.61;20.68;0.465;1.16;2.88;0.403;5.32;6.72;0.791
Karl Malone;1999-2000;REG;Jazz;82;35.91;25.55;2.06;7.44;9.50;3.71;0.96;0.87;2.82;2.79;9.17;18.00;0.509;0.02;0.10;0.250;7.18;9.01;0.797
Chris Webber;1999-2000;REG;Kings;75;38.41;24.45;2.52;7.97;10.49;4.60;1.60;1.71;2.91;3.52;9.97;20.64;0.483;0.36;1.27;0.284;4.15;5.52;0.751
Gary Payton;1999-2000;REG;SuperSonics;82;41.78;24.17;1.22;5.23;6.45;8.93;1.87;0.22;2.73;2.17;9.11;20.32;0.448;2.16;6.34;0.340;3.79;5.16;0.735
Jerry Stackhouse;1999-2000;REG;Pistons;82;38.38;23.65;1.44;2.40;3.84;4.45;1.26;0.44;3.79;2.29;7.55;17.65;0.428;1.01;3.51;0.288;7.54;9.24;0.815
Tim Duncan;1999-2000;REG;Spurs;74;38.90;23.19;3.54;8.86;12.41;3.16;0.89;2.23;3.27;2.84;8.49;17.31;0.490;0.01;0.15;0.091;6.20;8.15;0.761
Kevin Garnett;1999-2000;REG;Timberwolves;81;40.03;22.93;2.75;9.05;11.80;4.95;1.48;1.56;3.31;2.53;9.37;18.84;0.497;0.37;1.00;0.370;3.81;4.99;0.765
Michael Finley;1999-2000;REG;Mavericks;82;41.79;22.62;1.49;4.83;6.32;5.34;1.33;0.39;2.39;2.09;9.12;19.95;0.457;1.21;3.01;0.401;3.17;3.87;0.820
Kobe Bryant;1999-2000;REG;Lakers;66;38.20;22.50;1.64;4.67;6.30;4.89;1.61;0.94;2.76;3.33;8.39;17.92;0.468;0.70;2.18;0.319;5.02;6.11;0.821
Stephon Marbury;1999-2000;REG;Nets;74;38.91;22.16;0.82;2.42;3.24;8.41;1.51;0.20;3.65;2.64;7.69;17.80;0.432;0.89;3.15;0.283;5.89;7.24;0.813
Ray Allen;1999-2000;REG;Bucks;82;37.46;22.06;1.01;3.37;4.38;3.76;1.34;0.23;2.23;2.28;7.83;17.21;0.455;2.10;4.96;0.423;4.30;4.85;0.887
Alonzo Mourning;1999-2000;REG;Heat;79;34.74;21.75;2.72;6.81;9.53;1.56;0.51;3.72;2.75;3.90;8.25;14.99;0.551;0.00;0.05;0.000;5.24;7.37;0.711
Glenn Robinson;1999-2000;REG;Bucks;81;35.94;20.90;1.32;4.67;5.99;2.38;0.96;0.51;2.75;2.62;8.52;18.04;0.472;1.06;2.93;0.363;2.80;3.49;0.802
Antoine Walker;1999-2000;REG;Celtics;82;36.65;20.49;2.43;5.52;7.95;3.72;1.43;0.39;3.16;3.21;7.90;18.37;0.430;0.89;3.48;0.256;3.79;5.43;0.699
Shareef Abdur-Rahim;1999-2000;REG;Grizzlies;82;39.31;20.28;2.66;7.40;10.06;3.30;1.09;1.06;3.04;2.98;7.24;15.57;0.465;0.35;1.17;0.302;5.44;6.72;0.809
Elton Brand;1999-2000;REG;Bulls;81;37.01;20.09;4.30;5.70;10.00;1.91;0.81;1.63;2.81;3.20;7.78;16.12;0.482;0.00;0.02;0.000;4.53;6.62;0.685
Eddie Jones;1999-2000;REG;Hornets;72;38.91;20.08;1.13;3.64;4.76;4.24;2.67;0.68;2.22;2.44;6.64;15.54;0.427;1.78;4.74;0.375;5.03;5.82;0.864
Allan Houston;1999-2000;REG;Knicks;82;38.65;19.68;0.46;2.84;3.30;2.73;0.79;0.17;2.27;2.67;7.49;15.50;0.483;1.29;2.96;0.436;3.41;4.07;0.838
Antawn Jamison;1999-2000;REG;Warriors;43;36.28;19.56;4.00;4.35;8.35;2.09;0.70;0.35;2.63;2.67;8.28;17.58;0.471;0.05;0.16;0.286;2.95;4.84;0.611
Paul Pierce;1999-2000;REG;Celtics;73;35.41;19.55;1.14;4.29;5.42;3.03;2.08;0.85;2.44;3.25;6.66;15.05;0.442;1.32;3.84;0.343;4.92;6.16;0.798
