Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Dwyane Wade;2008-2009;REG;Heat;79;38.58;30.20;1.13;3.91;5.04;7.46;2.19;1.34;3.44;2.25;10.81;22.01;0.491;1.11;3.52;0.317;7.47;9.76;0.765
LeBron James;2008-2009;REG;Cavaliers;81;37.70;28.44;1.31;6.26;7.57;7.25;1.69;1.15;2.98;1.72;9.74;19.91;0.489;1.63;4.74;0.344;7.33;9.41;0.780
Kobe Bryant;2008-2009;REG;Lakers;82;36.11;26.84;1.10;4.13;5.23;4.87;1.46;0.45;2.56;2.30;9.76;20.88;0.467;1.44;4.10;0.351;5.89;6.88;0.856
Dirk Nowitzki;2008-2009;REG;Mavericks;81;37.66;25.85;1.09;7.32;8.41;2.43;0.75;0.78;1.94;2.17;9.56;19.95;0.479;0.75;2.10;0.359;5.99;6.73;0.890
Danny Granger;2008-2009;REG;Pacers;67;36.18;25.79;0.73;4.36;5.09;2.73;1.03;1.45;2.46;3.09;8.52;19.06;0.447;2.72;6.72;0.404;6.03;6.87;0.878
Kevin Durant;2008-2009;REG;Thunder;74;38.99;25.28;1.04;5.47;6.51;2.77;1.30;0.72;3.04;1.81;8.93;18.78;0.476;1.31;3.11;0.422;6.11;7.08;0.863
Kevin Martin;2008-2009;REG;Kings;51;38.17;24.59;0.57;3.02;3.59;2.71;1.20;0.16;2.86;2.27;6.69;15.90;0.420;2.25;5.43;0.415;8.96;10.33;0.867
Al Jefferson;2008-2009;REG;Timberwolves;50;36.72;23.12;3.44;7.52;10.96;1.58;0.78;1.66;1.84;2.82;9.70;19.50;0.497;0.00;0.08;0.000;3.72;5.04;0.738
Chris Paul;2008-2009;REG;Hornets;78;38.49;22.83;0.88;4.65;5.54;11.04;2.77;0.13;2.96;2.72;8.09;16.09;0.503;0.82;2.26;0.364;5.83;6.72;0.868
Carmelo Anthony;2008-2009;REG;Nuggets;66;34.50;22.79;1.61;5.21;6.82;3.36;1.14;0.36;3.02;2.95;8.11;18.29;0.443;0.95;2.58;0.371;5.62;7.09;0.793
Chris Bosh;2008-2009;REG;Raptors;77;38.03;22.68;2.79;7.22;10.01;2.48;0.87;1.00;2.26;2.45;7.99;16.40;0.487;0.16;0.64;0.245;6.55;8.01;0.817
Brandon Roy;2008-2009;REG;Trail Blazers;78;37.22;22.63;1.33;3.41;4.74;5.13;1.13;0.28;1.95;1.63;8.12;16.90;0.480;1.06;2.82;0.377;5.33;6.47;0.824
Antawn Jamison;2008-2009;REG;Wizards;81;38.21;22.23;2.42;6.48;8.90;1.89;1.17;0.31;1.54;2.69;8.32;17.79;0.468;1.38;3.94;0.351;4.21;5.58;0.754
Tony Parker;2008-2009;REG;Spurs;72;34.11;21.96;0.38;2.72;3.10;6.89;0.93;0.06;2.58;1.53;8.88;17.54;0.506;0.26;0.90;0.292;3.94;5.04;0.782
Amar'e Stoudemire;2008-2009;REG;Suns;53;36.75;21.40;2.19;5.92;8.11;1.96;0.92;1.08;2.83;3.08;7.62;14.13;0.539;0.06;0.13;0.428;6.09;7.30;0.835
Joe Johnson;2008-2009;REG;Hawks;79;39.55;21.37;0.82;3.56;4.38;5.76;1.06;0.24;2.47;2.23;7.85;17.97;0.437;1.89;5.24;0.360;3.78;4.58;0.826
Devin Harris;2008-2009;REG;Nets;69;36.15;21.30;0.43;2.91;3.35;6.90;1.65;0.19;3.07;2.38;6.59;15.06;0.438;0.93;3.19;0.291;7.19;8.77;0.820
Michael Redd;2008-2009;REG;Bucks;33;36.45;21.18;0.73;2.52;3.24;2.67;1.06;0.06;1.61;1.36;7.55;16.58;0.455;2.12;5.79;0.366;3.97;4.88;0.814
David West;2008-2009;REG;Hornets;76;39.23;20.96;2.11;6.39;8.50;2.28;0.64;0.89;2.14;2.72;8.03;17.00;0.472;0.08;0.33;0.240;4.83;5.46;0.884
Zach Randolph;2008-2009;REG;Knicks, Clippers;50;35.13;20.82;3.14;6.94;10.08;2.06;0.86;0.32;2.28;2.66;8.30;17.46;0.475;0.64;1.94;0.330;3.58;4.88;0.734
Vince Carter;2008-2009;REG;Nets;80;36.83;20.78;0.93;4.20;5.13;4.70;1.03;0.48;2.08;2.93;7.35;16.81;0.437;1.89;4.90;0.385;4.19;5.13;0.817
Caron Butler;2008-2009;REG;Wizards;67;38.58;20.78;1.76;4.42;6.18;4.33;1.58;0.30;3.13;2.46;7.33;16.19;0.453;0.97;3.13;0.310;5.15;6.00;0.858
Stephen Jackson;2008-2009;REG;Warriors;59;39.65;20.73;1.19;3.95;5.14;6.46;1.49;0.53;3.88;2.59;7.00;16.90;0.414;1.75;5.17;0.338;4.98;6.03;0.826
Ben Gordon;2008-2009;REG;Bulls;82;36.57;20.72;0.63;2.82;3.45;3.40;0.87;0.27;2.44;2.24;7.29;16.04;0.455;2.11;5.15;0.410;4.02;4.66;0.864
Dwight Howard;2008-2009;REG;Magic;79;35.71;20.56;4.25;9.58;13.84;1.42;0.97;2.92;3.04;3.42;7.09;12.39;0.572;0.00;0.03;0.000;6.38;10.75;0.594
Paul Pierce;2008-2009;REG;Celtics;81;37.47;20.47;0.69;4.95;5.64;3.63;0.99;0.33;2.81;2.65;6.67;14.58;0.457;1.47;3.75;0.391;5.67;6.83;0.830
Al Harrington;2008-2009;REG;Warriors, Knicks;73;34.88;20.12;1.36;4.88;6.23;1.40;1.21;0.30;2.21;3.11;7.29;16.60;0.439;2.34;6.44;0.364;3.21;4.04;0.793
Jamal Crawford;2008-2009;REG;Knicks, Warriors;65;38.13;19.69;0.35;2.62;2.97;4.43;0.88;0.20;2.28;1.42;6.45;15.72;0.410;2.18;6.06;0.360;4.62;5.29;0.872
Yao Ming;2008-2009;REG;Rockets;77;33.62;19.66;2.65;7.23;9.88;1.78;0.39;1.95;3.04;3.34;7.35;13.40;0.548;0.01;0.01;1.000;4.95;5.71;0.866
Richard Jefferson;2008-2009;REG;Bucks;82;35.84;19.60;0.70;3.87;4.56;2.43;0.80;0.17;2.01;3.07;6.55;14.90;0.439;1.41;3.56;0.397;5.09;6.32;0.805
Jason Terry;2008-2009;REG;Mavericks;74;33.66;19.55;0.53;1.86;2.39;3.39;1.31;0.27;1.61;1.91;7.31;15.78;0.463;2.26;6.16;0.366;2.68;3.04;0.880
Deron Williams;2008-2009;REG;Jazz;68;36.84;19.44;0.35;2.51;2.87;10.66;1.07;0.29;3.35;1.97;6.81;14.47;0.471;1.03;3.32;0.310;4.79;5.65;0.849
Tim Duncan;2008-2009;REG;Spurs;75;33.66;19.33;2.68;7.99;10.67;3.52;0.51;1.68;2.20;2.31;7.44;14.76;0.504;0.00;0.03;0.000;4.45;6.44;0.692
Monta Ellis;2008-2009;REG;Warriors;25;35.68;18.96;0.56;3.76;4.32;3.72;1.56;0.32;2.68;2.68;7.76;17.20;0.451;0.32;1.04;0.308;3.12;3.76;0.830
Rudy Gay;2008-2009;REG;Grizzlies;79;37.30;18.90;1.38;4.15;5.53;1.71;1.24;0.75;2.57;2.80;7.24;15.97;0.453;1.08;3.06;0.351;3.34;4.35;0.767
Pau Gasol;2008-2009;REG;Lakers;81;37.03;18.86;3.23;6.40;9.63;3.51;0.64;1.00;1.94;2.12;7.31;12.90;0.567;0.01;0.02;0.498;4.23;5.42;0.781
Andre Iguodala;2008-2009;REG;76ers;82;39.87;18.79;1.12;4.62;5.74;5.29;1.60;0.44;2.71;1.85;6.61;13.99;0.473;0.98;3.18;0.307;4.60;6.35;0.724
Corey Maggette;2008-2009;REG;Warriors;51;31.13;18.63;0.96;4.57;5.53;1.80;0.86;0.16;2.35;3.76;5.73;12.43;0.461;0.47;1.86;0.253;6.71;8.14;0.824
O.J. Mayo;2008-2009;REG;Grizzlies;82;38.05;18.49;0.68;3.07;3.76;3.20;1.11;0.16;2.76;2.49;6.85;15.65;0.438;1.77;4.61;0.384;3.01;3.43;0.879
John Salmons;2008-2009;REG;Kings, Bulls;79;37.46;18.30;0.75;3.47;4.22;3.15;1.05;0.30;2.09;2.30;6.53;13.84;0.472;1.59;3.82;0.417;3.65;4.39;0.830
Richard Hamilton;2008-2009;REG;Pistons;67;34.02;18.28;0.66;2.43;3.09;4.43;0.60;0.06;1.99;2.63;6.96;15.57;0.447;1.04;2.84;0.368;3.33;3.93;0.848
Ray Allen;2008-2009;REG;Celtics;79;36.40;18.15;0.84;2.68;3.52;2.76;0.87;0.16;1.70;1.99;6.32;13.16;0.480;2.52;6.15;0.409;3.00;3.15;0.952
LaMarcus Aldridge;2008-2009;REG;Trail Blazers;81;37.09;18.15;2.89;4.58;7.47;1.94;0.95;0.95;1.49;2.56;7.42;15.35;0.484;0.09;0.35;0.250;3.22;4.12;0.781
Josh Howard;2008-2009;REG;Mavericks;52;31.98;18.00;1.13;3.92;5.06;1.60;1.06;0.58;1.71;2.60;6.79;15.06;0.451;1.12;3.23;0.345;3.31;4.23;0.782
Mo Williams;2008-2009;REG;Cavaliers;81;34.99;17.81;0.58;2.86;3.44;4.06;0.85;0.11;2.21;2.65;6.49;13.90;0.467;2.26;5.19;0.436;2.57;2.81;0.912
Shaquille O'Neal;2008-2009;REG;Suns;75;30.03;17.77;2.49;5.95;8.44;1.68;0.65;1.44;2.24;3.37;6.83;11.21;0.609;0.00;0.01;0.000;4.12;6.92;0.595
Rashard Lewis;2008-2009;REG;Magic;79;36.19;17.73;1.16;4.57;5.73;2.59;1.03;0.65;2.00;2.46;6.05;13.78;0.439;2.78;7.01;0.397;2.85;3.41;0.836
Chauncey Billups;2008-2009;REG;Pistons, Nuggets;79;35.30;17.72;0.41;2.62;3.03;6.41;1.18;0.23;2.24;2.04;5.19;12.41;0.418;2.05;5.03;0.408;5.29;5.80;0.913
Allen Iverson;2008-2009;REG;Nuggets, Pistons;57;36.71;17.46;0.53;2.51;3.04;4.96;1.54;0.11;2.56;1.51;6.11;14.63;0.417;0.49;1.74;0.283;4.75;6.09;0.781
Nate Robinson;2008-2009;REG;Knicks;74;29.84;17.19;1.32;2.59;3.92;4.07;1.28;0.08;1.88;2.78;6.07;13.89;0.437;1.69;5.20;0.325;3.36;4.00;0.841
Metta World Peace;2008-2009;REG;Rockets;69;35.53;17.12;0.94;4.26;5.20;3.32;1.52;0.35;2.03;2.25;6.03;15.03;0.401;2.22;5.55;0.399;2.84;3.80;0.748
Mehmet Okur;2008-2009;REG;Jazz;72;33.46;17.01;1.72;6.01;7.74;1.67;0.75;0.74;1.83;3.04;5.99;12.33;0.485;1.25;2.81;0.446;3.79;4.64;0.817
Jason Richardson;2008-2009;REG;Bobcats, Suns;72;33.48;16.83;1.07;3.36;4.43;2.03;1.06;0.39;1.32;2.03;6.46;13.53;0.477;1.79;4.51;0.397;2.13;2.76;0.769
Al Thornton;2008-2009;REG;Clippers;71;37.38;16.82;1.72;3.46;5.18;1.45;0.83;0.87;1.83;3.20;6.61;14.80;0.446;0.28;1.11;0.253;3.32;4.41;0.754
Hedo Turkoglu;2008-2009;REG;Magic;77;36.56;16.81;0.58;4.74;5.32;4.87;0.83;0.25;2.65;2.83;5.49;13.31;0.413;1.74;4.88;0.356;4.08;5.05;0.807
Derrick Rose;2008-2009;REG;Bulls;81;37.04;16.80;1.19;2.73;3.91;6.32;0.81;0.22;2.49;1.54;7.09;14.91;0.475;0.20;0.89;0.222;2.43;3.09;0.788
Jameer Nelson;2008-2009;REG;Magic;42;31.16;16.71;0.48;2.98;3.45;5.38;1.21;0.07;1.98;2.93;6.36;12.64;0.503;1.95;4.31;0.453;2.05;2.31;0.887
Gerald Wallace;2008-2009;REG;Bobcats;71;37.59;16.65;1.58;6.21;7.79;2.66;1.70;0.94;2.08;2.96;5.48;11.42;0.480;0.55;1.85;0.298;5.14;6.39;0.804
Jeff Green;2008-2009;REG;Thunder;78;36.83;16.54;1.54;5.12;6.65;1.99;1.04;0.42;2.22;2.59;6.10;13.69;0.446;1.23;3.17;0.389;3.10;3.94;0.788
Andre Miller;2008-2009;REG;76ers;82;36.29;16.30;1.50;2.99;4.49;6.51;1.33;0.17;2.43;2.39;6.00;12.70;0.473;0.18;0.65;0.283;4.12;4.99;0.826
Randy Foye;2008-2009;REG;Timberwolves;70;35.63;16.27;0.49;2.57;3.06;4.33;1.03;0.37;2.14;2.87;5.70;14.01;0.407;1.59;4.40;0.360;3.29;3.89;0.846
Charlie Villanueva;2008-2009;REG;Bucks;78;26.86;16.21;1.97;4.69;6.67;1.76;0.64;0.72;1.77;3.26;6.24;13.96;0.447;1.14;3.31;0.345;2.58;3.08;0.837
Carlos Boozer;2008-2009;REG;Jazz;37;32.34;16.19;3.00;7.41;10.41;2.14;1.05;0.19;2.14;3.57;6.78;13.84;0.490;0.00;0.00;0.000;2.62;3.76;0.698
Eric Gordon;2008-2009;REG;Clippers;78;34.31;16.05;0.58;2.00;2.58;2.76;1.00;0.45;2.10;2.21;5.27;11.55;0.456;1.68;4.32;0.389;3.83;4.49;0.854
David Lee;2008-2009;REG;Knicks;81;34.86;15.96;3.16;8.58;11.74;2.15;0.99;0.27;1.85;3.21;6.44;11.74;0.549;0.00;0.04;0.000;3.07;4.07;0.755
Kevin Garnett;2008-2009;REG;Celtics;57;31.07;15.77;1.37;7.14;8.51;2.53;1.11;1.19;1.58;2.25;6.89;12.98;0.531;0.04;0.14;0.250;1.95;2.32;0.841
Steve Nash;2008-2009;REG;Suns;74;33.57;15.68;0.26;2.76;3.01;9.69;0.74;0.14;3.35;1.46;5.78;11.50;0.503;1.46;3.32;0.439;2.65;2.84;0.933
Tracy McGrady;2008-2009;REG;Rockets;35;33.76;15.57;0.57;3.83;4.40;5.00;1.20;0.43;1.97;1.09;5.37;13.86;0.388;1.26;3.34;0.376;3.57;4.46;0.801
Josh Smith;2008-2009;REG;Hawks;69;35.08;15.55;1.94;5.28;7.22;2.45;1.36;1.61;2.33;2.67;6.06;12.30;0.492;0.38;1.26;0.299;3.06;5.20;0.588
Manu Ginobili;2008-2009;REG;Spurs;44;26.84;15.52;0.55;3.95;4.50;3.57;1.45;0.36;2.00;2.05;5.07;11.16;0.454;1.57;4.75;0.330;3.82;4.32;0.884
Andrea Bargnani;2008-2009;REG;Raptors;78;31.46;15.41;0.90;4.44;5.33;1.21;0.44;1.24;1.73;3.10;5.53;12.28;0.450;1.53;3.73;0.409;2.83;3.41;0.831
Russell Westbrook;2008-2009;REG;Thunder;82;32.54;15.32;2.17;2.70;4.87;5.30;1.34;0.20;3.34;2.33;5.32;13.35;0.398;0.43;1.57;0.271;4.26;5.22;0.815
Thaddeus Young;2008-2009;REG;76ers;75;34.40;15.27;1.85;3.17;5.03;1.15;1.33;0.31;1.57;2.20;6.33;12.80;0.495;0.75;2.19;0.341;1.85;2.52;0.735
J.R. Smith;2008-2009;REG;Nuggets;81;27.71;15.22;0.53;3.14;3.67;2.80;0.96;0.17;1.85;2.35;5.23;11.73;0.446;2.22;5.59;0.397;2.53;3.36;0.754
Mike Dunleavy;2008-2009;REG;Pacers;18;27.49;15.06;0.78;3.00;3.78;2.44;0.67;0.50;2.11;2.00;5.17;12.89;0.401;1.78;5.00;0.356;2.94;3.61;0.815
T.J. Ford;2008-2009;REG;Pacers;74;30.51;14.95;0.80;2.70;3.50;5.30;1.20;0.22;2.43;2.43;5.58;12.34;0.452;0.47;1.41;0.337;3.31;3.80;0.872
Baron Davis;2008-2009;REG;Clippers;65;34.60;14.89;0.71;2.95;3.66;7.71;1.66;0.54;2.97;2.97;5.46;14.75;0.370;1.52;5.05;0.302;2.45;3.23;0.757
Mike Bibby;2008-2009;REG;Hawks;79;34.68;14.89;0.48;3.04;3.52;4.96;1.24;0.14;1.62;1.84;5.53;12.72;0.435;2.11;5.42;0.390;1.71;2.16;0.789
Nene;2008-2009;REG;Nuggets;77;32.61;14.58;2.38;5.39;7.77;1.40;1.23;1.31;1.91;3.61;5.56;9.21;0.604;0.01;0.06;0.200;3.45;4.78;0.723
Wilson Chandler;2008-2009;REG;Knicks;82;33.35;14.44;1.11;4.32;5.43;2.07;0.87;0.91;1.70;3.05;5.55;12.85;0.432;1.26;3.83;0.328;2.09;2.62;0.795
Kelenna Azubuike;2008-2009;REG;Warriors;74;32.09;14.36;1.51;3.49;5.00;1.58;0.77;0.68;1.28;2.47;5.30;11.42;0.464;1.27;2.84;0.448;2.50;3.09;0.808
Andrew Bynum;2008-2009;REG;Lakers;50;28.92;14.28;2.74;5.22;7.96;1.42;0.36;1.80;1.70;3.14;5.62;10.04;0.560;0.00;0.00;0.000;3.04;4.30;0.707
Troy Murphy;2008-2009;REG;Pacers;73;34.00;14.26;2.00;9.79;11.79;2.36;0.79;0.47;1.56;3.10;4.99;10.51;0.475;2.21;4.90;0.450;2.08;2.52;0.826
Leandro Barbosa;2008-2009;REG;Suns;70;24.36;14.19;0.49;2.10;2.59;2.31;1.17;0.10;1.33;1.64;5.23;10.84;0.482;1.29;3.43;0.375;2.44;2.77;0.881
Tayshaun Prince;2008-2009;REG;Pistons;82;37.28;14.18;1.56;4.24;5.80;3.09;0.54;0.62;1.23;1.27;5.60;12.44;0.450;0.68;1.72;0.397;2.30;2.96;0.778
Raymond Felton;2008-2009;REG;Bobcats;82;37.64;14.17;0.66;3.12;3.78;6.74;1.54;0.37;2.78;2.33;5.39;13.21;0.408;0.72;2.52;0.285;2.67;3.32;0.805
Luol Deng;2008-2009;REG;Bulls;49;33.98;14.08;1.63;4.39;6.02;1.92;1.22;0.51;1.47;1.73;5.41;12.06;0.448;0.16;0.41;0.400;3.10;3.90;0.796
Michael Beasley;2008-2009;REG;Heat;81;24.80;13.86;1.36;4.06;5.42;1.02;0.51;0.46;1.49;2.27;5.58;11.81;0.472;0.41;1.00;0.407;2.30;2.98;0.772
Marvin Williams;2008-2009;REG;Hawks;61;34.32;13.85;1.80;4.46;6.26;1.33;0.93;0.64;1.15;2.08;4.67;10.20;0.458;0.90;2.54;0.355;3.61;4.48;0.806
Elton Brand;2008-2009;REG;76ers;29;31.75;13.76;2.66;6.10;8.76;1.28;0.59;1.55;2.34;2.69;5.62;12.59;0.447;0.00;0.00;0.000;2.52;3.72;0.676
