Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Allen Iverson;2004-2005;REG;76ers;75;42.39;30.69;0.68;3.31;3.99;7.95;2.40;0.12;4.59;1.87;10.28;24.24;0.424;1.39;4.51;0.308;8.75;10.48;0.835
Kobe Bryant;2004-2005;REG;Lakers;66;40.74;27.56;1.44;4.50;5.94;6.03;1.30;0.80;4.09;2.64;8.68;20.06;0.433;1.98;5.86;0.338;8.21;10.06;0.816
LeBron James;2004-2005;REG;Cavaliers;80;42.29;27.19;1.39;5.96;7.35;7.21;2.21;0.65;3.28;1.83;9.94;21.05;0.472;1.35;3.85;0.351;5.96;7.95;0.750
Dirk Nowitzki;2004-2005;REG;Mavericks;78;38.80;26.05;1.23;8.47;9.71;3.08;1.24;1.53;2.26;2.81;8.50;18.53;0.459;1.17;2.92;0.399;7.88;9.08;0.869
Amar'e Stoudemire;2004-2005;REG;Suns;80;36.04;26.00;2.74;6.18;8.91;1.64;0.96;1.63;2.36;3.48;9.34;16.70;0.559;0.04;0.20;0.188;7.29;9.94;0.733
Tracy McGrady;2004-2005;REG;Rockets;78;40.82;25.68;0.91;5.29;6.21;5.74;1.73;0.67;2.58;2.14;9.17;21.28;0.431;1.82;5.58;0.326;5.53;7.14;0.774
Gilbert Arenas;2004-2005;REG;Wizards;80;40.96;25.48;1.04;3.69;4.73;5.14;1.74;0.29;3.03;3.06;8.20;19.04;0.431;2.56;7.03;0.365;6.51;8.00;0.814
Metta World Peace;2004-2005;REG;Pacers;7;41.54;24.57;1.14;5.29;6.43;3.14;1.71;0.86;2.43;3.86;8.43;17.00;0.496;1.00;2.43;0.412;6.71;7.29;0.922
Vince Carter;2004-2005;REG;Raptors, Nets;77;36.84;24.49;1.38;3.83;5.21;4.25;1.42;0.62;2.18;3.16;9.04;20.01;0.452;1.65;4.06;0.406;4.77;5.97;0.798
Jermaine O'Neal;2004-2005;REG;Pacers;44;34.87;24.27;1.93;6.89;8.82;1.86;0.57;2.00;2.98;3.93;8.77;19.41;0.452;0.02;0.14;0.166;6.70;8.89;0.754
Dwyane Wade;2004-2005;REG;Heat;77;38.65;24.08;1.43;3.73;5.16;6.75;1.57;1.06;4.17;2.99;8.18;17.12;0.478;0.17;0.58;0.289;7.55;9.90;0.762
Ray Allen;2004-2005;REG;SuperSonics;78;38.97;23.94;1.01;3.44;4.45;3.71;1.08;0.06;2.19;2.14;8.21;19.15;0.428;2.68;7.13;0.376;4.85;5.49;0.883
Michael Redd;2004-2005;REG;Bucks;75;38.04;22.97;0.96;3.20;4.16;2.29;0.84;0.11;1.77;2.03;8.33;18.91;0.441;1.39;3.91;0.355;4.92;5.76;0.854
Shaquille O'Neal;2004-2005;REG;Heat;73;34.18;22.86;3.47;6.95;10.41;2.74;0.49;2.34;2.78;3.59;9.01;15.00;0.601;0.00;0.00;0.000;4.84;10.48;0.461
Richard Jefferson;2004-2005;REG;Nets;33;41.14;22.21;1.48;5.79;7.27;4.03;1.00;0.52;4.00;3.30;7.21;17.09;0.422;0.91;2.70;0.337;6.88;8.15;0.844
Corey Maggette;2004-2005;REG;Clippers;66;37.05;22.18;1.06;4.91;5.97;3.41;1.06;0.12;2.95;2.89;6.44;14.94;0.431;0.77;2.55;0.304;8.53;9.95;0.857
Kevin Garnett;2004-2005;REG;Timberwolves;82;38.06;22.16;3.01;10.50;13.51;5.68;1.48;1.37;2.71;2.52;8.33;16.59;0.502;0.07;0.30;0.240;5.43;6.70;0.811
Larry Hughes;2004-2005;REG;Wizards;61;38.62;22.05;1.21;5.05;6.26;4.67;2.89;0.30;2.51;2.75;7.66;17.80;0.430;0.97;3.43;0.282;5.77;7.43;0.777
Stephon Marbury;2004-2005;REG;Knicks;82;40.14;21.72;0.61;2.41;3.02;8.15;1.49;0.07;2.84;2.27;7.37;15.95;0.462;1.40;3.96;0.354;5.59;6.70;0.834
Jason Richardson;2004-2005;REG;Warriors;72;37.76;21.65;1.74;4.15;5.89;3.90;1.46;0.44;2.35;2.17;8.47;19.00;0.446;1.74;5.14;0.338;2.97;4.29;0.693
Paul Pierce;2004-2005;REG;Celtics;82;36.06;21.57;0.95;5.62;6.57;4.24;1.62;0.48;2.80;3.11;6.78;14.91;0.455;1.32;3.56;0.370;6.70;8.15;0.822
Steve Francis;2004-2005;REG;Magic;78;38.13;21.32;1.62;4.15;5.77;7.01;1.44;0.36;4.06;3.50;7.22;17.05;0.423;0.49;1.63;0.299;6.40;7.77;0.823
Carmelo Anthony;2004-2005;REG;Nuggets;75;34.73;20.77;1.88;3.80;5.68;2.59;0.91;0.40;2.99;3.05;7.07;16.40;0.431;0.56;2.11;0.266;6.08;7.64;0.796
Rashard Lewis;2004-2005;REG;SuperSonics;71;38.04;20.52;1.55;3.92;5.46;1.32;1.06;0.87;1.73;2.23;7.49;16.21;0.462;2.44;6.08;0.400;3.10;3.99;0.777
Tim Duncan;2004-2005;REG;Spurs;66;33.41;20.33;3.06;8.03;11.09;2.71;0.68;2.64;1.92;2.18;7.83;15.79;0.496;0.05;0.14;0.334;4.62;6.89;0.670
Peja Stojakovic;2004-2005;REG;Kings;66;38.48;20.14;0.94;3.38;4.32;2.09;1.20;0.18;1.55;2.38;6.83;15.39;0.444;2.64;6.56;0.402;3.83;4.17;0.920
Elton Brand;2004-2005;REG;Clippers;81;36.58;20.02;3.65;5.85;9.51;2.57;0.77;2.09;2.26;2.96;7.77;15.44;0.503;0.00;0.04;0.000;4.49;5.98;0.752
Grant Hill;2004-2005;REG;Magic;67;34.43;19.66;1.15;3.60;4.75;3.28;1.45;0.42;2.40;2.15;7.72;15.15;0.509;0.04;0.19;0.231;4.18;5.09;0.821
Mike Bibby;2004-2005;REG;Kings;80;38.10;19.64;0.96;3.19;4.15;6.76;1.55;0.38;2.54;2.39;7.00;15.80;0.443;1.64;4.55;0.360;4.00;5.16;0.775
Antawn Jamison;2004-2005;REG;Wizards;68;38.36;19.62;2.35;5.28;7.63;2.26;0.81;0.24;1.74;2.22;7.63;17.49;0.437;1.04;3.06;0.341;3.31;4.35;0.760
Chris Webber;2004-2005;REG;Kings, 76ers;67;35.39;19.49;1.94;7.19;9.13;4.75;1.40;0.79;2.72;3.19;8.28;19.15;0.433;0.22;0.66;0.341;2.70;3.40;0.794
Shawn Marion;2004-2005;REG;Suns;81;38.86;19.37;2.90;8.40;11.30;1.90;2.01;1.47;1.54;2.46;7.57;15.91;0.476;1.41;4.21;0.334;2.83;3.40;0.833
Baron Davis;2004-2005;REG;Hornets, Warriors;46;34.39;19.24;0.70;3.11;3.80;7.87;1.76;0.30;2.85;2.74;6.33;16.35;0.387;2.57;7.70;0.333;4.02;5.28;0.761
Antoine Walker;2004-2005;REG;Hawks, Celtics;77;38.45;19.13;2.36;6.66;9.03;3.44;1.16;0.75;3.29;2.82;7.55;17.88;0.422;1.43;4.43;0.323;2.61;4.84;0.539
Zach Randolph;2004-2005;REG;Trail Blazers;46;34.92;18.93;3.09;6.52;9.61;1.87;0.74;0.37;2.43;2.43;7.22;16.11;0.448;0.00;0.13;0.000;4.50;5.52;0.815
Richard Hamilton;2004-2005;REG;Pistons;76;38.63;18.74;0.97;2.91;3.88;4.89;1.01;0.17;2.86;3.05;6.71;15.26;0.440;0.47;1.55;0.305;4.84;5.64;0.858
Stephen Jackson;2004-2005;REG;Pacers;51;35.20;18.69;0.86;4.04;4.90;2.33;1.25;0.27;2.41;3.02;6.47;16.06;0.403;2.02;5.61;0.360;3.73;4.49;0.830
Jalen Rose;2004-2005;REG;Raptors;81;32.93;18.46;0.54;2.86;3.41;2.58;0.78;0.12;2.22;2.35;6.51;14.31;0.455;1.33;3.38;0.394;4.11;4.81;0.854
Yao Ming;2004-2005;REG;Rockets;80;30.61;18.31;2.60;5.76;8.36;0.76;0.43;2.00;2.45;3.73;6.73;12.19;0.552;0.00;0.00;0.000;4.86;6.21;0.783
Carlos Boozer;2004-2005;REG;Jazz;51;34.90;17.82;2.76;6.20;8.96;2.82;0.80;0.47;2.69;3.51;7.08;13.59;0.521;0.00;0.02;0.000;3.67;5.25;0.698
Pau Gasol;2004-2005;REG;Grizzlies;56;31.83;17.80;2.32;5.00;7.32;2.41;0.66;1.66;2.45;2.61;6.38;12.41;0.514;0.02;0.11;0.167;5.04;6.55;0.768
