Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Tracy McGrady;2003-2004;REG;Magic;67;40.06;28.03;1.42;4.58;6.00;5.52;1.39;0.63;2.67;1.93;9.75;23.37;0.417;2.60;7.66;0.339;5.94;7.46;0.796
Allen Iverson;2003-2004;REG;76ers;48;42.59;26.38;0.71;3.00;3.71;6.75;2.40;0.10;4.35;1.81;9.06;23.44;0.387;1.19;4.15;0.286;7.06;9.48;0.745
Peja Stojakovic;2003-2004;REG;Kings;81;40.32;24.25;1.12;5.15;6.27;2.14;1.33;0.17;1.89;1.96;8.21;17.11;0.480;2.96;6.84;0.433;4.86;5.25;0.927
Kevin Garnett;2003-2004;REG;Timberwolves;82;39.42;24.23;2.99;10.90;13.89;4.99;1.46;2.17;2.59;2.46;9.80;19.65;0.499;0.13;0.52;0.256;4.49;5.67;0.791
Kobe Bryant;2003-2004;REG;Lakers;65;37.65;23.95;1.58;3.94;5.52;5.08;1.72;0.43;2.63;2.71;7.94;18.12;0.438;1.09;3.34;0.327;6.98;8.20;0.852
Ray Allen;2003-2004;REG;SuperSonics;56;38.47;22.98;1.23;3.88;5.11;4.79;1.27;0.20;2.79;2.36;7.98;18.16;0.440;2.64;6.75;0.392;4.38;4.84;0.904
Paul Pierce;2003-2004;REG;Celtics;80;38.34;22.95;0.86;5.66;6.53;5.13;1.64;0.65;3.79;2.93;7.53;18.71;0.402;1.44;4.80;0.299;6.46;7.89;0.819
Baron Davis;2003-2004;REG;Hornets;67;40.10;22.87;0.99;3.30;4.28;7.48;2.36;0.40;3.21;2.66;8.27;20.93;0.395;2.79;8.69;0.321;3.54;5.25;0.673
Vince Carter;2003-2004;REG;Raptors;73;38.16;22.53;1.30;3.48;4.78;4.77;1.21;0.89;3.07;2.90;8.33;19.96;0.417;1.27;3.33;0.383;4.60;5.71;0.806
Tim Duncan;2003-2004;REG;Spurs;69;36.59;22.29;3.29;9.16;12.45;3.09;0.90;2.68;2.65;2.38;8.58;17.12;0.501;0.03;0.17;0.167;5.10;8.52;0.599
Dirk Nowitzki;2003-2004;REG;Mavericks;77;37.91;21.82;1.17;7.53;8.70;2.69;1.19;1.35;1.75;2.81;7.86;17.01;0.462;1.29;3.77;0.341;4.82;5.49;0.877
Michael Redd;2003-2004;REG;Bucks;82;36.82;21.66;1.44;3.52;4.96;2.26;0.99;0.07;1.41;1.85;7.72;17.55;0.440;1.55;4.43;0.350;4.67;5.38;0.868
Shaquille O'Neal;2003-2004;REG;Lakers;67;36.73;21.48;3.67;7.81;11.48;2.93;0.51;2.48;2.91;3.36;8.27;14.15;0.584;0.00;0.00;0.000;4.94;10.09;0.490
Carmelo Anthony;2003-2004;REG;Nuggets;82;36.46;21.04;2.23;3.84;6.07;2.77;1.18;0.50;3.01;2.74;7.61;17.87;0.426;0.84;2.61;0.322;4.98;6.40;0.777
