Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kobe Bryant;2005-2006;REG;Lakers;80;40.96;35.40;0.89;4.43;5.31;4.50;1.84;0.38;3.13;2.91;12.23;27.16;0.450;2.25;6.48;0.347;8.70;10.24;0.850
Allen Iverson;2005-2006;REG;Sixers;72;43.10;33.01;0.61;2.61;3.22;7.39;1.94;0.14;3.44;1.68;11.32;25.31;0.447;1.00;3.10;0.323;9.38;11.51;0.814
LeBron James;2005-2006;REG;Cavaliers;79;42.54;31.37;0.95;6.09;7.04;6.59;1.56;0.84;3.29;2.29;11.08;23.08;0.480;1.61;4.80;0.335;7.61;10.30;0.738
Gilbert Arenas;2005-2006;REG;Wizards;80;42.30;29.33;0.74;2.76;3.50;6.05;2.01;0.31;3.71;3.58;9.33;20.85;0.447;2.49;6.75;0.369;8.19;9.99;0.820
Dwyane Wade;2005-2006;REG;Heat;75;38.57;27.20;1.43;4.31;5.73;6.71;1.95;0.77;3.57;2.89;9.32;18.84;0.495;0.17;1.01;0.171;8.39;10.71;0.783
Paul Pierce;2005-2006;REG;Celtics;79;39.04;26.78;0.97;5.73;6.71;4.75;1.35;0.43;3.46;2.82;8.72;18.51;0.471;1.41;3.97;0.354;7.94;10.28;0.772
Dirk Nowitzki;2005-2006;REG;Mavericks;81;38.14;26.56;1.42;7.57;8.99;2.79;0.72;1.02;1.93;2.02;9.27;19.31;0.480;1.36;3.35;0.406;6.65;7.38;0.901
Carmelo Anthony;2005-2006;REG;Nuggets;80;36.76;26.53;1.53;3.40;4.93;2.70;1.10;0.53;2.73;2.86;9.45;19.65;0.481;0.46;1.90;0.243;7.16;8.86;0.808
Michael Redd;2005-2006;REG;Bucks;80;39.12;25.35;0.98;3.30;4.28;2.86;1.19;0.06;2.13;1.96;8.53;18.95;0.450;2.04;5.16;0.395;6.26;7.14;0.877
Ray Allen;2005-2006;REG;SuperSonics;78;38.75;25.06;0.91;3.35;4.26;3.67;1.35;0.21;2.41;1.94;8.73;19.23;0.454;3.45;8.37;0.412;4.15;4.60;0.902
Elton Brand;2005-2006;REG;Clippers;79;39.23;24.72;2.99;7.01;10.00;2.63;1.03;2.54;2.19;2.87;9.57;18.16;0.527;0.01;0.04;0.334;5.57;7.19;0.775
Tracy McGrady;2005-2006;REG;Rockets;47;37.13;24.40;0.98;5.55;6.53;4.79;1.26;0.87;2.55;1.87;8.72;21.51;0.406;1.55;4.98;0.312;5.40;7.23;0.747
Vince Carter;2005-2006;REG;Nets;79;36.78;24.19;1.71;4.14;5.85;4.28;1.19;0.67;2.70;2.97;8.27;19.22;0.430;1.58;4.65;0.341;6.08;7.61;0.799
Jason Richardson;2005-2006;REG;Warriors;75;38.36;23.21;1.40;4.44;5.84;3.09;1.29;0.49;2.23;2.75;8.55;19.17;0.446;2.44;6.36;0.384;3.68;5.47;0.673
Chris Bosh;2005-2006;REG;Raptors;70;39.30;22.46;2.91;6.33;9.24;2.59;0.71;1.13;2.24;2.99;7.84;15.53;0.505;0.00;0.19;0.000;6.77;8.30;0.816
Yao Ming;2005-2006;REG;Rockets;57;34.19;22.30;2.60;7.60;10.19;1.49;0.53;1.65;2.58;3.42;8.19;15.79;0.519;0.00;0.02;0.000;5.91;6.93;0.853
Shawn Marion;2005-2006;REG;Suns;81;40.29;21.84;3.07;8.77;11.84;1.77;1.98;1.69;1.54;2.75;8.84;16.85;0.525;1.19;3.58;0.331;2.98;3.68;0.809
Kevin Garnett;2005-2006;REG;Timberwolves;76;38.91;21.79;2.82;9.89;12.71;4.05;1.37;1.41;2.37;2.71;8.24;15.67;0.526;0.11;0.39;0.267;5.21;6.43;0.810
Mike Bibby;2005-2006;REG;Kings;82;38.62;21.07;0.35;2.57;2.93;5.41;1.00;0.12;2.43;2.06;7.28;16.85;0.432;2.34;6.06;0.386;4.17;4.91;0.849
Antawn Jamison;2005-2006;REG;Wizards;82;40.10;20.54;2.04;7.29;9.33;1.93;1.10;0.15;1.67;2.30;8.05;18.22;0.442;1.79;4.55;0.394;2.65;3.62;0.731
Pau Gasol;2005-2006;REG;Grizzlies;80;39.19;20.35;2.39;6.53;8.91;4.64;0.58;1.91;2.94;2.30;7.50;14.93;0.503;0.04;0.15;0.250;5.31;7.71;0.689
Mike James;2005-2006;REG;Raptors;79;37.02;20.30;0.57;2.75;3.32;5.82;0.91;0.04;2.61;2.71;7.29;15.54;0.469;2.14;4.84;0.442;3.58;4.28;0.837
Chris Webber;2005-2006;REG;Sixers;75;38.57;20.24;2.45;7.43;9.88;3.41;1.37;0.83;2.43;2.92;8.23;18.96;0.434;0.28;1.03;0.273;3.51;4.64;0.756
Joe Johnson;2005-2006;REG;Hawks;82;40.73;20.16;1.20;2.89;4.09;6.54;1.26;0.38;3.26;2.28;7.71;17.01;0.453;1.56;4.39;0.356;3.18;4.02;0.791
Richard Hamilton;2005-2006;REG;Pistons;80;35.31;20.11;1.05;2.15;3.20;3.44;0.65;0.20;2.16;2.59;8.11;16.53;0.491;0.69;1.50;0.458;3.20;3.79;0.845
Rashard Lewis;2005-2006;REG;SuperSonics;78;36.87;20.10;1.42;3.58;5.00;2.33;1.31;0.64;1.81;2.45;6.90;14.76;0.467;1.82;4.74;0.384;4.49;5.49;0.818
Jermaine O'Neal;2005-2006;REG;Pacers;51;35.34;20.08;2.00;7.33;9.33;2.61;0.53;2.29;2.96;3.47;7.45;15.78;0.472;0.06;0.20;0.300;5.12;7.22;0.709
Shaquille O'Neal;2005-2006;REG;Heat;59;30.61;20.02;2.92;6.25;9.17;1.92;0.39;1.76;2.85;3.90;8.14;13.56;0.600;0.00;0.00;0.000;3.75;7.98;0.469
Richard Jefferson;2005-2006;REG;Nets;78;39.22;19.50;1.22;5.63;6.85;3.81;0.76;0.22;2.23;2.47;6.35;12.88;0.493;0.77;2.41;0.319;6.04;7.44;0.812
Ricky Davis;2005-2006;REG;Celtics, Timberwolves;78;41.11;19.44;0.83;3.67;4.50;5.05;1.17;0.22;2.73;2.44;7.49;16.72;0.448;0.94;3.10;0.302;3.53;4.42;0.797
Wally Szczerbiak;2005-2006;REG;Timberwolves, Celtics;72;37.90;18.97;1.07;3.28;4.35;2.96;0.56;0.26;1.89;2.08;6.85;14.06;0.487;1.42;3.54;0.400;3.86;4.31;0.897
Tony Parker;2005-2006;REG;Spurs;80;33.93;18.88;0.48;2.79;3.26;5.75;1.04;0.05;3.11;2.01;7.79;14.20;0.548;0.14;0.45;0.306;3.16;4.48;0.707
Steve Nash;2005-2006;REG;Suns;79;35.39;18.85;0.59;3.62;4.22;10.46;0.77;0.15;3.49;1.52;6.85;13.37;0.512;1.90;4.33;0.439;3.25;3.53;0.921
Al Harrington;2005-2006;REG;Hawks;76;36.60;18.57;1.74;5.14;6.88;3.13;1.12;0.18;2.57;3.96;7.25;16.05;0.452;0.87;2.51;0.346;3.20;4.61;0.694
Tim Duncan;2005-2006;REG;Spurs;80;34.80;18.56;2.89;8.13;11.01;3.16;0.88;2.03;2.48;2.74;7.18;14.81;0.484;0.03;0.06;0.400;4.19;6.66;0.629
Chauncey Billups;2005-2006;REG;Pistons;81;36.11;18.46;0.51;2.60;3.11;8.63;0.88;0.10;2.10;1.98;5.22;12.49;0.418;2.27;5.25;0.433;5.74;6.42;0.894
Peja Stojakovic;2005-2006;REG;Kings, Pacers;71;36.64;18.17;1.11;4.73;5.85;1.92;0.63;0.14;1.45;2.41;6.27;14.34;0.437;2.28;5.69;0.401;3.35;3.66;0.915
Zach Randolph;2005-2006;REG;Trail Blazers;74;34.39;18.01;2.61;5.39;8.00;1.95;0.77;0.19;2.23;2.50;7.24;16.61;0.436;0.22;0.74;0.291;3.31;4.64;0.714
Mehmet Okur;2005-2006;REG;Jazz;82;35.91;17.95;2.57;6.52;9.10;2.37;0.49;0.89;1.99;3.48;6.33;13.76;0.460;0.98;2.85;0.342;4.32;5.54;0.780
Baron Davis;2005-2006;REG;Warriors;54;36.50;17.91;0.83;3.54;4.37;8.89;1.65;0.26;2.94;3.06;6.20;15.94;0.389;1.89;6.00;0.315;3.61;5.35;0.675
Corey Maggette;2005-2006;REG;Clippers;32;29.47;17.81;0.88;4.41;5.28;2.06;0.59;0.13;2.44;2.97;5.22;11.72;0.445;0.75;2.22;0.338;6.63;8.00;0.828
Metta World Peace;2005-2006;REG;Pacers, Kings;56;39.41;17.57;1.34;3.77;5.11;3.63;2.18;0.73;2.34;2.93;6.25;15.48;0.404;1.39;4.52;0.308;3.68;5.45;0.675
