Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kobe Bryant;2006-2007;REG;Lakers;77;40.78;31.56;0.97;4.73;5.70;5.36;1.44;0.47;3.31;2.66;10.56;22.82;0.463;1.78;5.17;0.344;8.66;9.97;0.868
Carmelo Anthony;2006-2007;REG;Nuggets;65;38.24;28.94;2.20;3.82;6.02;3.83;1.18;0.35;3.60;3.12;10.63;22.35;0.476;0.62;2.29;0.268;7.06;8.74;0.808
Gilbert Arenas;2006-2007;REG;Wizards;74;39.75;28.45;0.82;3.74;4.57;5.99;1.88;0.18;3.19;3.36;8.74;20.92;0.418;2.77;7.89;0.351;8.19;9.70;0.844
Dwyane Wade;2006-2007;REG;Heat;51;37.86;27.39;1.00;3.69;4.69;7.53;2.10;1.22;4.24;2.29;9.25;18.86;0.491;0.41;1.55;0.266;8.47;10.49;0.807
LeBron James;2006-2007;REG;Cavaliers;78;40.90;27.33;1.06;5.68;6.74;6.03;1.60;0.71;3.21;2.19;9.90;20.78;0.476;1.27;3.97;0.319;6.27;8.99;0.698
Michael Redd;2006-2007;REG;Bucks;53;38.42;26.72;0.79;2.91;3.70;2.34;1.19;0.17;2.30;1.47;9.00;19.34;0.465;2.21;5.77;0.382;6.51;7.85;0.829
Ray Allen;2006-2007;REG;SuperSonics;55;40.35;26.44;1.04;3.45;4.49;4.15;1.49;0.20;2.80;2.05;9.18;20.96;0.438;3.00;8.05;0.372;5.07;5.62;0.903
Allen Iverson;2006-2007;REG;Sixers, Nuggets;65;42.48;26.29;0.35;2.62;2.97;7.20;1.89;0.20;4.12;1.46;8.94;20.20;0.443;0.95;3.03;0.315;7.46;9.38;0.795
Vince Carter;2006-2007;REG;Nets;82;38.13;25.24;1.39;4.61;6.00;4.79;1.00;0.37;2.65;3.24;8.85;19.49;0.454;1.90;5.33;0.357;5.63;7.02;0.802
Yao Ming;2006-2007;REG;Rockets;48;33.83;25.04;2.10;7.31;9.42;1.96;0.35;1.96;3.48;3.31;8.81;17.06;0.516;0.00;0.04;0.000;7.42;8.60;0.862
Joe Johnson;2006-2007;REG;Hawks;57;41.39;25.02;0.93;3.26;4.19;4.37;1.05;0.19;3.09;2.02;9.40;19.98;0.471;2.09;5.47;0.381;4.12;5.51;0.748
Paul Pierce;2006-2007;REG;Celtics;47;37.02;24.96;0.83;5.06;5.89;4.13;1.02;0.28;3.23;2.60;7.94;18.09;0.439;2.28;5.85;0.389;6.81;8.55;0.796
Tracy McGrady;2006-2007;REG;Rockets;71;35.76;24.61;0.79;4.54;5.32;6.45;1.30;0.51;3.00;1.92;8.99;20.85;0.431;1.77;5.37;0.331;4.86;6.87;0.707
Dirk Nowitzki;2006-2007;REG;Mavericks;78;36.16;24.56;1.56;7.32;8.88;3.37;0.67;0.79;2.14;2.19;8.63;17.19;0.502;0.92;2.22;0.416;6.38;7.06;0.904
Zach Randolph;2006-2007;REG;Trail Blazers;68;35.66;23.65;2.93;7.19;10.12;2.16;0.78;0.22;3.16;2.71;8.82;18.91;0.467;0.21;0.71;0.292;5.79;7.07;0.819
Chris Bosh;2006-2007;REG;Raptors;69;38.52;22.62;2.70;8.04;10.74;2.54;0.57;1.30;2.59;2.36;7.87;15.86;0.496;0.17;0.51;0.343;6.71;8.55;0.785
Kevin Garnett;2006-2007;REG;Timberwolves;76;39.41;22.42;2.41;10.42;12.83;4.12;1.17;1.66;2.70;2.42;8.39;17.64;0.476;0.16;0.74;0.214;5.47;6.55;0.835
Rashard Lewis;2006-2007;REG;SuperSonics;60;39.13;22.37;1.52;5.08;6.60;2.42;1.13;0.65;1.97;2.38;7.72;16.75;0.461;2.52;6.45;0.390;4.42;5.25;0.841
Ben Gordon;2006-2007;REG;Bulls;82;32.97;21.38;0.43;2.72;3.15;3.61;0.78;0.21;3.04;3.07;7.43;16.32;0.455;1.89;4.57;0.413;4.63;5.37;0.864
Carlos Boozer;2006-2007;REG;Jazz;74;34.56;20.93;3.18;8.54;11.72;2.99;0.95;0.28;2.62;2.93;8.74;15.59;0.561;0.00;0.00;0.000;3.45;5.03;0.685
Pau Gasol;2006-2007;REG;Grizzlies;59;36.14;20.78;2.53;7.32;9.85;3.41;0.49;2.14;2.75;2.32;7.83;14.54;0.538;0.05;0.19;0.273;5.07;6.78;0.747
Elton Brand;2006-2007;REG;Clippers;80;38.47;20.53;3.35;5.95;9.30;2.94;0.96;2.24;2.53;2.98;8.06;15.14;0.533;0.01;0.01;1.000;4.39;5.76;0.761
Amar'e Stoudemire;2006-2007;REG;Suns;82;32.80;20.38;2.71;6.88;9.59;1.02;0.95;1.34;2.83;3.60;7.40;12.87;0.575;0.00;0.04;0.000;5.57;7.13;0.781
Kevin Martin;2006-2007;REG;Kings;80;35.23;20.23;0.86;3.41;4.28;2.16;1.23;0.14;1.69;2.26;6.31;13.34;0.473;1.59;4.16;0.381;6.01;7.13;0.844
Baron Davis;2006-2007;REG;Warriors;63;35.25;20.06;0.81;3.57;4.38;8.08;2.14;0.46;3.06;2.87;7.17;16.35;0.439;1.35;4.44;0.304;4.37;5.86;0.745
Tim Duncan;2006-2007;REG;Spurs;80;34.08;19.99;2.66;7.91;10.58;3.41;0.83;2.38;2.80;2.54;7.73;14.14;0.546;0.01;0.11;0.111;4.53;7.10;0.637
Antawn Jamison;2006-2007;REG;Wizards;70;38.02;19.83;1.91;6.11;8.03;1.94;1.14;0.51;1.49;2.77;7.31;16.27;0.450;1.97;5.41;0.364;3.23;4.39;0.736
Richard Hamilton;2006-2007;REG;Pistons;75;36.84;19.80;1.00;2.76;3.76;3.80;0.79;0.20;2.12;3.09;7.29;15.60;0.468;0.59;1.72;0.341;4.63;5.37;0.861
Eddy Curry;2006-2007;REG;Knicks;81;35.17;19.46;2.41;4.64;7.05;0.84;0.42;0.49;3.64;3.27;7.22;12.54;0.576;0.01;0.01;1.000;5.00;8.14;0.615
Jermaine O'Neal;2006-2007;REG;Pacers;69;35.64;19.41;2.22;7.36;9.58;2.42;0.72;2.64;2.94;3.36;7.22;16.54;0.436;0.00;0.10;0.000;4.97;6.48;0.767
Caron Butler;2006-2007;REG;Wizards;63;39.28;19.10;2.33;5.08;7.41;3.70;2.13;0.27;2.87;2.98;7.16;15.48;0.463;0.29;1.14;0.250;4.49;5.21;0.863
Josh Howard;2006-2007;REG;Mavericks;70;35.08;18.87;1.86;4.93;6.79;1.81;1.17;0.80;1.76;2.57;7.04;15.36;0.459;1.31;3.41;0.385;3.47;4.20;0.827
Metta World Peace;2006-2007;REG;Kings;70;37.73;18.80;1.46;5.03;6.49;3.36;2.13;0.61;2.09;2.93;6.54;14.86;0.440;1.33;3.71;0.358;4.39;5.93;0.740
Luol Deng;2006-2007;REG;Bulls;82;37.46;18.78;1.80;5.26;7.06;2.49;1.18;0.59;1.87;2.04;7.68;14.85;0.517;0.01;0.09;0.143;3.40;4.38;0.777
Steve Nash;2006-2007;REG;Suns;76;35.30;18.58;0.39;3.14;3.54;11.63;0.75;0.08;3.78;1.54;6.80;12.78;0.532;2.05;4.51;0.455;2.92;3.25;0.899
Tony Parker;2006-2007;REG;Spurs;77;32.45;18.56;0.44;2.81;3.25;5.45;1.06;0.08;2.48;1.78;7.40;14.23;0.520;0.19;0.49;0.395;3.56;4.55;0.783
Mike Miller;2006-2007;REG;Grizzlies;70;39.14;18.47;0.74;4.66;5.40;4.26;0.77;0.26;2.56;1.97;6.64;14.43;0.460;2.89;7.11;0.406;2.30;2.90;0.793
David West;2006-2007;REG;Hornets;52;36.53;18.25;2.42;5.73;8.15;2.19;0.81;0.73;1.88;2.75;7.25;15.23;0.476;0.15;0.48;0.320;3.60;4.37;0.824
Andre Iguodala;2006-2007;REG;Sixers;76;40.29;18.24;1.01;4.70;5.71;5.68;2.00;0.43;3.43;2.63;5.83;13.04;0.447;0.63;2.04;0.310;5.95;7.25;0.820
Gerald Wallace;2006-2007;REG;Bobcats;72;36.67;18.11;1.97;5.22;7.19;2.57;2.00;0.96;2.22;2.90;6.64;13.22;0.502;0.54;1.67;0.325;4.29;6.21;0.691
Leandro Barbosa;2006-2007;REG;Suns;80;32.66;18.05;0.28;2.40;2.68;3.96;1.20;0.19;1.83;2.63;6.61;13.89;0.476;2.38;5.48;0.434;2.45;2.90;0.845
Peja Stojakovic;2006-2007;REG;Hornets;13;32.70;17.77;0.85;3.31;4.15;0.85;0.62;0.31;1.46;2.23;6.38;15.08;0.423;2.62;6.46;0.405;2.38;2.92;0.816
Jamal Crawford;2006-2007;REG;Knicks;59;37.25;17.61;0.75;2.46;3.20;4.39;0.97;0.14;2.75;1.93;6.00;15.02;0.400;1.75;5.46;0.320;3.86;4.61;0.838
Dwight Howard;2006-2007;REG;Magic;82;36.87;17.60;3.45;8.84;12.29;1.93;0.85;1.90;3.87;2.99;6.41;10.65;0.603;0.01;0.02;0.500;4.76;8.12;0.586
Mehmet Okur;2006-2007;REG;Jazz;80;33.31;17.56;2.00;5.24;7.24;1.95;0.45;0.48;1.56;3.21;6.13;13.26;0.462;1.61;4.20;0.384;3.70;4.84;0.765
Shawn Marion;2006-2007;REG;Suns;80;37.63;17.54;2.15;7.66;9.81;1.68;1.95;1.53;1.43;2.70;7.01;13.39;0.524;1.00;3.15;0.317;2.51;3.10;0.810
Mo Williams;2006-2007;REG;Bucks;68;36.35;17.26;0.79;4.04;4.84;6.12;1.25;0.09;2.99;2.96;6.88;15.43;0.446;1.16;3.35;0.347;2.34;2.74;0.855
Chris Paul;2006-2007;REG;Hornets;64;36.76;17.25;0.84;3.53;4.38;8.89;1.84;0.05;2.52;2.41;5.95;13.61;0.437;0.78;2.23;0.350;4.56;5.58;0.818
Shaquille O'Neal;2006-2007;REG;Heat;40;28.36;17.25;2.43;5.00;7.43;1.98;0.20;1.38;2.38;3.48;7.08;11.98;0.591;0.00;0.00;0.000;3.10;7.35;0.422
Mike Bibby;2006-2007;REG;Kings;82;33.95;17.11;0.48;2.73;3.21;4.73;1.07;0.07;2.40;1.70;5.74;14.22;0.404;2.11;5.87;0.360;3.51;4.23;0.830
Chauncey Billups;2006-2007;REG;Pistons;70;36.19;17.01;0.33;3.06;3.39;7.17;1.20;0.24;2.00;2.30;4.97;11.64;0.427;1.56;4.51;0.345;5.51;6.24;0.883
Ricky Davis;2006-2007;REG;Timberwolves;81;37.30;16.96;0.67;3.22;3.89;4.75;0.99;0.28;2.59;2.33;6.25;13.44;0.465;1.52;3.83;0.397;2.95;3.52;0.839
Corey Maggette;2006-2007;REG;Clippers;75;30.55;16.88;1.20;4.69;5.89;2.77;0.87;0.19;2.68;3.25;4.89;10.77;0.454;0.17;0.87;0.200;6.92;8.44;0.820
Brandon Roy;2006-2007;REG;Trail Blazers;57;35.34;16.75;1.02;3.37;4.39;4.04;1.18;0.18;2.04;2.44;6.12;13.42;0.456;0.96;2.56;0.377;3.54;4.23;0.838
Jason Terry;2006-2007;REG;Mavericks;81;35.14;16.67;0.51;2.35;2.85;5.21;1.00;0.21;1.88;2.10;6.35;13.12;0.484;2.00;4.57;0.438;1.98;2.46;0.804
Kirk Hinrich;2006-2007;REG;Bulls;80;35.49;16.59;0.40;3.03;3.43;6.25;1.25;0.29;2.39;3.43;5.94;13.26;0.448;1.75;4.21;0.415;2.96;3.55;0.835
Manu Ginobili;2006-2007;REG;Spurs;75;27.47;16.53;0.79;3.57;4.36;3.51;1.45;0.36;2.09;2.07;5.28;11.39;0.464;1.71;4.31;0.396;4.27;4.96;0.860
Monta Ellis;2006-2007;REG;Warriors;77;34.25;16.52;0.81;2.35;3.16;4.14;1.71;0.27;2.87;2.73;6.23;13.12;0.475;0.51;1.86;0.273;3.55;4.65;0.763
Al Harrington;2006-2007;REG;Pacers, Warriors;78;32.86;16.47;1.94;4.42;6.36;1.91;0.83;0.31;2.17;3.45;6.35;13.88;0.457;1.63;3.76;0.433;2.15;3.10;0.694
Nenad Krstic;2006-2007;REG;Nets;26;32.64;16.38;1.96;4.81;6.77;1.77;0.38;0.92;2.00;3.38;6.54;12.42;0.526;0.00;0.04;0.000;3.31;4.65;0.711
Josh Smith;2006-2007;REG;Hawks;72;36.77;16.36;2.29;6.33;8.63;3.28;1.40;2.88;3.15;3.35;6.06;13.79;0.439;0.53;2.11;0.250;3.72;5.38;0.693
Stephon Marbury;2006-2007;REG;Knicks;74;37.13;16.35;0.49;2.39;2.88;5.45;0.96;0.14;2.42;2.50;5.34;12.86;0.415;1.66;4.66;0.357;4.01;5.22;0.769
Richard Jefferson;2006-2007;REG;Nets;55;35.56;16.31;0.87;3.49;4.36;2.69;0.62;0.15;2.18;2.24;5.51;12.09;0.456;0.95;2.64;0.359;4.35;5.93;0.733
Deron Williams;2006-2007;REG;Jazz;80;36.88;16.21;0.51;2.83;3.34;9.31;0.98;0.16;3.08;3.18;6.18;13.54;0.456;1.03;3.19;0.322;2.84;3.70;0.767
Al Jefferson;2006-2007;REG;Celtics;69;33.61;16.04;3.43;7.52;10.96;1.28;0.70;1.54;1.97;3.36;6.57;12.78;0.514;0.00;0.01;0.000;2.91;4.28;0.681
Jason Richardson;2006-2007;REG;Warriors;51;32.84;15.96;1.41;3.67;5.08;3.37;1.06;0.63;1.61;2.53;6.00;14.39;0.417;2.16;5.88;0.367;1.80;2.75;0.657
Lamar Odom;2006-2007;REG;Lakers;56;39.32;15.89;1.82;7.95;9.77;4.82;0.95;0.57;2.91;3.25;5.70;12.16;0.468;0.96;3.25;0.297;3.54;5.05;0.700
Stephen Jackson;2006-2007;REG;Pacers, Warriors;75;33.05;15.48;0.81;2.15;2.96;3.83;1.12;0.45;2.44;2.67;5.45;12.59;0.433;1.33;4.15;0.322;3.24;3.99;0.813
Wally Szczerbiak;2006-2007;REG;Celtics;32;28.13;14.97;0.50;2.56;3.06;1.72;0.56;0.09;1.69;2.03;5.03;12.13;0.415;1.38;3.31;0.415;3.53;3.94;0.897
Larry Hughes;2006-2007;REG;Cavaliers;70;37.09;14.93;0.59;3.23;3.81;3.66;1.27;0.37;2.20;2.34;5.44;13.61;0.400;1.06;3.17;0.333;2.99;4.41;0.676
Ruben Patterson;2006-2007;REG;Bucks;81;30.95;14.74;2.35;3.09;5.43;2.86;1.36;0.31;2.46;2.86;5.86;10.70;0.548;0.04;0.23;0.158;2.98;4.64;0.641
Raja Bell;2006-2007;REG;Suns;78;37.40;14.65;0.62;2.60;3.22;2.51;0.64;0.28;1.06;2.99;5.26;12.18;0.432;2.63;6.36;0.413;1.51;1.95;0.776
Earl Boykins;2006-2007;REG;Nuggets, Bucks;66;30.78;14.56;0.74;1.36;2.11;4.41;0.85;0.03;1.82;1.39;4.89;11.65;0.420;1.44;3.62;0.397;3.33;3.71;0.898
Kyle Korver;2006-2007;REG;Sixers;74;30.92;14.42;0.41;3.09;3.50;1.42;0.77;0.27;1.58;2.54;5.03;11.42;0.440;1.78;4.15;0.430;2.58;2.82;0.914
Emeka Okafor;2006-2007;REG;Bobcats;67;34.76;14.37;3.85;7.45;11.30;1.19;0.85;2.57;1.66;3.13;5.88;11.04;0.532;0.00;0.00;0.000;2.61;4.40;0.593
Grant Hill;2006-2007;REG;Magic;65;30.91;14.37;0.82;2.83;3.65;2.12;0.94;0.38;2.22;2.25;5.26;10.15;0.518;0.03;0.18;0.167;3.82;4.98;0.765
Tayshaun Prince;2006-2007;REG;Pistons;82;36.60;14.28;1.76;3.48;5.23;2.77;0.62;0.67;1.20;1.41;5.60;12.16;0.460;0.99;2.56;0.386;2.10;2.73;0.768
Andres Nocioni;2006-2007;REG;Bulls;53;26.52;14.13;0.79;4.89;5.68;1.08;0.51;0.45;1.96;3.09;5.15;11.02;0.467;1.51;3.94;0.383;2.32;2.74;0.848
Raymond Felton;2006-2007;REG;Bobcats;78;36.31;14.01;0.65;2.77;3.42;6.99;1.51;0.13;2.95;2.31;5.04;13.13;0.384;1.32;4.00;0.330;2.62;3.28;0.797
T.J. Ford;2006-2007;REG;Raptors;75;29.91;13.96;0.71;2.44;3.15;7.93;1.35;0.11;3.08;2.48;5.24;12.03;0.436;0.28;0.92;0.304;3.20;3.91;0.819
Danny Granger;2006-2007;REG;Pacers;82;33.97;13.93;1.39;3.26;4.65;1.39;0.82;0.74;1.65;2.99;4.85;10.59;0.459;1.34;3.51;0.382;2.88;3.59;0.803
Cuttino Mobley;2006-2007;REG;Clippers;78;36.42;13.81;0.67;2.76;3.42;2.54;1.18;0.31;1.86;2.38;4.97;11.31;0.440;1.29;3.15;0.411;2.56;3.06;0.837
Desmond Mason;2006-2007;REG;Hornets;75;34.34;13.71;1.65;2.95;4.60;1.53;0.69;0.29;2.56;2.32;5.43;12.00;0.452;0.00;0.00;0.000;2.85;4.31;0.663
Charlie Bell;2006-2007;REG;Bucks;82;34.73;13.54;0.70;2.21;2.90;3.01;1.18;0.05;1.27;2.60;5.20;11.88;0.437;1.55;4.40;0.352;1.60;2.05;0.780
Chris Wilcox;2006-2007;REG;SuperSonics;82;31.53;13.49;2.17;5.50;7.67;1.00;0.85;0.46;1.55;3.02;5.28;9.99;0.529;0.00;0.07;0.000;2.93;4.28;0.684
Andre Miller;2006-2007;REG;Nuggets, Sixers;80;37.07;13.44;1.21;3.19;4.40;7.81;1.38;0.13;2.78;2.30;5.30;11.36;0.466;0.06;0.44;0.143;2.78;3.54;0.784
Hedo Turkoglu;2006-2007;REG;Magic;73;31.07;13.29;0.78;3.23;4.01;3.19;0.96;0.22;1.96;3.03;4.73;11.27;0.419;1.49;3.85;0.388;2.34;3.00;0.781
