Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kevin Durant;2013-2014;REG;Thunder;81;38.54;32.01;0.72;6.67;7.38;5.49;1.27;0.73;3.52;2.15;10.48;20.84;0.503;2.37;6.06;0.391;8.68;9.94;0.873
Carmelo Anthony;2013-2014;REG;Knicks;77;38.72;27.43;1.88;6.19;8.08;3.13;1.23;0.66;2.57;2.91;9.65;21.34;0.452;2.17;5.39;0.402;5.96;7.03;0.848
LeBron James;2013-2014;REG;Heat;77;37.69;27.13;1.05;5.87;6.92;6.34;1.57;0.34;3.51;1.64;9.96;17.57;0.567;1.51;3.97;0.379;5.70;7.60;0.750
Kevin Love;2013-2014;REG;Timberwolves;77;36.32;26.10;2.91;9.60;12.51;4.44;0.77;0.45;2.53;1.77;8.44;18.47;0.457;2.47;6.56;0.376;6.75;8.22;0.821
James Harden;2013-2014;REG;Rockets;73;38.05;25.36;0.84;3.88;4.71;6.11;1.58;0.40;3.63;2.42;7.52;16.49;0.456;2.42;6.62;0.366;7.89;9.11;0.866
Blake Griffin;2013-2014;REG;Clippers;80;35.79;24.13;2.40;7.06;9.46;3.86;1.15;0.64;2.80;3.31;8.98;16.99;0.528;0.15;0.55;0.273;6.03;8.43;0.715
Stephen Curry;2013-2014;REG;Warriors;78;36.49;24.01;0.59;3.69;4.28;8.55;1.63;0.18;3.77;2.49;8.36;17.73;0.471;3.35;7.88;0.424;3.95;4.46;0.885
LaMarcus Aldridge;2013-2014;REG;Trail Blazers;69;36.22;23.23;2.41;8.70;11.10;2.58;0.91;0.99;1.78;2.13;9.45;20.62;0.458;0.04;0.22;0.200;4.29;5.22;0.822
DeMarcus Cousins;2013-2014;REG;Kings;71;32.36;22.73;3.07;8.63;11.70;2.92;1.54;1.28;3.54;3.80;8.32;16.77;0.496;0.00;0.10;0.000;6.08;8.38;0.726
DeMar DeRozan;2013-2014;REG;Raptors;79;38.19;22.67;0.65;3.70;4.34;3.96;1.09;0.35;2.23;2.49;7.65;17.81;0.429;0.81;2.66;0.305;6.57;7.97;0.824
Al Jefferson;2013-2014;REG;Bobcats;73;34.98;21.84;2.14;8.71;10.85;2.12;0.92;1.08;1.70;2.41;9.59;18.85;0.509;0.04;0.21;0.200;2.62;3.79;0.690
Russell Westbrook;2013-2014;REG;Thunder;46;30.69;21.78;1.20;4.52;5.72;6.93;1.91;0.15;3.85;2.26;7.52;17.20;0.437;1.48;4.65;0.318;5.26;6.37;0.826
Paul George;2013-2014;REG;Pacers;80;36.23;21.71;0.80;5.98;6.78;3.54;1.89;0.28;2.80;2.48;7.21;17.03;0.424;2.28;6.25;0.364;5.01;5.80;0.864
Dirk Nowitzki;2013-2014;REG;Mavericks;80;32.85;21.69;0.50;5.73;6.23;2.70;0.91;0.56;1.46;2.06;7.91;15.91;0.497;1.64;4.11;0.398;4.23;4.70;0.899
Kyrie Irving;2013-2014;REG;Cavaliers;71;35.15;20.82;0.73;2.92;3.65;6.10;1.52;0.32;2.68;2.30;7.49;17.42;0.430;1.73;4.85;0.358;4.10;4.76;0.861
Anthony Davis;2013-2014;REG;Pelicans;67;35.19;20.81;3.09;6.96;10.04;1.57;1.33;2.82;1.63;2.99;7.79;15.00;0.519;0.03;0.13;0.223;5.19;6.57;0.791
Brook Lopez;2013-2014;REG;Nets;17;31.38;20.71;2.29;3.71;6.00;0.94;0.53;1.76;1.65;3.06;7.59;13.47;0.563;0.00;0.06;0.000;5.53;6.76;0.817
Damian Lillard;2013-2014;REG;Trail Blazers;82;35.81;20.67;0.43;3.09;3.51;5.57;0.78;0.27;2.35;2.40;6.74;15.90;0.424;2.66;6.76;0.393;4.52;5.20;0.871
Isaiah Thomas;2013-2014;REG;Kings;72;34.68;20.35;0.65;2.26;2.92;6.31;1.29;0.11;2.96;2.57;6.89;15.22;0.453;1.76;5.06;0.349;4.81;5.65;0.850
