Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Jermareo Davidson;2007-2008;REG;Bobcats;38;8.46;3.16;0.55;1.08;1.63;0.34;0.18;0.39;0.45;1.21;1.34;3.29;0.408;0.00;0.00;0.000;0.47;0.74;0.643
Dan Gadzuric;2007-2008;REG;Bucks;51;10.47;3.16;1.31;1.51;2.82;0.22;0.39;0.47;0.67;1.63;1.25;3.02;0.416;0.00;0.02;0.000;0.65;1.24;0.524
Mardy Collins;2007-2008;REG;Knicks;46;13.78;3.15;0.41;1.22;1.63;1.93;0.52;0.17;1.22;1.22;1.24;3.80;0.326;0.17;0.70;0.250;0.50;0.83;0.605
Jorge Garbajosa;2007-2008;REG;Raptors;7;10.54;3.14;0.29;1.86;2.14;0.43;0.43;0.00;0.14;0.29;1.14;3.57;0.320;0.86;2.29;0.375;0.00;0.00;0.000
Sean Marks;2007-2008;REG;Suns;19;6.83;3.11;0.47;1.42;1.89;0.21;0.16;0.53;0.42;1.21;1.21;2.26;0.535;0.05;0.21;0.250;0.63;1.00;0.632
Troy Hudson;2007-2008;REG;Warriors;9;10.37;3.11;0.00;0.78;0.78;1.00;0.33;0.00;0.78;0.44;1.00;3.44;0.290;0.44;1.33;0.333;0.67;0.67;1.000
Randolph Morris;2007-2008;REG;Knicks;18;10.05;3.11;0.67;1.39;2.06;0.11;0.22;0.11;0.50;2.06;1.17;3.22;0.362;0.00;0.00;0.000;0.78;1.61;0.483
Andre Brown;2007-2008;REG;Grizzlies;33;8.68;3.03;1.12;1.67;2.79;0.24;0.21;0.12;0.42;1.15;1.18;2.36;0.500;0.00;0.00;0.000;0.67;1.48;0.449
Dikembe Mutombo;2007-2008;REG;Rockets;39;15.87;3.03;1.74;3.36;5.10;0.13;0.28;1.23;0.44;1.41;1.10;2.05;0.538;0.00;0.00;0.000;0.82;1.15;0.711
Marcin Gortat;2007-2008;REG;Magic;6;6.78;3.00;1.33;1.33;2.67;0.33;0.17;0.17;0.33;0.67;1.33;2.83;0.471;0.00;0.00;0.000;0.33;0.50;0.667
Charles Hayes;2007-2008;REG;Rockets;79;19.94;3.00;1.67;3.73;5.41;1.15;1.08;0.54;0.78;2.68;1.43;2.80;0.511;0.00;0.04;0.000;0.14;0.30;0.458
Darius Washington;2007-2008;REG;Spurs;18;8.09;2.94;0.22;0.89;1.11;0.83;0.28;0.00;0.78;0.89;1.17;2.67;0.438;0.22;0.67;0.333;0.39;0.72;0.538
Jason Hart;2007-2008;REG;Jazz;57;10.62;2.89;0.09;0.88;0.96;1.51;0.53;0.05;0.49;1.32;1.02;3.16;0.322;0.19;0.54;0.355;0.67;0.79;0.844
Marco Belinelli;2007-2008;REG;Warriors;33;7.29;2.88;0.09;0.33;0.42;0.45;0.15;0.00;0.36;0.45;1.09;2.82;0.387;0.48;1.24;0.390;0.21;0.27;0.778
DeSagana Diop;2007-2008;REG;Mavericks, Nets;79;16.40;2.86;2.03;2.94;4.96;0.51;0.33;1.11;0.73;1.85;1.19;2.28;0.522;0.00;0.00;0.000;0.48;0.89;0.543
Yakhouba Diawara;2007-2008;REG;Nuggets;54;10.03;2.83;0.43;0.72;1.15;0.69;0.15;0.06;0.30;1.13;1.02;2.48;0.410;0.39;1.22;0.318;0.41;0.57;0.710
Hilton Armstrong;2007-2008;REG;Hornets;65;11.26;2.74;1.00;1.51;2.51;0.35;0.23;0.52;0.91;2.00;1.03;2.28;0.453;0.00;0.00;0.000;0.68;1.08;0.629
Maceo Baston;2007-2008;REG;Raptors;15;6.88;2.73;0.60;1.13;1.73;0.20;0.13;0.27;0.27;1.33;1.13;1.67;0.680;0.00;0.00;0.000;0.47;0.67;0.700
Mike Wilks;2007-2008;REG;Nuggets, Wizards, SuperSonics;15;12.53;2.73;0.33;0.93;1.27;0.93;0.60;0.00;0.60;0.87;1.13;2.40;0.472;0.20;0.53;0.375;0.27;0.27;1.000
Eddie Gill;2007-2008;REG;Nets, SuperSonics;14;10.95;2.71;0.07;1.50;1.57;1.57;0.50;0.14;0.64;1.29;0.86;2.21;0.387;0.36;1.07;0.333;0.64;0.64;1.000
Linton Johnson;2007-2008;REG;Suns, Raptors;8;7.88;2.63;0.63;1.13;1.75;0.50;0.00;0.13;0.63;1.38;1.13;2.38;0.474;0.13;0.38;0.333;0.25;0.25;1.000
Sergio Rodriguez;2007-2008;REG;Trail Blazers;72;8.72;2.50;0.18;0.63;0.81;1.71;0.33;0.00;0.74;0.79;0.96;2.72;0.352;0.24;0.81;0.293;0.35;0.53;0.658
Robert Horry;2007-2008;REG;Spurs;45;12.95;2.49;0.78;1.64;2.42;1.04;0.47;0.42;0.49;1.22;0.84;2.64;0.319;0.40;1.56;0.257;0.40;0.62;0.643
Darrell Armstrong;2007-2008;REG;Nets;50;10.97;2.46;0.34;1.00;1.34;1.46;0.56;0.04;0.82;1.06;0.80;2.20;0.364;0.46;1.38;0.333;0.40;0.60;0.667
Ryan Hollins;2007-2008;REG;Bobcats;60;8.86;2.45;0.88;0.90;1.78;0.23;0.17;0.50;0.42;1.60;0.77;1.57;0.489;0.00;0.00;0.000;0.92;1.37;0.671
Paul Davis;2007-2008;REG;Clippers;22;8.82;2.45;1.14;1.00;2.14;0.45;0.27;0.27;0.41;1.50;1.09;2.95;0.369;0.00;0.00;0.000;0.27;0.45;0.600
Eric Piatkowski;2007-2008;REG;Suns;16;7.04;2.44;0.06;0.69;0.75;0.63;0.00;0.06;0.38;0.69;0.75;2.06;0.364;0.69;1.63;0.423;0.25;0.25;1.000
Lindsey Hunter;2007-2008;REG;Pistons;24;8.97;2.42;0.17;0.38;0.54;1.38;0.54;0.08;0.54;1.25;0.92;2.67;0.344;0.29;1.08;0.269;0.29;0.38;0.778
Michael Doleac;2007-2008;REG;Timberwolves;24;10.71;2.38;0.67;1.38;2.04;0.29;0.42;0.42;0.50;1.83;1.17;2.63;0.444;0.00;0.00;0.000;0.04;0.08;0.501
Mouhamed Sene;2007-2008;REG;SuperSonics;13;4.78;2.31;0.54;0.69;1.23;0.08;0.00;0.54;0.00;0.69;0.85;1.85;0.458;0.00;0.00;0.000;0.62;1.31;0.471
Aaron Williams;2007-2008;REG;Clippers;30;9.90;2.27;0.50;1.53;2.03;0.30;0.40;0.50;0.43;1.47;0.90;1.83;0.491;0.00;0.00;0.000;0.47;0.60;0.778
Primoz Brezec;2007-2008;REG;Bobcats, Pistons, Raptors;50;9.49;2.24;0.60;1.02;1.62;0.22;0.06;0.14;0.48;1.66;0.88;1.88;0.468;0.00;0.00;0.000;0.48;0.80;0.600
Jake Voskuhl;2007-2008;REG;Bucks;44;8.77;2.23;0.68;1.52;2.20;0.30;0.20;0.48;0.66;1.89;0.84;1.82;0.462;0.00;0.00;0.000;0.55;0.66;0.828
DJ Strawberry;2007-2008;REG;Suns;33;8.18;2.21;0.27;0.58;0.85;0.91;0.36;0.18;0.33;1.09;0.88;2.79;0.315;0.18;0.76;0.240;0.27;0.58;0.474
P.J. Brown;2007-2008;REG;Celtics;18;11.62;2.17;1.61;2.17;3.78;0.56;0.28;0.44;0.56;1.61;0.78;2.28;0.341;0.00;0.06;0.000;0.61;0.89;0.687
Marcus Vinicius;2007-2008;REG;Hornets;13;5.32;2.15;0.08;0.54;0.62;0.15;0.08;0.08;0.23;0.31;0.69;1.54;0.450;0.38;0.92;0.417;0.38;0.85;0.455
Ryan Bowen;2007-2008;REG;Hornets;53;12.45;2.15;1.04;0.85;1.89;0.47;0.60;0.21;0.28;1.45;0.92;1.89;0.490;0.00;0.02;0.000;0.30;0.55;0.552
Gabe Pruitt;2007-2008;REG;Celtics;15;6.31;2.13;0.07;0.47;0.53;0.87;0.33;0.00;0.33;0.67;0.93;2.60;0.359;0.20;0.80;0.250;0.07;0.13;0.500
Pat Garrity;2007-2008;REG;Magic;31;9.16;2.13;0.29;1.13;1.42;0.42;0.19;0.03;0.55;1.13;0.87;2.58;0.338;0.26;1.19;0.216;0.13;0.16;0.800
Othella Harrington;2007-2008;REG;Bobcats;22;7.55;2.09;0.50;1.41;1.91;0.18;0.05;0.18;0.50;1.55;0.82;1.91;0.429;0.00;0.00;0.000;0.45;0.73;0.625
Steven Hunter;2007-2008;REG;Nuggets;19;6.28;2.05;0.53;1.00;1.53;0.00;0.00;0.32;0.37;1.05;0.79;1.47;0.536;0.00;0.00;0.000;0.47;1.05;0.450
Casey Jacobsen;2007-2008;REG;Grizzlies;53;10.32;2.02;0.23;1.00;1.23;0.38;0.09;0.02;0.30;0.64;0.74;2.17;0.339;0.30;1.36;0.222;0.25;0.32;0.765
