Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kevin Durant;2011-2012;REG;Thunder;66;38.58;28.03;0.61;7.38;7.98;3.50;1.33;1.17;3.76;2.02;9.74;19.65;0.496;2.02;5.21;0.387;6.53;7.59;0.860
Kobe Bryant;2011-2012;REG;Lakers;58;38.49;27.86;1.14;4.26;5.40;4.55;1.19;0.31;3.52;1.81;9.90;23.03;0.430;1.50;4.95;0.303;6.57;7.78;0.845
LeBron James;2011-2012;REG;Heat;62;37.52;27.15;1.52;6.42;7.94;6.24;1.85;0.81;3.44;1.55;10.02;18.85;0.531;0.87;2.40;0.362;6.24;8.10;0.771
Kevin Love;2011-2012;REG;Timberwolves;55;39.01;26.04;4.11;9.24;13.35;2.02;0.85;0.51;2.33;2.76;8.62;19.25;0.448;1.91;5.13;0.372;6.89;8.36;0.824
Russell Westbrook;2011-2012;REG;Thunder;66;35.32;23.61;1.45;3.11;4.56;5.48;1.70;0.32;3.62;2.23;8.76;19.18;0.457;0.94;2.97;0.316;5.15;6.26;0.823
Carmelo Anthony;2011-2012;REG;Knicks;55;34.11;22.64;1.60;4.65;6.25;3.64;1.13;0.44;2.62;2.84;8.02;18.64;0.430;1.24;3.69;0.335;5.36;6.67;0.804
Dwyane Wade;2011-2012;REG;Heat;49;33.17;22.08;1.49;3.35;4.84;4.59;1.67;1.29;2.63;2.24;8.49;17.08;0.497;0.31;1.14;0.268;4.80;6.06;0.791
Derrick Rose;2011-2012;REG;Bulls;39;35.24;21.85;0.67;2.69;3.36;7.87;0.90;0.72;3.05;1.33;7.74;17.82;0.435;1.38;4.44;0.312;4.97;6.13;0.812
Dirk Nowitzki;2011-2012;REG;Mavericks;62;33.53;21.65;0.74;6.00;6.74;2.19;0.68;0.48;1.89;2.08;7.63;16.68;0.457;1.26;3.42;0.368;5.13;5.73;0.896
LaMarcus Aldridge;2011-2012;REG;Trail Blazers;55;36.26;21.65;2.73;5.31;8.04;2.44;0.93;0.82;2.02;2.78;8.78;17.15;0.512;0.04;0.20;0.182;4.05;4.98;0.814
Deron Williams;2011-2012;REG;Nets;55;36.34;20.98;0.42;2.91;3.33;8.75;1.22;0.36;3.98;2.20;7.11;17.47;0.407;2.09;6.22;0.336;4.67;5.55;0.843
Blake Griffin;2011-2012;REG;Clippers;66;36.24;20.73;3.30;7.56;10.86;3.18;0.82;0.73;2.27;3.27;8.50;15.48;0.549;0.03;0.24;0.125;3.70;7.09;0.521
Dwight Howard;2011-2012;REG;Magic;54;38.33;20.61;3.70;10.83;14.54;1.93;1.50;2.15;3.24;2.94;7.70;13.44;0.573;0.00;0.13;0.000;5.20;10.59;0.491
Eric Gordon;2011-2012;REG;Hornets;9;34.49;20.56;0.22;2.56;2.78;3.44;1.44;0.44;2.67;2.22;7.00;15.56;0.450;1.11;4.44;0.250;5.44;7.22;0.754
Monta Ellis;2011-2012;REG;Warriors, Bucks;58;36.56;20.36;0.34;3.10;3.45;5.97;1.47;0.31;3.05;2.34;7.76;17.93;0.433;1.07;3.47;0.308;3.78;4.74;0.796
David Lee;2011-2012;REG;Warriors;57;37.21;20.12;3.00;6.56;9.56;2.84;0.95;0.39;2.61;3.14;8.14;16.18;0.503;0.00;0.09;0.000;3.84;4.91;0.782
Chris Paul;2011-2012;REG;Clippers;60;36.34;19.82;0.70;2.85;3.55;9.05;2.53;0.07;2.07;2.30;7.08;14.83;0.478;1.32;3.55;0.371;4.33;5.03;0.861
Andrea Bargnani;2011-2012;REG;Raptors;31;33.28;19.45;0.77;4.77;5.55;1.97;0.58;0.48;2.23;1.68;6.74;15.61;0.432;1.10;3.71;0.296;4.87;5.58;0.873
Paul Pierce;2011-2012;REG;Celtics;61;34.01;19.36;0.61;4.59;5.20;4.49;1.15;0.43;2.84;2.41;6.46;14.59;0.443;1.64;4.48;0.366;4.80;5.64;0.852
Brook Lopez;2011-2012;REG;Nets;5;27.19;19.20;1.60;2.00;3.60;1.20;0.20;0.80;1.20;1.60;7.60;15.40;0.494;0.00;0.00;0.000;4.00;6.40;0.625
Al Jefferson;2011-2012;REG;Jazz;61;34.02;19.18;2.18;7.41;9.59;2.20;0.77;1.66;1.02;2.54;8.46;17.18;0.492;0.02;0.07;0.250;2.25;2.90;0.774
Brandon Jennings;2011-2012;REG;Bucks;66;35.32;19.09;0.74;2.68;3.42;5.53;1.58;0.33;2.21;1.73;7.11;16.98;0.418;1.95;5.88;0.332;2.92;3.62;0.808
Rudy Gay;2011-2012;REG;Grizzlies;65;37.26;18.95;2.00;4.42;6.42;2.26;1.46;0.85;2.48;2.12;7.46;16.42;0.455;0.83;2.66;0.312;3.20;4.05;0.791
Joe Johnson;2011-2012;REG;Hawks;60;35.44;18.82;0.88;2.80;3.68;3.87;0.80;0.22;1.93;1.25;7.05;15.52;0.454;2.08;5.37;0.388;2.63;3.10;0.849
Josh Smith;2011-2012;REG;Hawks;66;35.28;18.77;2.06;7.52;9.58;3.89;1.41;1.74;2.48;2.61;7.64;16.68;0.458;0.42;1.65;0.257;3.08;4.88;0.630
Andrew Bynum;2011-2012;REG;Lakers;60;35.19;18.72;3.20;8.62;11.82;1.42;0.45;1.93;2.53;1.73;7.40;13.27;0.558;0.02;0.08;0.200;3.90;5.63;0.692
Danny Granger;2011-2012;REG;Pacers;62;33.26;18.69;1.27;3.68;4.95;1.76;1.00;0.65;1.77;2.32;6.31;15.18;0.416;1.98;5.21;0.381;4.10;4.69;0.873
Marcus Thornton;2011-2012;REG;Kings;51;34.90;18.67;1.65;2.04;3.69;1.92;1.39;0.24;1.65;2.18;6.90;15.75;0.438;2.10;6.08;0.345;2.76;3.20;0.865
Kyrie Irving;2011-2012;REG;Cavaliers;51;30.55;18.51;0.86;2.88;3.75;5.39;1.06;0.39;3.14;2.16;6.86;14.65;0.469;1.43;3.59;0.399;3.35;3.84;0.872
Tony Parker;2011-2012;REG;Spurs;60;32.05;18.25;0.37;2.48;2.85;7.72;0.95;0.08;2.55;1.25;7.12;14.83;0.480;0.23;1.02;0.229;3.78;4.73;0.799
DeMarcus Cousins;2011-2012;REG;Kings;64;30.47;18.13;4.14;6.84;10.98;1.59;1.45;1.17;2.66;4.02;7.00;15.61;0.448;0.03;0.22;0.143;4.09;5.83;0.702
Chris Bosh;2011-2012;REG;Heat;57;35.21;17.98;1.65;6.28;7.93;1.81;0.89;0.79;2.05;2.25;6.89;14.16;0.487;0.18;0.61;0.286;4.02;4.89;0.821
Amar'e Stoudemire;2011-2012;REG;Knicks;47;32.83;17.51;2.26;5.55;7.81;1.11;0.81;0.96;2.38;2.94;6.72;13.91;0.483;0.11;0.45;0.238;3.96;5.17;0.765
Pau Gasol;2011-2012;REG;Lakers;65;37.38;17.37;2.82;7.62;10.43;3.65;0.57;1.35;2.18;1.95;7.06;14.11;0.501;0.11;0.42;0.259;3.14;4.02;0.782
Antawn Jamison;2011-2012;REG;Cavaliers;65;33.09;17.20;1.89;4.38;6.28;2.02;0.78;0.66;1.38;2.52;6.48;16.06;0.403;1.40;4.11;0.341;2.85;4.17;0.683
Kevin Martin;2011-2012;REG;Rockets;40;31.59;17.05;0.33;2.33;2.65;2.75;0.70;0.08;1.75;1.75;5.55;13.43;0.413;1.95;5.63;0.347;4.00;4.48;0.894
James Harden;2011-2012;REG;Thunder;62;31.39;16.84;0.48;3.58;4.06;3.69;1.00;0.24;2.21;2.42;4.98;10.15;0.491;1.84;4.71;0.390;5.03;5.95;0.846
DeMar DeRozan;2011-2012;REG;Raptors;63;35.01;16.73;0.63;2.71;3.35;2.03;0.76;0.27;1.95;2.57;6.05;14.33;0.422;0.38;1.46;0.261;4.25;5.25;0.810
Paul Millsap;2011-2012;REG;Jazz;64;32.81;16.58;2.81;5.98;8.80;2.34;1.84;0.81;1.75;3.47;6.66;13.45;0.495;0.11;0.48;0.226;3.16;3.98;0.792
Tyreke Evans;2011-2012;REG;Kings;63;34.32;16.46;1.02;3.57;4.59;4.49;1.33;0.46;2.71;2.16;6.48;14.29;0.453;0.32;1.57;0.202;3.19;4.10;0.779
Ty Lawson;2011-2012;REG;Nuggets;61;34.82;16.38;0.89;2.84;3.72;6.57;1.34;0.10;2.44;1.54;6.13;12.57;0.488;1.20;3.28;0.365;2.92;3.54;0.824
John Wall;2011-2012;REG;Wizards;66;36.15;16.30;0.73;3.82;4.55;8.03;1.44;0.86;3.86;2.08;5.73;13.55;0.423;0.05;0.64;0.071;4.80;6.09;0.789
Ryan Anderson;2011-2012;REG;Magic;61;32.19;16.07;3.67;4.05;7.72;0.89;0.82;0.43;0.93;2.39;5.44;12.41;0.439;2.72;6.92;0.393;2.46;2.80;0.877
Kevin Garnett;2011-2012;REG;Celtics;60;31.07;15.78;1.10;7.13;8.23;2.92;0.93;1.02;1.78;2.35;6.52;12.95;0.503;0.05;0.15;0.333;2.70;3.15;0.857
Jarrett Jack;2011-2012;REG;Hornets;45;34.01;15.56;0.51;3.40;3.91;6.33;0.69;0.20;2.36;2.07;5.91;12.96;0.456;0.87;2.49;0.348;2.87;3.29;0.872
Luis Scola;2011-2012;REG;Rockets;66;31.32;15.53;1.85;4.64;6.48;2.12;0.53;0.36;2.32;3.24;6.61;13.45;0.491;0.00;0.05;0.000;2.32;3.00;0.773
Tim Duncan;2011-2012;REG;Spurs;58;28.17;15.43;1.90;7.07;8.97;2.28;0.66;1.52;1.67;1.69;6.22;12.64;0.492;0.00;0.07;0.000;2.98;4.29;0.695
Marcin Gortat;2011-2012;REG;Suns;66;32.03;15.41;2.80;7.18;9.98;0.89;0.73;1.50;1.36;2.15;6.47;11.65;0.555;0.00;0.03;0.000;2.47;3.80;0.649
Greg Monroe;2011-2012;REG;Pistons;66;31.54;15.38;3.62;6.03;9.65;2.30;1.26;0.70;2.44;2.73;6.17;11.83;0.521;0.00;0.02;0.000;3.05;4.12;0.739
Luol Deng;2011-2012;REG;Bulls;54;39.43;15.33;1.43;5.06;6.48;2.91;1.04;0.67;1.78;1.50;5.76;13.98;0.412;1.46;3.98;0.367;2.35;3.06;0.770
Arron Afflalo;2011-2012;REG;Nuggets;62;33.65;15.21;0.65;2.53;3.18;2.40;0.58;0.21;1.37;2.16;5.31;11.27;0.471;1.42;3.56;0.398;3.18;3.98;0.798
Gerald Henderson;2011-2012;REG;Bobcats;55;33.29;15.09;1.16;2.93;4.09;2.29;0.89;0.36;1.82;2.33;6.04;13.15;0.459;0.20;0.85;0.234;2.82;3.71;0.760
Jason Terry;2011-2012;REG;Mavericks;63;31.75;15.08;0.25;2.11;2.37;3.59;1.16;0.17;2.02;1.10;5.67;13.17;0.430;2.19;5.79;0.378;1.56;1.76;0.883
Carlos Boozer;2011-2012;REG;Bulls;66;29.52;15.02;1.73;6.82;8.55;1.89;0.95;0.36;1.74;2.55;6.79;12.76;0.532;0.00;0.02;0.000;1.44;2.08;0.693
Corey Maggette;2011-2012;REG;Bobcats;32;27.52;15.00;0.66;3.25;3.91;1.22;0.72;0.03;1.84;2.59;4.34;11.66;0.373;0.75;2.06;0.364;5.56;6.50;0.856
Chauncey Billups;2011-2012;REG;Clippers;20;30.33;14.95;0.20;2.30;2.50;4.00;0.45;0.15;1.90;2.00;4.15;11.40;0.364;2.40;6.25;0.384;4.25;4.75;0.895
Louis Williams;2011-2012;REG;76ers;64;26.28;14.94;0.47;1.95;2.42;3.45;0.83;0.28;1.11;1.41;4.97;12.22;0.407;1.30;3.58;0.362;3.70;4.56;0.812
Rodney Stuckey;2011-2012;REG;Pistons;55;29.88;14.76;0.69;1.89;2.58;3.82;0.80;0.18;1.93;2.25;4.65;10.85;0.429;0.60;1.89;0.317;4.85;5.82;0.834
Stephen Curry;2011-2012;REG;Warriors;26;28.15;14.73;0.58;2.81;3.38;5.31;1.50;0.31;2.50;2.38;5.58;11.38;0.490;2.12;4.65;0.455;1.46;1.81;0.808
Jordan Crawford;2011-2012;REG;Wizards;64;27.39;14.66;0.69;1.94;2.63;2.97;0.92;0.08;2.20;1.73;5.45;13.63;0.400;1.23;4.27;0.289;2.52;3.17;0.793
Marc Gasol;2011-2012;REG;Grizzlies;65;36.47;14.65;1.85;7.06;8.91;3.14;0.95;1.86;1.86;3.09;5.49;11.38;0.482;0.02;0.18;0.083;3.65;4.88;0.748
