Starters;Tm;MP;FG;FGA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;3P%;FT%;Team;Year
Paul Pierce;BOS;11:07;1;8;1;4;0;0;1;1;2;0;0;1;2;1;3;.125;.250;;East;2012
Roy Hibbert;IND;10:11;1;3;0;0;1;1;1;2;3;1;0;0;0;0;3;.333;;1.000;East;2012
Luol Deng;CHI;05:51;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;.000;;;East;2012
Kevin Durant;OKC;37:23:00;14;25;3;8;5;7;3;4;7;3;3;0;2;0;36;.560;.375;.714;West;2012
Kobe Bryant;LAL;34:48:00;9;17;2;5;7;8;0;1;1;1;2;0;1;2;27;.529;.400;.875;West;2012
Blake Griffin;LAC;31:26:00;9;12;1;2;3;6;3;5;8;3;2;0;1;3;22;.750;.500;.500;West;2012
Chris Paul;LAC;30:57:00;3;7;2;5;0;0;0;5;5;12;1;0;2;1;8;.429;.400;;West;2012
Andrew Bynum;LAL;05:31;0;3;0;1;0;0;1;2;3;1;1;1;0;0;0;.000;.000;;West;2012
Russell Westbrook;OKC;27:31:00;10;17;1;4;0;2;5;0;5;2;2;0;1;3;21;.588;.250;.000;West;2012
Kevin Love;MIN;18:24;7;12;2;4;1;3;2;5;7;1;3;0;1;0;17;.583;.500;.333;West;2012
Dirk Nowitzki;DAL;13:44;3;8;1;5;0;0;2;2;4;1;0;0;0;1;7;.375;.200;;West;2012
Marc Gasol;MEM;13:32;2;5;0;0;0;0;1;2;3;0;0;0;1;2;4;.400;;;West;2012
Tony Parker;SAS;12:16;3;5;0;0;0;0;1;1;2;4;0;0;1;0;6;.600;;;West;2012
LaMarcus Aldridge;POR;09:48;2;5;0;0;0;0;0;1;1;1;0;0;0;0;4;.400;;;West;2012
Steve Nash;PHO;04:40;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;;;;West;2012
Carmelo Anthony;NYK;30:30:00;8;14;3;7;7;9;5;7;12;3;0;0;1;0;26;.571;.429;.778;East;2013
LeBron James;MIA;30:02:00;7;18;3;7;2;4;0;3;3;5;1;0;4;0;19;.389;.429;.500;East;2013
Dwyane Wade;MIA;28:49:00;10;13;1;2;0;0;1;2;3;7;2;2;4;2;21;.769;.500;;East;2013
Chris Bosh;MIA;23:22;3;9;0;3;0;0;0;2;2;1;1;0;3;3;6;.333;.000;;East;2013
Kevin Garnett;BOS;06:26;0;2;0;0;0;0;1;2;3;1;0;0;1;0;0;.000;;;East;2013
Kyrie Irving;CLE;24:46:00;6;11;3;6;0;0;2;1;3;4;0;0;2;1;15;.545;.500;;East;2013
Paul George;IND;20:03;7;13;3;6;0;0;1;2;3;4;2;0;0;0;17;.538;.500;;East;2013
Luol Deng;CHI;17:05;4;10;1;5;1;1;0;2;2;1;0;0;2;0;10;.400;.200;1.000;East;2013
Tyson Chandler;NYK;16:51;2;5;0;0;3;3;3;5;8;0;0;0;0;1;7;.400;;1.000;East;2013
Joakim Noah;CHI;16:12;4;7;0;0;0;0;3;7;10;3;0;1;1;1;8;.571;;;East;2013
Jrue Holiday;PHI;15:19;3;6;0;2;0;0;0;2;2;1;2;0;1;1;6;.500;.000;;East;2013
Brook Lopez;BRK;10:35;0;1;0;1;3;4;2;3;5;3;0;0;1;1;3;.000;.000;.750;East;2013
Kevin Durant;OKC;31:22:00;13;24;3;8;1;1;0;6;6;1;2;0;0;3;30;.542;.375;1.000;West;2013
Kobe Bryant;LAL;27:36:00;4;9;0;3;1;2;2;2;4;8;2;2;1;2;9;.444;.000;.500;West;2013
Blake Griffin;LAC;27:24:00;9;11;0;0;1;2;2;1;3;3;2;1;0;3;19;.818;;.500;West;2013
Chris Paul;LAC;27:17:00;7;10;4;5;2;3;0;0;0;15;4;0;3;0;20;.700;.800;.667;West;2013
Dwight Howard;LAL;14:11;4;6;1;1;0;0;0;7;7;0;0;0;1;1;9;.667;1.000;;West;2013
James Harden;HOU;25:50:00;6;13;3;8;0;0;1;5;6;3;0;0;2;2;15;.462;.375;;West;2013
Tony Parker;SAS;21:58;5;10;1;3;2;2;0;1;1;5;2;0;3;0;13;.500;.333;1.000;West;2013
Russell Westbrook;OKC;18:06;7;13;0;3;0;0;2;2;4;3;1;0;2;1;14;.538;.000;;West;2013
David Lee;GSW;13:25;3;4;0;0;0;0;0;2;2;0;2;0;1;1;6;.750;;;West;2013
Zach Randolph;MEM;13:21;3;6;0;0;0;0;1;4;5;0;0;0;0;0;6;.500;;;West;2013
LaMarcus Aldridge;POR;11:27;0;2;0;0;0;0;0;4;4;1;0;2;1;0;0;.000;;;West;2013
Tim Duncan;SAS;08:03;1;4;0;1;0;0;1;2;3;0;0;0;1;1;2;.250;.000;;West;2013
Kevin Durant;OKC;34:43:00;14;27;6;17;4;4;3;7;10;6;1;0;1;0;38;.519;.353;1.000;West;2014
Kevin Love;MIN;32:46:00;5;11;2;7;1;4;1;8;9;2;1;0;1;0;13;.455;.286;.250;West;2014
Blake Griffin;LAC;31:56:00;19;23;0;2;0;0;4;2;6;1;2;0;2;4;38;.826;.000;;West;2014
Stephen Curry;GSW;27:36:00;4;14;2;11;2;2;1;2;3;11;1;0;2;1;12;.286;.182;1.000;West;2014
James Harden;HOU;23:46;3;7;2;6;0;0;0;1;1;5;1;0;2;1;8;.429;.333;;West;2014
Chris Paul;LAC;24:29:00;4;9;1;4;2;2;2;2;4;13;3;0;3;1;11;.444;.250;1.000;West;2014
Dwight Howard;HOU;13:17;4;6;0;2;0;0;4;7;11;3;0;0;0;0;8;.667;.000;;West;2014
LaMarcus Aldridge;POR;13:17;2;9;0;0;0;0;3;2;5;0;0;0;0;0;4;.222;;;West;2014
Tony Parker;SAS;11:25;2;5;0;0;0;0;1;1;2;1;0;0;1;0;4;.400;;;West;2014
Anthony Davis;NOP;09:35;5;6;0;0;0;0;0;1;1;0;2;0;1;0;10;.833;;;West;2014
Damian Lillard;POR;08:44;3;8;3;6;0;0;0;1;1;0;0;0;1;1;9;.375;.500;;West;2014
Dirk Nowitzki;DAL;08:26;0;2;0;1;0;0;0;1;1;0;0;0;0;0;0;.000;.000;;West;2014
Kyrie Irving;CLE;33:51:00;14;17;3;6;0;0;1;4;5;14;0;0;5;4;31;.824;.500;;East;2014
LeBron James;MIA;33:08:00;11;22;0;7;0;0;1;6;7;7;3;0;1;0;22;.500;.000;;East;2014
Paul George;IND;33:08:00;6;13;1;5;5;5;1;4;5;5;2;0;1;2;18;.462;.200;1.000;East;2014
Carmelo Anthony;NYK;30:06:00;10;18;8;13;2;2;3;2;5;2;0;0;0;3;30;.556;.615;1.000;East;2014
Dwyane Wade;MIA;11:41;5;6;0;0;0;0;1;0;1;3;2;0;1;0;10;.833;;;East;2014
Joakim Noah;CHI;20:46;4;5;0;0;0;0;0;5;5;5;1;0;1;2;8;.800;;;East;2014
John Wall;WAS;15:04;5;7;0;1;2;2;0;5;5;4;2;0;3;1;12;.714;.000;1.000;East;2014
DeMar DeRozan;TOR;14:52;4;7;0;1;0;0;1;2;3;2;0;0;0;0;8;.571;.000;;East;2014
Paul Millsap;ATL;14:52;3;5;0;2;0;0;0;3;3;1;0;0;0;0;6;.600;.000;;East;2014
Roy Hibbert;IND;12:19;4;5;0;1;0;0;1;4;5;2;0;0;1;0;8;.800;.000;;East;2014
Chris Bosh;MIA;10:07;2;3;1;2;0;0;0;2;2;0;2;0;1;1;5;.667;.500;;East;2014
Joe Johnson;BRK;10:06;2;7;1;6;0;0;0;1;1;1;0;0;0;1;5;.286;.167;;East;2014
LeBron James;CLE;31:45:00;11;21;4;12;4;5;1;4;5;7;2;0;4;1;30;.524;.333;.800;East;2015
Carmelo Anthony;NYK;30:16:00;6;20;2;13;0;0;3;4;7;0;1;1;1;2;14;.300;.154;;East;2015
John Wall;WAS;29:17:00;9;16;1;4;0;0;0;3;3;7;2;0;4;1;19;.563;.250;;East;2015
Pau Gasol;CHI;25:44:00;5;7;0;0;0;0;4;8;12;2;1;1;0;0;10;.714;;;East;2015
Kyle Lowry;TOR;25:35:00;4;13;2;11;0;0;1;2;3;8;4;0;1;0;10;.308;.182;;East;2015
Kyrie Irving;CLE;19:08;4;9;2;6;1;1;2;4;6;5;0;0;1;0;11;.444;.333;1.000;East;2015
Kyle Korver;ATL;15:35;7;13;7;12;0;0;0;1;1;2;0;0;0;1;21;.538;.583;;East;2015
Paul Millsap;ATL;15:35;2;6;1;3;0;0;1;5;6;3;2;0;2;0;5;.333;.333;;East;2015
Al Horford;ATL;13:30;4;6;0;0;0;0;3;4;7;2;0;0;1;1;8;.667;;;East;2015
Jeff Teague;ATL;13:27;6;9;2;2;0;0;0;1;1;2;2;0;1;0;14;.667;1.000;;East;2015
Chris Bosh;MIA;10:55;4;6;2;4;0;0;1;2;3;1;2;0;1;0;10;.667;.500;;East;2015
Jimmy Butler;CHI;09:13;3;4;0;1;0;0;1;0;1;1;2;0;2;0;6;.750;.000;;East;2015
James Harden;HOU;26:36:00;11;16;7;12;0;0;3;5;8;8;2;0;4;0;29;.688;.583;;West;2015
Stephen Curry;GSW;26:36:00;6;16;3;10;0;0;4;5;9;5;1;0;5;1;15;.375;.300;;West;2015
Marc Gasol;MEM;24:55:00;3;6;0;1;0;0;2;8;10;2;2;0;1;1;6;.500;.000;;West;2015
Klay Thompson;GSW;19:43;2;11;1;9;2;2;1;3;4;6;0;0;0;0;7;.182;.111;1.000;West;2015
LaMarcus Aldridge;POR;18:08;7;11;4;4;0;0;1;1;2;0;0;0;1;0;18;.636;1.000;;West;2015
Chris Paul;LAC;26:46:00;6;13;0;3;0;0;1;5;6;15;2;0;2;0;12;.462;.000;;West;2015
Russell Westbrook;OKC;25:33:00;16;28;5;9;4;4;3;2;5;1;3;0;1;0;41;.571;.556;1.000;West;2015
DeMarcus Cousins;SAC;18:06;6;7;0;0;2;3;4;3;7;0;0;0;1;1;14;.857;;.667;West;2015
Damian Lillard;POR;16:28;4;12;3;9;0;0;2;0;2;2;1;0;4;0;11;.333;.333;;West;2015
Tim Duncan;SAS;15:14;1;2;0;0;0;0;1;8;9;2;0;0;0;0;2;.500;;;West;2015
Dirk Nowitzki;DAL;12:00;2;5;1;2;0;0;2;3;5;0;2;0;0;0;5;.400;.500;;West;2015
Kevin Durant;OKC;09:55;1;6;1;6;0;0;0;3;3;1;1;0;2;0;3;.167;.167;;West;2015
Kyle Lowry;TOR;28:31:00;5;13;4;12;0;0;0;5;5;10;2;1;6;2;14;.385;.333;;East;2016
Paul George;IND;26:49:00;16;26;9;19;0;0;0;5;5;1;1;0;3;0;41;.615;.474;;East;2016
Carmelo Anthony;NYK;22:56;6;11;1;5;0;0;3;3;6;0;0;1;2;2;13;.545;.200;;East;2016
Dwyane Wade;MIA;22:56;4;7;0;1;0;0;1;3;4;6;2;0;3;0;8;.571;.000;;East;2016
LeBron James;CLE;20:13;6;13;1;5;0;0;0;4;4;7;0;0;4;0;13;.462;.200;;East;2016
John Wall;WAS;19:29;10;14;2;2;0;0;0;3;3;3;1;0;2;0;22;.714;1.000;;East;2016
Paul Millsap;ATL;19:04;1;6;1;2;0;0;1;2;3;1;0;0;0;0;3;.167;.500;;East;2016
Isaiah Thomas;BOS;18:59;4;11;1;5;0;0;3;0;3;1;1;0;1;1;9;.364;.200;;East;2016
DeMar DeRozan;TOR;18:54;9;15;0;3;0;1;1;0;1;2;1;0;1;0;18;.600;.000;.000;East;2016
Andre Drummond;DET;18:13;8;11;0;1;0;0;5;8;13;0;2;0;1;1;16;.727;.000;;East;2016
Pau Gasol;CHI;14:31;3;7;0;1;3;4;1;6;7;1;1;0;1;2;9;.429;.000;.750;East;2016
Al Horford;ATL;09:25;3;3;1;3;0;0;0;3;3;2;0;0;0;0;7;1.000;.333;;East;2016
Stephen Curry;GSW;28:50:00;10;18;6;13;0;0;1;4;5;6;4;0;2;1;26;.556;.462;;West;2016
Kobe Bryant;LAL;25:49:00;4;11;1;5;1;2;1;5;6;7;1;0;1;1;10;.364;.200;.500;West;2016
Kawhi Leonard;SAS;25:39:00;8;15;1;6;0;0;3;3;6;3;2;0;2;0;17;.533;.167;;West;2016
Kevin Durant;OKC;22:55;11;18;1;8;0;0;2;3;5;7;2;0;0;0;23;.611;.125;;West;2016
Russell Westbrook;OKC;22:11;12;23;7;17;0;0;3;5;8;5;5;0;3;1;31;.522;.412;;West;2016
James Harden;HOU;21:05;8;14;7;12;0;0;0;4;4;3;0;0;1;0;23;.571;.583;;West;2016
Klay Thompson;GSW;21:05;3;11;3;10;0;0;1;1;2;2;1;0;0;0;9;.273;.300;;West;2016
Chris Paul;LAC;19:10;5;7;4;6;0;0;0;4;4;16;1;0;4;1;14;.714;.667;;West;2016
Anthony Davis;NOP;15:19;12;13;0;0;0;0;3;3;6;0;1;0;0;1;24;.923;;;West;2016
LaMarcus Aldridge;SAS;14:13;2;8;0;1;0;0;1;3;4;1;1;0;0;0;4;.250;.000;;West;2016
Draymond Green;GSW;12:08;2;6;0;1;0;0;1;4;5;0;2;0;1;1;4;.333;.000;;West;2016
DeMarcus Cousins;SAC;11:36;5;5;1;1;0;0;1;3;4;1;0;0;0;2;11;1.000;1.000;;West;2016
DeMar DeRozan;TOR;24:02:00;8;15;0;0;0;0;1;4;5;6;2;0;4;0;16;.533;;;East;2017
Giannis Antetokounmpo;MIL;22:53;14;17;0;1;2;2;3;3;6;1;3;1;0;0;30;.824;.000;1.000;East;2017
Kyrie Irving;CLE;21:52;8;12;6;8;0;0;2;5;7;14;3;0;2;1;22;.667;.750;;East;2017
LeBron James;CLE;19:29;10;17;3;8;0;0;0;3;3;1;0;0;4;2;23;.588;.375;;East;2017
Jimmy Butler;CHI;19:29;3;4;0;1;0;0;0;3;3;2;1;0;1;0;6;.750;.000;;East;2017
Paul George;IND;22:05;6;16;0;7;0;0;0;5;5;3;0;0;0;0;12;.375;.000;;East;2017
John Wall;WAS;20:58;6;12;0;2;0;0;1;5;6;4;4;0;3;1;12;.500;.000;;East;2017
Kemba Walker;CHO;20:15;3;6;1;4;0;0;1;2;3;6;1;0;0;0;7;.500;.250;;East;2017
Carmelo Anthony;NYK;19:00;4;8;2;6;0;0;0;3;3;0;0;0;0;0;10;.500;.333;;East;2017
Isaiah Thomas;BOS;18:48;7;15;4;10;2;2;1;0;1;3;0;0;2;0;20;.467;.400;1.000;East;2017
Kyle Lowry;TOR;17:43;7;11;5;9;0;0;1;2;3;0;2;0;3;1;19;.636;.556;;East;2017
Paul Millsap;ATL;13:26;2;4;1;3;0;0;0;5;5;3;1;0;0;0;5;.500;.333;;East;2017
Anthony Davis;NOP;31:50:00;26;39;0;4;0;0;4;6;10;0;2;0;1;1;52;.667;.000;;West;2017
James Harden;HOU;30:23:00;4;9;4;9;0;0;0;7;7;12;0;0;10;2;12;.444;.444;;West;2017
Stephen Curry;GSW;28:18:00;8;16;5;11;0;0;1;3;4;6;1;0;0;3;21;.500;.455;;West;2017
Kevin Durant;GSW;27:09:00;9;16;2;8;1;2;4;6;10;10;2;0;0;1;21;.563;.250;.500;West;2017
Kawhi Leonard;SAS;14:47;2;4;0;2;0;0;0;2;2;2;1;0;0;0;4;.500;.000;;West;2017
Marc Gasol;MEM;21:29;5;7;0;2;0;0;3;7;10;8;1;1;2;0;10;.714;.000;;West;2017
Russell Westbrook;OKC;19:42;16;26;7;13;2;2;2;3;5;7;1;0;2;1;41;.615;.538;1.000;West;2017
Klay Thompson;GSW;17:37;5;9;2;6;0;0;0;2;2;5;0;0;0;1;12;.556;.333;;West;2017
Gordon Hayward;UTA;17:17;4;7;0;3;0;0;1;0;1;2;4;0;0;0;8;.571;.000;;West;2017
Draymond Green;GSW;16:31;1;2;0;0;0;0;0;7;7;6;3;0;2;1;2;.500;;;West;2017
DeAndre Jordan;LAC;12:30;3;5;0;2;0;0;0;3;3;2;0;0;0;1;6;.600;.000;;West;2017
DeMarcus Cousins;SAC;02:27;1;3;1;3;0;0;0;0;0;0;1;0;0;0;3;.333;.333;;West;2017
