Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Russell Westbrook;2014-2015;REG;Thunder;67;34.36;28.15;1.87;5.45;7.31;8.58;2.09;0.21;4.39;2.75;9.36;21.96;0.426;1.28;4.30;0.299;8.15;9.76;0.835
James Harden;2014-2015;REG;Rockets;81;36.80;27.37;0.93;4.74;5.67;6.98;1.90;0.74;3.96;2.57;7.99;18.15;0.440;2.57;6.85;0.375;8.83;10.17;0.868
Kevin Durant;2014-2015;REG;Thunder;27;33.80;25.41;0.59;6.00;6.59;4.07;0.89;0.93;2.74;1.48;8.81;17.30;0.510;2.37;5.89;0.403;5.41;6.33;0.854
LeBron James;2014-2015;REG;Cavaliers;69;36.14;25.26;0.75;5.30;6.06;7.39;1.58;0.71;3.94;1.96;9.04;18.55;0.488;1.74;4.93;0.353;5.43;7.65;0.710
Anthony Davis;2014-2015;REG;Pelicans;68;36.10;24.35;2.53;7.68;10.21;2.19;1.47;2.94;1.40;2.07;9.44;17.63;0.535;0.01;0.18;0.083;5.46;6.78;0.805
Carmelo Anthony;2014-2015;REG;Knicks;40;35.69;24.15;1.80;4.80;6.60;3.05;1.00;0.43;2.23;2.18;8.95;20.15;0.444;1.53;4.48;0.341;4.73;5.93;0.797
DeMarcus Cousins;2014-2015;REG;Kings;59;34.12;24.08;3.14;9.53;12.66;3.56;1.53;1.76;4.31;4.08;8.44;18.07;0.467;0.03;0.14;0.250;7.17;9.17;0.782
Stephen Curry;2014-2015;REG;Warriors;80;32.67;23.75;0.70;3.58;4.28;7.74;2.04;0.20;3.11;1.98;8.16;16.76;0.487;3.58;8.08;0.443;3.85;4.21;0.914
LaMarcus Aldridge;2014-2015;REG;Trail Blazers;71;35.38;23.39;2.49;7.73;10.23;1.75;0.68;0.96;1.72;1.76;9.28;19.93;0.466;0.52;1.48;0.352;4.31;5.10;0.845
Kobe Bryant;2014-2015;REG;Lakers;35;34.48;22.34;0.74;4.94;5.69;5.63;1.34;0.20;3.66;1.86;7.60;20.37;0.373;1.54;5.26;0.293;5.60;6.89;0.813
Blake Griffin;2014-2015;REG;Clippers;67;35.16;21.93;1.88;5.70;7.58;5.27;0.94;0.52;2.27;2.93;8.57;17.07;0.502;0.15;0.37;0.400;4.64;6.37;0.728
Kyrie Irving;2014-2015;REG;Cavaliers;75;36.40;21.71;0.73;2.45;3.19;5.20;1.52;0.27;2.48;1.95;7.71;16.47;0.468;2.09;5.04;0.415;4.20;4.87;0.863
Klay Thompson;2014-2015;REG;Warriors;77;31.88;21.66;0.35;2.84;3.19;2.87;1.13;0.78;1.94;1.58;7.82;16.87;0.463;3.10;7.08;0.439;2.92;3.32;0.879
Dwyane Wade;2014-2015;REG;Heat;61;31.95;21.62;0.95;2.57;3.52;4.89;1.20;0.34;3.39;1.69;8.28;17.61;0.470;0.48;1.67;0.284;4.59;6.00;0.765
Chris Bosh;2014-2015;REG;Heat;44;35.36;21.09;1.05;6.00;7.05;2.16;0.93;0.55;2.16;1.57;7.80;16.93;0.460;1.43;3.82;0.375;4.07;5.27;0.772
Rudy Gay;2014-2015;REG;Kings;68;35.42;21.06;1.44;4.43;5.87;3.68;1.04;0.60;2.69;2.31;7.47;16.41;0.455;1.16;3.24;0.359;4.96;5.78;0.858
Damian Lillard;2014-2015;REG;Trail Blazers;82;35.67;20.98;0.60;4.01;4.61;6.17;1.18;0.26;2.71;2.00;7.20;16.59;0.434;2.39;6.98;0.343;4.20;4.85;0.864
