Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kevin Durant;2009-2010;REG;Thunder;82;39.50;30.15;1.28;6.32;7.60;2.82;1.37;1.02;3.30;2.09;9.68;20.34;0.476;1.56;4.28;0.365;9.22;10.24;0.900
LeBron James;2009-2010;REG;Cavaliers;76;39.03;29.71;0.93;6.36;7.29;8.57;1.64;1.01;3.43;1.57;10.11;20.11;0.503;1.70;5.09;0.333;7.80;10.17;0.767
Carmelo Anthony;2009-2010;REG;Nuggets;69;38.18;28.16;2.20;4.38;6.58;3.22;1.28;0.43;3.03;3.26;9.97;21.77;0.458;0.86;2.71;0.316;7.36;8.87;0.830
Kobe Bryant;2009-2010;REG;Lakers;73;38.85;26.99;1.07;4.29;5.36;5.00;1.55;0.27;3.19;2.56;9.81;21.49;0.456;1.36;4.12;0.329;6.01;7.41;0.811
Dwyane Wade;2009-2010;REG;Heat;77;36.26;26.56;1.39;3.45;4.84;6.51;1.84;1.06;3.27;2.35;9.34;19.62;0.476;0.95;3.16;0.300;6.94;9.12;0.761
Monta Ellis;2009-2010;REG;Warriors;64;41.35;25.48;0.73;3.28;4.02;5.31;2.23;0.39;3.81;2.95;9.86;21.97;0.449;1.20;3.56;0.338;4.56;6.06;0.753
Dirk Nowitzki;2009-2010;REG;Mavericks;81;37.51;25.02;0.99;6.67;7.65;2.69;0.86;0.98;1.84;2.57;8.89;18.47;0.481;0.63;1.49;0.421;6.62;7.23;0.915
Danny Granger;2009-2010;REG;Pacers;62;36.75;24.15;1.08;4.44;5.52;2.76;1.52;0.82;2.53;2.95;7.87;18.37;0.428;2.55;7.06;0.361;5.85;6.90;0.848
Chris Bosh;2009-2010;REG;Raptors;70;36.08;23.97;2.93;7.91;10.84;2.37;0.61;0.97;2.41;2.43;8.57;16.54;0.518;0.11;0.31;0.364;6.71;8.43;0.797
Amar'e Stoudemire;2009-2010;REG;Suns;82;34.61;23.12;2.80;6.12;8.93;1.00;0.63;1.01;2.60;3.43;8.59;15.41;0.557;0.01;0.07;0.167;5.94;7.71;0.771
Gilbert Arenas;2009-2010;REG;Wizards;32;36.52;22.56;0.53;3.63;4.16;7.19;1.28;0.28;3.66;2.97;7.91;19.25;0.411;1.97;5.66;0.348;4.78;6.47;0.739
Brandon Roy;2009-2010;REG;Trail Blazers;65;37.21;21.51;1.12;3.26;4.38;4.69;0.94;0.25;1.98;2.09;7.55;15.97;0.473;1.12;3.40;0.330;5.28;6.77;0.780
Joe Johnson;2009-2010;REG;Hawks;76;37.97;21.30;0.97;3.67;4.64;4.86;1.08;0.07;1.91;1.91;8.36;18.24;0.458;1.70;4.61;0.369;2.89;3.54;0.818
Derrick Rose;2009-2010;REG;Bulls;78;36.81;20.76;0.83;2.92;3.76;6.01;0.73;0.35;2.78;1.23;8.62;17.60;0.489;0.21;0.77;0.267;3.32;4.33;0.766
Zach Randolph;2009-2010;REG;Grizzlies;81;37.67;20.75;4.07;7.65;11.73;1.84;0.99;0.42;2.15;2.79;8.05;16.49;0.488;0.19;0.64;0.288;4.47;5.74;0.778
