Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Allen Iverson;2000-2001;REG;76ers;71;41.93;31.08;0.70;3.14;3.85;4.58;2.51;0.28;3.34;2.07;10.73;25.54;0.420;1.38;4.31;0.320;8.24;10.13;0.814
Jerry Stackhouse;2000-2001;REG;Pistons;80;40.14;29.75;1.24;2.70;3.94;5.13;1.21;0.68;4.08;2.00;9.68;24.09;0.402;2.08;5.91;0.351;8.33;10.13;0.822
Shaquille O'Neal;2000-2001;REG;Lakers;74;38.94;28.72;3.93;8.77;12.70;3.74;0.64;2.76;2.95;3.46;10.99;19.22;0.572;0.00;0.03;0.000;6.74;13.14;0.513
Kobe Bryant;2000-2001;REG;Lakers;68;41.05;28.50;1.53;4.34;5.87;4.97;1.68;0.63;3.24;3.26;10.31;22.21;0.464;0.90;2.94;0.305;6.99;8.19;0.853
Vince Carter;2000-2001;REG;Raptors;75;39.73;27.60;2.35;3.20;5.55;3.88;1.52;1.09;2.23;2.73;10.16;22.08;0.460;2.16;5.29;0.408;5.12;6.69;0.765
Chris Webber;2000-2001;REG;Kings;70;40.49;27.11;2.56;8.54;11.10;4.20;1.33;1.69;2.79;3.23;11.23;23.36;0.481;0.03;0.40;0.072;4.63;6.59;0.703
Tracy McGrady;2000-2001;REG;Magic;77;40.14;26.82;2.49;5.04;7.53;4.57;1.51;1.53;2.57;2.08;10.23;22.39;0.457;0.77;2.16;0.355;5.58;7.62;0.733
Paul Pierce;2000-2001;REG;Celtics;82;38.08;25.26;1.15;5.22;6.37;3.09;1.68;0.84;3.20;3.06;8.38;18.45;0.454;1.79;4.68;0.383;6.71;9.00;0.745
Antawn Jamison;2000-2001;REG;Warriors;82;40.88;24.93;3.41;5.30;8.72;2.00;1.39;0.34;2.43;2.74;9.76;22.10;0.442;0.76;2.50;0.302;4.66;6.51;0.715
Stephon Marbury;2000-2001;REG;Nets;67;38.20;23.85;0.79;2.27;3.06;7.55;1.18;0.07;2.94;2.24;8.40;19.06;0.441;1.64;5.00;0.328;5.40;6.84;0.790
