Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Tracy McGrady;2002-2003;REG;Magic;75;39.38;32.09;1.61;4.89;6.51;5.48;1.65;0.79;2.60;2.08;11.05;24.17;0.457;2.31;5.97;0.386;7.68;9.68;0.793
Kobe Bryant;2002-2003;REG;Lakers;82;41.49;30.01;1.29;5.59;6.88;5.87;2.21;0.82;3.51;2.66;10.59;23.46;0.451;1.51;3.95;0.383;7.33;8.70;0.843
Allen Iverson;2002-2003;REG;76ers;82;42.49;27.59;0.83;3.37;4.20;5.54;2.74;0.16;3.49;1.82;9.80;23.66;0.414;1.02;3.70;0.277;6.95;8.98;0.774
Shaquille O'Neal;2002-2003;REG;Lakers;67;37.80;27.48;3.87;7.21;11.07;3.07;0.57;2.37;2.93;3.42;10.37;18.07;0.574;0.00;0.00;0.000;6.73;10.82;0.622
Paul Pierce;2002-2003;REG;Celtics;79;38.77;25.92;1.34;5.97;7.32;4.42;1.76;0.78;3.65;2.87;8.39;20.15;0.416;1.49;4.95;0.302;7.65;9.53;0.802
Dirk Nowitzki;2002-2003;REG;Mavericks;80;39.02;25.14;1.01;8.88;9.89;2.99;1.39;1.03;1.90;2.58;8.63;18.61;0.463;1.85;4.88;0.379;6.04;6.85;0.881
Tim Duncan;2002-2003;REG;Spurs;81;39.29;23.26;3.20;9.68;12.88;3.90;0.68;2.93;3.06;2.85;8.81;17.19;0.513;0.07;0.27;0.273;5.56;7.83;0.710
Chris Webber;2002-2003;REG;Kings;67;39.04;23.01;2.39;8.12;10.51;5.43;1.58;1.31;3.21;3.04;9.87;21.39;0.461;0.07;0.31;0.238;3.21;5.28;0.607
Kevin Garnett;2002-2003;REG;Timberwolves;82;40.51;22.96;2.98;10.46;13.44;6.04;1.38;1.57;2.79;2.43;9.06;18.06;0.502;0.24;0.87;0.282;4.60;6.12;0.751
Ray Allen;2002-2003;REG;Bucks, SuperSonics;76;37.89;22.54;1.24;3.78;5.01;4.39;1.36;0.18;2.61;2.89;7.87;17.93;0.439;2.64;7.01;0.377;4.16;4.54;0.916
Allan Houston;2002-2003;REG;Knicks;82;37.93;22.50;0.32;2.50;2.82;2.68;0.66;0.09;2.17;2.33;7.95;17.87;0.445;2.17;5.49;0.396;4.43;4.82;0.919
Stephon Marbury;2002-2003;REG;Suns;81;40.09;22.30;0.65;2.59;3.25;8.07;1.33;0.25;3.25;2.47;8.28;18.89;0.439;1.10;3.65;0.301;4.63;5.77;0.803
Antawn Jamison;2002-2003;REG;Warriors;82;39.38;22.22;2.38;4.67;7.05;1.90;0.93;0.55;2.16;2.40;8.43;17.94;0.470;0.79;2.55;0.311;4.57;5.79;0.789
Jalen Rose;2002-2003;REG;Bulls;82;40.90;22.15;0.83;3.45;4.28;4.82;0.88;0.28;3.48;3.30;7.83;19.30;0.406;1.62;4.38;0.370;4.87;5.70;0.854
Jamal Mashburn;2002-2003;REG;Hornets;82;40.55;21.61;0.80;5.27;6.07;5.63;1.01;0.21;2.80;2.39;8.17;19.34;0.422;1.45;3.73;0.389;3.82;4.50;0.848
Jerry Stackhouse;2002-2003;REG;Wizards;70;39.26;21.54;0.87;2.81;3.69;4.51;0.93;0.40;2.76;1.86;7.01;17.16;0.409;1.01;3.50;0.290;6.50;7.40;0.878
Shawn Marion;2002-2003;REG;Suns;81;41.67;21.19;2.46;7.09;9.54;2.44;2.28;1.17;1.94;2.57;8.17;18.10;0.452;1.74;4.49;0.387;3.10;3.64;0.851
Steve Francis;2002-2003;REG;Rockets;81;41.02;21.02;1.96;4.20;6.16;6.20;1.74;0.51;3.69;3.10;7.05;16.20;0.435;1.05;2.96;0.354;5.88;7.35;0.800
Glenn Robinson;2002-2003;REG;Hawks;69;36.45;20.81;1.25;5.38;6.62;2.97;1.32;0.38;3.59;2.65;7.81;18.09;0.432;1.30;3.81;0.342;3.88;4.43;0.876
Jermaine O'Neal;2002-2003;REG;Pacers;77;37.17;20.78;2.62;7.71;10.34;2.01;0.86;2.31;2.34;3.60;7.92;16.36;0.484;0.09;0.27;0.333;4.84;6.62;0.731
Ricky Davis;2002-2003;REG;Cavaliers;79;39.69;20.58;1.23;3.71;4.94;5.52;1.58;0.46;3.51;2.28;7.62;18.61;0.410;0.94;2.58;0.363;4.41;5.89;0.748
Karl Malone;2002-2003;REG;Jazz;81;35.71;20.58;1.40;6.36;7.75;4.68;1.68;0.38;2.59;2.52;7.35;15.91;0.462;0.04;0.17;0.214;5.85;7.67;0.763
Vince Carter;2002-2003;REG;Raptors;43;34.23;20.56;1.37;3.00;4.37;3.33;1.12;0.95;1.72;2.81;8.26;17.67;0.467;1.05;3.05;0.344;3.00;3.72;0.806
Gary Payton;2002-2003;REG;SuperSonics, Bucks;80;39.60;20.43;0.99;3.19;4.18;8.29;1.66;0.25;2.34;2.26;8.31;18.33;0.454;0.68;2.28;0.297;3.13;4.40;0.710
Antoine Walker;2002-2003;REG;Celtics;78;41.49;20.13;1.27;5.95;7.22;4.78;1.49;0.40;3.33;2.83;7.73;19.92;0.388;2.41;7.46;0.323;2.26;3.67;0.615
Michael Jordan;2002-2003;REG;Wizards;82;36.96;20.00;0.87;5.20;6.06;3.79;1.50;0.48;2.11;2.09;8.28;18.62;0.445;0.20;0.67;0.291;3.24;3.95;0.821
Shareef Abdur-Rahim;2002-2003;REG;Hawks;81;38.02;19.85;2.16;6.20;8.36;2.99;1.07;0.47;2.62;2.96;6.99;14.60;0.478;0.26;0.74;0.350;5.62;6.68;0.841
Sam Cassell;2002-2003;REG;Bucks;78;34.17;19.69;0.73;3.65;4.38;5.77;1.13;0.18;2.27;2.77;7.00;14.90;0.470;0.76;2.09;0.362;4.94;5.73;0.861
Richard Hamilton;2002-2003;REG;Pistons;82;32.17;19.66;1.07;2.80;3.88;2.54;0.78;0.16;2.44;3.04;6.95;15.68;0.443;0.39;1.45;0.269;5.37;6.44;0.833
Michael Finley;2002-2003;REG;Mavericks;69;38.02;19.29;1.55;4.28;5.83;2.97;1.10;0.30;1.65;1.52;7.35;17.29;0.425;1.72;4.67;0.370;2.87;3.33;0.861
Peja Stojakovic;2002-2003;REG;Kings;72;34.02;19.17;0.85;4.67;5.51;1.96;1.00;0.07;1.40;1.99;6.90;14.36;0.481;2.15;5.64;0.382;3.21;3.67;0.875
Pau Gasol;2002-2003;REG;Grizzlies;82;35.92;18.96;2.34;6.44;8.78;2.79;0.41;1.80;2.60;2.68;6.94;13.61;0.510;0.01;0.12;0.100;5.07;6.89;0.736
Jason Kidd;2002-2003;REG;Nets;80;37.37;18.69;1.38;4.93;6.30;8.89;2.24;0.31;3.70;1.59;6.44;15.55;0.414;1.58;4.63;0.341;4.24;5.04;0.841
Eddie Jones;2002-2003;REG;Heat;47;37.16;18.49;0.74;4.06;4.81;3.68;1.36;0.66;1.81;2.91;6.19;14.64;0.423;2.09;5.13;0.407;4.02;4.89;0.822
Elton Brand;2002-2003;REG;Clippers;62;39.50;18.48;4.56;6.77;11.34;2.53;1.15;2.55;2.60;3.29;7.27;14.50;0.502;0.00;0.02;0.000;3.94;5.74;0.685
Juwan Howard;2002-2003;REG;Nuggets;77;35.08;18.42;2.35;5.25;7.60;3.04;1.00;0.35;2.45;3.10;7.36;16.38;0.450;0.03;0.05;0.501;3.66;4.56;0.803
Gilbert Arenas;2002-2003;REG;Warriors;82;35.01;18.26;1.18;3.52;4.71;6.27;1.51;0.21;3.54;3.17;6.21;14.39;0.431;1.33;3.82;0.348;4.51;5.71;0.791
Rashard Lewis;2002-2003;REG;SuperSonics;77;39.50;18.13;1.97;4.56;6.53;1.73;1.29;0.45;1.86;2.66;6.74;14.92;0.452;0.97;2.82;0.346;3.68;4.48;0.820
Rasheed Wallace;2002-2003;REG;Trail Blazers;74;36.29;18.11;1.53;5.88;7.41;2.07;0.95;1.04;1.89;3.01;6.96;14.78;0.471;1.49;4.15;0.358;2.70;3.68;0.735
Steve Nash;2002-2003;REG;Mavericks;82;33.06;17.77;0.77;2.09;2.85;7.29;1.04;0.07;2.34;1.63;6.32;13.59;0.465;1.35;3.28;0.413;3.78;4.16;0.909
Matt Harpring;2002-2003;REG;Jazz;78;32.80;17.56;2.44;4.15;6.59;1.71;0.92;0.22;2.06;2.78;6.68;13.08;0.511;0.85;2.05;0.413;3.36;4.24;0.792
Wally Szczerbiak;2002-2003;REG;Timberwolves;52;35.27;17.56;1.02;3.62;4.63;2.62;0.85;0.42;1.67;2.37;6.75;14.02;0.481;1.17;2.79;0.421;2.88;3.33;0.867
Cuttino Mobley;2002-2003;REG;Rockets;73;41.04;17.53;0.96;3.19;4.15;2.85;1.30;0.49;2.27;2.53;6.34;14.62;0.434;1.53;4.36;0.352;3.32;3.86;0.858
Jason Terry;2002-2003;REG;Hawks;81;38.06;17.22;0.46;2.99;3.44;7.41;1.56;0.17;3.07;2.16;6.02;14.09;0.428;1.98;5.32;0.371;3.20;3.60;0.887
