Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Kevin Durant;2010-2011;REG;Thunder;78;38.94;27.71;0.73;6.10;6.83;2.74;1.13;0.97;2.79;2.04;9.12;19.72;0.462;1.86;5.31;0.350;7.62;8.65;0.880
LeBron James;2010-2011;REG;Heat;79;38.77;26.72;1.01;6.46;7.47;7.01;1.57;0.63;3.59;2.06;9.59;18.80;0.510;1.16;3.53;0.330;6.37;8.39;0.759
Carmelo Anthony;2010-2011;REG;Nuggets, Knicks;77;35.73;25.58;1.53;5.78;7.31;2.87;0.88;0.60;2.68;2.91;8.88;19.52;0.455;1.23;3.26;0.379;6.58;7.86;0.838
Dwyane Wade;2010-2011;REG;Heat;76;37.14;25.54;1.62;4.76;6.38;4.55;1.46;1.14;3.12;2.59;9.11;18.21;0.500;0.83;2.71;0.306;6.50;8.58;0.758
Kobe Bryant;2010-2011;REG;Lakers;82;33.88;25.34;1.01;4.10;5.11;4.73;1.21;0.15;2.96;2.10;9.02;19.99;0.451;1.40;4.34;0.323;5.89;7.11;0.828
Amar'e Stoudemire;2010-2011;REG;Knicks;78;36.80;25.27;2.54;5.62;8.15;2.59;0.91;1.92;3.21;3.51;9.54;19.00;0.502;0.13;0.29;0.435;6.06;7.65;0.792
Derrick Rose;2010-2011;REG;Bulls;81;37.36;25.01;1.00;3.07;4.07;7.69;1.05;0.63;3.43;1.68;8.78;19.72;0.445;1.58;4.75;0.332;5.88;6.85;0.858
Monta Ellis;2010-2011;REG;Warriors;80;40.33;24.11;0.55;2.96;3.51;5.63;2.10;0.29;3.15;2.54;9.08;20.14;0.451;1.71;4.74;0.361;4.25;5.39;0.789
Kevin Martin;2010-2011;REG;Rockets;80;32.53;23.45;0.35;2.88;3.23;2.48;1.00;0.19;2.30;1.94;6.91;15.84;0.436;2.20;5.74;0.383;7.43;8.36;0.888
Dirk Nowitzki;2010-2011;REG;Mavericks;73;34.30;23.03;0.68;6.34;7.03;2.60;0.52;0.64;1.88;2.36;8.36;16.15;0.517;0.90;2.30;0.393;5.41;6.07;0.892
Dwight Howard;2010-2011;REG;Magic;78;37.63;22.87;3.96;10.12;14.08;1.37;1.37;2.38;3.58;3.31;7.94;13.38;0.593;0.00;0.09;0.000;7.00;11.74;0.596
