Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Carmelo Anthony;2012-2013;REG;Knicks;67;37.04;28.66;2.00;4.87;6.87;2.55;0.78;0.48;2.61;3.06;9.99;22.22;0.449;2.34;6.18;0.379;6.34;7.64;0.830
Kevin Durant;2012-2013;REG;Thunder;81;38.50;28.15;0.57;7.33;7.90;4.62;1.43;1.30;3.46;1.77;9.02;17.69;0.510;1.72;4.12;0.416;8.38;9.26;0.905
Kobe Bryant;2012-2013;REG;Lakers;78;38.62;27.35;0.85;4.71;5.55;6.01;1.36;0.32;3.68;2.22;9.46;20.45;0.463;1.69;5.22;0.324;6.73;8.03;0.839
LeBron James;2012-2013;REG;Heat;76;37.86;26.79;1.28;6.75;8.03;7.25;1.70;0.88;2.97;1.45;10.07;17.82;0.565;1.36;3.34;0.406;5.30;7.04;0.753
James Harden;2012-2013;REG;Rockets;78;38.26;25.94;0.79;4.06;4.86;5.83;1.82;0.49;3.78;2.28;7.50;17.14;0.438;2.29;6.23;0.368;8.64;10.15;0.851
Russell Westbrook;2012-2013;REG;Thunder;82;34.89;23.21;1.35;3.87;5.22;7.40;1.77;0.29;3.33;2.30;8.21;18.72;0.438;1.18;3.66;0.323;5.61;7.01;0.800
Stephen Curry;2012-2013;REG;Warriors;78;38.24;22.90;0.76;3.27;4.03;6.90;1.62;0.15;3.08;2.54;8.03;17.79;0.451;3.49;7.69;0.453;3.36;3.73;0.900
Kyrie Irving;2012-2013;REG;Cavaliers;59;34.71;22.46;0.58;3.08;3.66;5.93;1.51;0.36;3.24;2.47;8.20;18.14;0.452;1.85;4.73;0.391;4.20;4.92;0.855
Dwyane Wade;2012-2013;REG;Heat;69;34.65;21.20;1.25;3.74;4.99;5.10;1.86;0.81;2.81;2.03;8.25;15.84;0.521;0.25;0.96;0.258;4.46;6.16;0.725
LaMarcus Aldridge;2012-2013;REG;Trail Blazers;74;37.70;21.08;2.36;6.69;9.05;2.59;0.84;1.23;1.93;2.53;8.62;17.81;0.484;0.03;0.19;0.143;3.81;4.70;0.810
Tony Parker;2012-2013;REG;Spurs;66;32.94;20.32;0.27;2.73;3.00;7.56;0.82;0.09;2.58;1.39;7.86;15.08;0.522;0.36;1.03;0.353;4.23;5.00;0.845
Brook Lopez;2012-2013;REG;Nets;74;30.45;19.42;2.81;4.11;6.92;0.95;0.45;2.08;1.77;2.05;7.70;14.78;0.521;0.00;0.01;0.000;4.01;5.30;0.758
Monta Ellis;2012-2013;REG;Bucks;82;37.51;19.23;0.55;3.30;3.85;6.05;2.06;0.44;3.10;2.00;7.28;17.51;0.416;1.15;4.00;0.287;3.52;4.56;0.773
Damian Lillard;2012-2013;REG;Trail Blazers;82;38.62;19.05;0.51;2.62;3.13;6.48;0.90;0.23;2.96;2.10;6.74;15.71;0.429;2.26;6.13;0.368;3.30;3.91;0.844
Deron Williams;2012-2013;REG;Nets;78;36.44;18.92;0.37;2.60;2.97;7.74;0.96;0.38;2.79;2.49;6.35;14.41;0.440;2.17;5.73;0.378;4.06;4.73;0.859
Paul Pierce;2012-2013;REG;Celtics;77;33.44;18.57;0.58;5.74;6.32;4.81;1.09;0.39;2.78;2.73;6.18;14.18;0.436;1.88;4.96;0.380;4.32;5.49;0.787
John Wall;2012-2013;REG;Wizards;49;32.70;18.49;0.71;3.29;4.00;7.61;1.33;0.76;3.20;2.39;6.61;15.00;0.441;0.24;0.92;0.267;5.02;6.24;0.804
David Lee;2012-2013;REG;Warriors;79;36.80;18.47;2.76;8.46;11.22;3.53;0.85;0.28;2.62;3.11;7.62;14.68;0.519;0.00;0.05;0.000;3.23;4.05;0.797
Kevin Love;2012-2013;REG;Timberwolves;18;34.33;18.33;3.56;10.44;14.00;2.33;0.72;0.50;2.17;1.89;5.83;16.56;0.352;1.11;5.11;0.217;5.56;7.89;0.704
Rudy Gay;2012-2013;REG;Raptors, Grizzlies;75;35.83;18.21;1.32;4.83;6.15;2.69;1.51;0.71;2.64;2.43;6.95;16.71;0.416;1.12;3.47;0.323;3.20;3.93;0.814
DeMar DeRozan;2012-2013;REG;Raptors;82;36.74;18.11;0.59;3.32;3.90;2.49;0.93;0.29;1.84;2.11;6.68;15.01;0.445;0.41;1.46;0.283;4.33;5.21;0.831
J.R. Smith;2012-2013;REG;Knicks;80;33.47;18.08;0.80;4.51;5.31;2.73;1.25;0.30;1.68;2.83;6.59;15.61;0.422;1.94;5.45;0.356;2.96;3.89;0.762
Blake Griffin;2012-2013;REG;Clippers;80;32.48;18.00;2.33;5.95;8.28;3.74;1.21;0.63;2.31;2.89;7.21;13.40;0.538;0.06;0.35;0.179;3.51;5.33;0.660
Al Jefferson;2012-2013;REG;Jazz;78;33.05;17.83;2.00;7.23;9.23;2.10;1.03;1.14;1.35;2.18;7.83;15.85;0.494;0.03;0.22;0.117;2.14;2.78;0.770
Tim Duncan;2012-2013;REG;Spurs;69;30.12;17.78;1.80;8.14;9.94;2.67;0.72;2.65;2.13;1.70;7.10;14.14;0.502;0.03;0.10;0.286;3.55;4.35;0.817
Kemba Walker;2012-2013;REG;Bobcats;82;34.86;17.74;0.73;2.72;3.45;5.74;1.95;0.38;2.44;1.87;6.41;15.17;0.423;1.30;4.05;0.322;3.61;4.52;0.798
Jrue Holiday;2012-2013;REG;Sixers;78;37.51;17.73;1.14;3.08;4.22;8.01;1.58;0.41;3.74;2.18;7.12;16.51;0.431;1.17;3.17;0.368;2.33;3.10;0.752
Josh Smith;2012-2013;REG;Hawks;76;35.30;17.46;1.75;6.66;8.41;4.22;1.24;1.79;2.97;2.30;7.24;15.55;0.465;0.80;2.64;0.303;2.18;4.22;0.517
Brandon Jennings;2012-2013;REG;Bucks;80;36.21;17.46;0.74;2.34;3.08;6.51;1.56;0.13;2.54;1.94;6.21;15.59;0.399;2.16;5.76;0.375;2.88;3.51;0.819
Paul George;2012-2013;REG;Pacers;79;37.62;17.43;1.11;6.52;7.63;4.14;1.81;0.65;2.95;2.87;6.24;14.89;0.419;2.15;5.94;0.362;2.80;3.47;0.807
Al Horford;2012-2013;REG;Hawks;74;37.25;17.42;2.64;7.59;10.23;3.24;1.05;1.05;1.99;2.20;7.78;14.32;0.543;0.04;0.08;0.499;1.81;2.81;0.644
