Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
Allen Iverson;2001-2002;REG;76ers;60;43.78;31.38;0.73;3.75;4.48;5.52;2.80;0.22;3.95;1.70;11.08;27.82;0.398;1.30;4.47;0.291;7.92;9.75;0.812
Shaquille O'Neal;2001-2002;REG;Lakers;67;36.13;27.19;3.51;7.16;10.67;2.99;0.61;2.04;2.55;2.97;10.63;18.34;0.579;0.00;0.01;0.000;5.94;10.70;0.555
Paul Pierce;2001-2002;REG;Celtics;82;40.25;26.15;0.99;5.91;6.90;3.18;1.88;1.05;2.94;2.89;8.62;19.49;0.442;2.56;6.34;0.404;6.34;7.84;0.809
Tracy McGrady;2001-2002;REG;Magic;76;38.06;25.63;1.97;5.87;7.84;5.26;1.57;0.96;2.49;1.83;9.41;20.87;0.451;1.36;3.72;0.364;5.46;7.30;0.748
Tim Duncan;2001-2002;REG;Spurs;82;40.62;25.48;3.27;9.44;12.71;3.74;0.74;2.48;3.21;2.65;9.32;18.34;0.508;0.01;0.12;0.100;6.83;8.55;0.799
Kobe Bryant;2001-2002;REG;Lakers;80;38.30;25.24;1.40;4.11;5.51;5.48;1.48;0.44;2.79;2.85;9.36;19.96;0.469;0.41;1.65;0.250;6.10;7.36;0.829
Vince Carter;2001-2002;REG;Raptors;60;39.79;24.73;2.30;2.92;5.22;3.98;1.57;0.75;2.57;3.18;9.32;21.78;0.428;2.02;5.22;0.387;4.08;5.12;0.798
Chris Webber;2001-2002;REG;Kings;54;38.37;24.48;2.78;7.33;10.11;4.80;1.67;1.41;2.93;3.35;9.85;19.91;0.495;0.09;0.35;0.263;4.69;6.26;0.749
Dirk Nowitzki;2001-2002;REG;Mavericks;76;38.03;23.41;1.58;8.36;9.93;2.45;1.09;1.01;1.91;2.92;7.89;16.55;0.477;1.83;4.61;0.397;5.79;6.79;0.853
Michael Jordan;2001-2002;REG;Wizards;60;34.48;22.92;0.83;4.82;5.65;5.17;1.42;0.43;2.70;1.98;9.18;22.07;0.416;0.17;0.88;0.189;4.38;5.55;0.790
Karl Malone;2001-2002;REG;Jazz;80;37.56;22.35;1.78;6.80;8.58;4.26;1.90;0.74;3.29;2.86;7.94;17.49;0.454;0.11;0.31;0.360;6.36;7.99;0.797
Antoine Walker;2001-2002;REG;Celtics;81;42.05;22.15;1.85;6.96;8.81;5.02;1.51;0.47;3.10;2.93;8.22;20.85;0.394;2.74;7.96;0.344;2.96;4.00;0.741
Gary Payton;2001-2002;REG;SuperSonics;82;40.20;22.13;0.98;3.85;4.83;8.99;1.60;0.32;2.55;2.18;8.99;19.24;0.467;0.90;2.88;0.314;3.26;4.09;0.797
Ray Allen;2001-2002;REG;Bucks;69;36.61;21.78;1.17;3.35;4.52;3.93;1.28;0.26;2.30;2.28;7.68;16.64;0.462;3.32;7.65;0.434;3.10;3.55;0.873
Cuttino Mobley;2001-2002;REG;Rockets;74;42.10;21.70;0.85;3.20;4.05;2.53;1.47;0.50;2.43;2.55;8.04;18.35;0.438;2.01;5.09;0.395;3.61;4.24;0.850
Steve Francis;2001-2002;REG;Rockets;57;41.06;21.65;1.79;5.25;7.04;6.35;1.25;0.44;3.88;3.02;7.37;17.67;0.417;1.19;3.68;0.324;5.72;7.40;0.773
