"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",5,50,133,58,3835,82,0.965920155793573,339.080495900828,118,61,3843,98,0.961407766990291,359.085884704294
"2",5,100,133,55,3838,82,0.966650438169426,337.406846548567,118,62,3842,98,0.961165048543689,358.143990035755
"3",5,150,131,55,3838,84,0.966163583252191,336.282719120205,118,62,3842,98,0.961165048543689,357.441785478321
"4",5,200,131,55,3838,84,0.966163583252191,335.459136886454,116,62,3842,100,0.960679611650485,356.92107240473
"5",5,250,131,52,3841,84,0.966893865628043,334.828458926698,116,61,3843,100,0.960922330097087,356.523080563091
"6",5,300,131,52,3841,84,0.966893865628043,334.330650255178,115,61,3843,101,0.960679611650485,356.209164847987
"7",5,350,131,52,3841,84,0.966893865628043,333.930620515659,115,61,3843,101,0.960679611650485,355.956428681707
"8",5,400,129,52,3841,86,0.966407010710808,333.606888981184,115,61,3843,101,0.960679611650485,355.751264729845
"9",5,450,128,53,3840,87,0.965920155793573,333.345420311375,115,61,3843,101,0.960679611650485,355.585180965427
"10",5,500,128,53,3840,87,0.965920155793573,333.136216705787,115,61,3843,101,0.960679611650485,355.452432717342
"11",5,550,128,54,3839,87,0.965676728334956,332.971362205604,115,61,3843,101,0.960679611650485,355.348655794686
"12",5,600,128,54,3839,87,0.965676728334956,332.843821632612,115,61,3843,101,0.960679611650485,355.269988579293
"13",5,650,128,54,3839,87,0.965676728334956,332.746674563436,115,61,3843,101,0.960679611650485,355.212456953727
"14",5,700,128,54,3839,87,0.965676728334956,332.672693368589,115,61,3843,101,0.960679611650485,355.171589003277
"15",5,750,128,54,3839,87,0.965676728334956,332.6142767895,115,62,3842,101,0.960436893203883,355.142312500339
"16",5,800,128,55,3838,87,0.965433300876339,332.563745330953,115,62,3842,101,0.960436893203883,355.119174891688
"17",5,850,129,55,3838,86,0.965676728334956,332.513928559784,115,62,3842,101,0.960436893203883,355.096844797806
"18",5,900,129,55,3838,86,0.965676728334956,332.458881683433,115,62,3842,101,0.960436893203883,355.070757340844
"19",5,950,128,55,3838,87,0.965433300876339,332.394515488769,115,63,3841,101,0.960194174757282,355.037706726954
"20",5,1000,128,55,3838,87,0.965433300876339,332.318944638254,115,63,3841,101,0.960194174757282,354.996202190325
"21",5,1050,128,55,3838,87,0.965433300876339,332.232451743961,115,62,3842,101,0.960436893203883,354.946485596623
"22",5,1100,128,55,3838,87,0.965433300876339,332.137089924077,114,61,3843,102,0.960436893203883,354.890224260123
"23",5,1150,127,54,3839,88,0.965433300876339,332.036051469567,114,61,3843,102,0.960436893203883,354.829990394482
"24",5,1200,127,54,3839,88,0.965433300876339,331.932976048982,114,61,3843,102,0.960436893203883,354.768682205175
"25",5,1250,127,53,3840,88,0.965676728334956,331.831352269796,114,61,3843,102,0.960436893203883,354.709024678491
"26",5,1300,125,52,3841,90,0.965433300876339,331.734104415459,114,60,3844,102,0.960679611650485,354.653231953371
"27",5,1350,125,51,3842,90,0.965676728334956,331.643385726078,114,60,3844,102,0.960679611650485,354.602849309184
"28",5,1400,124,49,3844,91,0.965920155793573,331.560546797434,113,59,3845,103,0.960679611650485,354.558745387253
"29",5,1450,124,49,3844,91,0.965920155793573,331.486222444456,113,59,3845,103,0.960679611650485,354.521203233913
"30",5,1500,124,49,3844,91,0.965920155793573,331.420478958363,112,59,3845,104,0.960436893203883,354.490058388734
"31",5,1550,124,48,3845,91,0.966163583252191,331.362976155159,112,59,3845,104,0.960436893203883,354.464844229635
"32",5,1600,124,48,3845,91,0.966163583252191,331.31311538364,112,59,3845,104,0.960436893203883,354.444920289883
"33",5,1650,123,47,3846,92,0.966163583252191,331.270159587108,112,59,3845,104,0.960436893203883,354.429572732165
"34",5,1700,123,47,3846,92,0.966163583252191,331.233322068325,112,59,3845,104,0.960436893203883,354.418085433782
"35",5,1750,122,47,3846,93,0.965920155793573,331.201826703517,112,59,3845,104,0.960436893203883,354.409785263286
"36",5,1800,122,46,3847,93,0.966163583252191,331.174945024687,111,59,3845,105,0.960194174757282,354.404067157905
"37",5,1850,122,46,3847,93,0.966163583252191,331.152016094557,111,58,3846,105,0.960436893203883,354.400404741172
"38",5,1900,122,46,3847,93,0.966163583252191,331.132454471011,111,58,3846,105,0.960436893203883,354.398351410533
"39",5,1950,122,46,3847,93,0.966163583252191,331.115750494252,111,57,3847,105,0.960679611650485,354.397535703482
"40",5,2000,122,45,3848,93,0.966407010710808,331.101466027585,111,57,3847,105,0.960679611650485,354.397653661694
"41",5,2050,122,45,3848,93,0.966407010710808,331.089227827777,111,57,3847,105,0.960679611650485,354.398460006137
"42",5,2100,122,45,3848,93,0.966407010710808,331.078719973009,111,57,3847,105,0.960679611650485,354.399759248896
"43",5,2150,122,45,3848,93,0.966407010710808,331.069676229526,111,57,3847,105,0.960679611650485,354.401397381174
"44",5,2200,122,45,3848,93,0.966407010710808,331.061872859117,111,56,3848,105,0.960922330097087,354.403254452225
"45",5,2250,122,45,3848,93,0.966407010710808,331.055122119143,111,56,3848,105,0.960922330097087,354.405238149009
"46",5,2300,121,45,3848,94,0.966163583252191,331.049266549312,111,56,3848,105,0.960922330097087,354.40727836557
"47",5,2350,121,45,3848,94,0.966163583252191,331.044174045615,111,56,3848,105,0.960922330097087,354.409322685969
"48",5,2400,121,45,3848,94,0.966163583252191,331.039733670443,111,56,3848,105,0.960922330097087,354.41133267512
"49",5,2450,121,45,3848,94,0.966163583252191,331.035852123381,111,56,3848,105,0.960922330097087,354.413280863668
"50",5,2500,121,45,3848,94,0.966163583252191,331.032450788938,111,56,3848,105,0.960922330097087,354.415148317033
"51",5,2550,121,45,3848,94,0.966163583252191,331.029463278786,111,56,3848,105,0.960922330097087,354.416922688724
"52",5,2600,121,45,3848,94,0.966163583252191,331.026833392175,111,56,3848,105,0.960922330097087,354.418596670645
"53",5,2650,121,45,3848,94,0.966163583252191,331.024513426774,111,56,3848,105,0.960922330097087,354.420166765942
"54",5,2700,121,45,3848,94,0.966163583252191,331.022462781045,111,56,3848,105,0.960922330097087,354.421632322139
"55",5,2750,121,45,3848,94,0.966163583252191,331.020646798142,111,56,3848,105,0.960922330097087,354.422994773169
"56",5,2800,121,45,3848,94,0.966163583252191,331.019035809138,111,56,3848,105,0.960922330097087,354.42425704827
"57",5,2850,121,45,3848,94,0.966163583252191,331.017604340559,111,56,3848,105,0.960922330097087,354.425423113679
"58",5,2900,121,45,3848,94,0.966163583252191,331.016330457037,111,56,3848,105,0.960922330097087,354.426497619623
"59",5,2950,121,45,3848,94,0.966163583252191,331.015195215231,111,56,3848,105,0.960922330097087,354.427485630545
