"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",7,50,1720,1333,2560,0,0.762515588811687,5165.41875441686,216,1912,1992,0,0.535922330097087,9610.68962160685
"2",7,100,1720,1315,2578,0,0.765722430073045,5005.27764502929,216,1902,2002,0,0.538349514563107,9398.41078200712
"3",7,150,1720,1286,2607,0,0.770889007660787,4843.94358000825,216,1880,2024,0,0.543689320388349,9185.83553793999
"4",7,200,1720,1266,2627,0,0.774452164617851,4682.08775638185,216,1858,2046,0,0.549029126213592,8972.23297446969
"5",7,250,1720,1239,2654,0,0.779262426509888,4524.29429565997,216,1839,2065,0,0.553640776699029,8761.23127005093
"6",7,300,1720,1207,2686,0,0.78496347764119,4371.70117938999,216,1808,2096,0,0.561165048543689,8553.72896041016
"7",7,350,1720,1176,2717,0,0.790486370924639,4224.1720692991,216,1790,2114,0,0.565533980582524,8349.55383473015
"8",7,400,1720,1155,2738,0,0.794227685729556,4081.2588628873,216,1766,2138,0,0.571359223300971,8148.27261718573
"9",7,450,1720,1132,2761,0,0.79832531623018,3942.49801179602,216,1750,2154,0,0.575242718446602,7949.44735107035
"10",7,500,1720,1109,2784,0,0.802422946730803,3807.4821547623,216,1738,2166,0,0.578155339805825,7752.69779156985
"11",7,550,1720,1088,2805,0,0.806164261535721,3675.864350705,216,1725,2179,0,0.581310679611651,7557.70486814691
"12",7,600,1720,1065,2828,0,0.810261892036344,3547.34541871433,216,1702,2202,0,0.586893203883495,7364.19968664272
"13",7,650,1720,1043,2850,0,0.814181364689115,3421.66068683138,216,1686,2218,0,0.590776699029126,7171.95238149672
"14",7,700,1720,1014,2879,0,0.819347942276857,3298.57146572672,216,1661,2243,0,0.596844660194175,6980.76516663916
"15",7,750,1720,993,2900,0,0.823089257081774,3177.86258669741,216,1643,2261,0,0.60121359223301,6790.47033913778
"16",7,800,1720,967,2926,0,0.827721361125958,3059.34552063288,216,1622,2282,0,0.606310679611651,6600.93250553725
"17",7,850,1720,942,2951,0,0.832175307322288,2942.86558346093,216,1602,2302,0,0.611165048543689,6412.0537160203
"18",7,900,1720,926,2967,0,0.835025832887939,2828.31121780406,216,1590,2314,0,0.614077669902913,6223.78012349244
"19",7,950,1720,911,2982,0,0.837698200605737,2715.62326045437,216,1570,2334,0,0.618932038834951,6036.109001176
"20",7,1000,1720,886,3007,0,0.842152146802067,2604.80241578182,216,1549,2355,0,0.624029126213592,5849.09526326193
"21",7,1050,1720,865,3028,0,0.845893461606984,2495.91374593452,216,1523,2381,0,0.630339805825243,5662.85692976077
"22",7,1100,1720,843,3050,0,0.849812934259754,2389.08768107648,216,1491,2413,0,0.638106796116505,5477.57922810386
"23",7,1150,1720,823,3070,0,0.853376091216818,2284.51765346459,216,1464,2440,0,0.644660194174757,5293.51721805253
"24",7,1200,1720,807,3086,0,0.856226616782469,2182.45482782673,216,1441,2463,0,0.650242718446602,5110.99692608165
"25",7,1250,1720,774,3119,0,0.862105825761625,2083.20049011423,216,1416,2488,0,0.65631067961165,4930.41493504383
"26",7,1300,1720,744,3149,0,0.867450561197221,1987.09651220066,216,1385,2519,0,0.663834951456311,4752.23618809344
"27",7,1350,1720,713,3180,0,0.87297345448067,1894.51404263173,216,1366,2538,0,0.668446601941748,4576.98949254428
"28",7,1400,1712,678,3215,8,0.877783716372706,1805.84032626498,216,1352,2552,0,0.671844660194175,4405.25996329982
