"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",2,20,67,0,215,148,0.655813953488372,284.854336322668,215,567,3337,1,0.862135922330097,969.166497192598
"2",2,40,112,0,215,103,0.76046511627907,241.903205637242,215,698,3206,1,0.830339805825243,1446.84990306369
"3",2,60,121,0,215,94,0.781395348837209,223.500854018582,215,740,3164,1,0.820145631067961,1747.79190512109
"4",2,80,127,0,215,88,0.795348837209302,212.10629458564,215,765,3139,1,0.814077669902913,1950.61797109959
"5",2,100,135,1,214,80,0.811627906976744,203.585908097179,215,784,3120,1,0.809466019417476,2097.51872850306
"6",2,120,135,1,214,80,0.811627906976744,196.489956843879,216,794,3110,0,0.807281553398058,2210.60635315175
"7",2,140,140,1,214,75,0.823255813953488,190.20018670485,216,805,3099,0,0.804611650485437,2302.19558236189
"8",2,160,142,2,213,73,0.825581395348837,184.421239957541,216,819,3085,0,0.80121359223301,2379.54768149889
"9",2,180,143,3,212,72,0.825581395348837,179.001263242972,216,829,3075,0,0.79878640776699,2447.16193833153
"10",2,200,145,3,212,70,0.830232558139535,173.857965773942,216,836,3068,0,0.797087378640777,2507.94833621311
"11",2,220,146,3,212,69,0.832558139534884,168.944884148665,216,848,3056,0,0.794174757281553,2563.85813202565
"12",2,240,148,3,212,67,0.837209302325581,164.234877013399,216,853,3051,0,0.792961165048544,2616.23818515832
"13",2,260,149,3,212,66,0.83953488372093,159.711613766723,216,867,3037,0,0.789563106796117,2666.03856797933
"14",2,280,150,3,212,65,0.841860465116279,155.364987721396,216,882,3022,0,0.785922330097087,2713.93930860778
"15",2,300,151,3,212,64,0.844186046511628,151.188542215396,216,896,3008,0,0.78252427184466,2760.4309163303
"16",2,320,153,3,212,62,0.848837209302326,147.177969259397,216,902,3002,0,0.781067961165049,2805.86750265772
"17",2,340,154,3,212,61,0.851162790697674,143.330200894312,216,907,2997,0,0.779854368932039,2850.50303797837
"18",2,360,154,3,212,61,0.851162790697674,139.642840558993,216,912,2992,0,0.778640776699029,2894.51684616968
"19",2,380,155,4,211,60,0.851162790697674,136.113797319195,216,927,2977,0,0.775,2938.03199382069
"20",2,400,158,4,211,57,0.858139534883721,132.741046224916,216,940,2964,0,0.771844660194175,2981.12884287245
"21",2,420,159,4,211,56,0.86046511627907,129.522470473883,216,946,2958,0,0.770388349514563,3023.85522264403
"22",2,440,161,5,210,54,0.862790697674419,126.455758887328,216,952,2952,0,0.768932038834951,3066.23418498421
"23",2,460,164,8,207,51,0.862790697674419,123.53834225634,216,963,2941,0,0.76626213592233,3108.26999795085
"24",2,480,165,8,207,50,0.865116279069767,120.767357923682,216,969,2935,0,0.764805825242718,3149.9528338807
"25",2,500,167,8,207,48,0.869767441860465,118.13963540053,216,976,2928,0,0.763106796116505,3191.26247471028
"26",2,520,169,8,207,46,0.874418604651163,115.651697899055,216,981,2923,0,0.761893203883495,3232.17126648791
"27",2,540,174,8,207,41,0.886046511627907,113.299775957208,216,984,2920,0,0.761165048543689,3272.64649160999
"28",2,560,174,9,206,41,0.883720930232558,111.079830165971,216,993,2911,0,0.758980582524272,3312.65228244116
"29",2,580,174,10,205,41,0.881395348837209,108.987580570775,216,997,2907,0,0.758009708737864,3352.15116792068
"30",2,600,174,10,205,41,0.881395348837209,107.018540720081,216,1006,2898,0,0.755825242718447,3391.10532174834
"31",2,620,175,10,205,40,0.883720930232558,105.168054642606,216,1021,2883,0,0.752184466019417,3429.47756420974
"32",2,640,176,10,205,39,0.886046511627907,103.431335289637,216,1031,2873,0,0.749757281553398,3467.2321578443
"33",2,660,179,10,205,36,0.893023255813953,101.803503203314,216,1042,2862,0,0.747087378640777,3504.33542867985
"34",2,680,180,10,205,35,0.895348837209302,100.279624377453,216,1050,2854,0,0.745145631067961,3540.75623870621
"35",2,700,183,11,204,32,0.9,98.8547464698786,216,1060,2844,0,0.742718446601942,3576.46633093267
"36",2,720,186,11,204,29,0.906976744186046,97.523932705728,216,1065,2839,0,0.741504854368932,3611.44056525014
"37",2,740,189,14,201,26,0.906976744186046,96.2822929791456,216,1074,2830,0,0.739320388349515,3645.65706101062
"38",2,760,190,15,200,25,0.906976744186046,95.1250118143567,216,1082,2822,0,0.737378640776699,3679.09726046856
"39",2,780,191,15,200,24,0.909302325581395,94.0473729846951,216,1088,2816,0,0.735922330097087,3711.74592579869
"40",2,800,191,17,198,24,0.904651162790698,93.0447807081505,216,1092,2812,0,0.73495145631068,3743.59108118329
"41",2,820,192,17,198,23,0.906976744186046,92.112777439647,216,1100,2804,0,0.733009708737864,3774.62391035455
"42",2,840,192,17,198,23,0.906976744186046,91.2470583633955,216,1105,2799,0,0.731796116504854,3804.83861894051
"43",2,860,192,17,198,23,0.906976744186046,90.4434827538341,216,1116,2788,0,0.729126213592233,3834.23226996199
"44",2,880,192,17,198,23,0.906976744186046,89.698082422024,216,1127,2777,0,0.726456310679612,3862.80459985902
"45",2,900,192,18,197,23,0.904651162790698,89.0070674974508,216,1133,2771,0,0.725,3890.55782148632
"46",2,920,192,19,196,23,0.902325581395349,88.3668298149068,216,1136,2768,0,0.724271844660194,3917.49641961659
"47",2,940,192,19,196,23,0.902325581395349,87.7739441844704,216,1141,2763,0,0.723058252427184,3943.62694363719
"48",2,960,192,20,195,23,0.9,87.2251678216442,216,1144,2760,0,0.722330097087379,3968.95780132921
"49",2,980,193,20,195,22,0.902325581395349,86.7174382064041,216,1152,2752,0,0.720388349514563,3993.49905688515
