"","H","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","Train-CE","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","Val-CE"
"1",3,10,84,0,215,131,0.304651162790698,254.591773326448,212,462,3442,4,0.113106796116505,978.539234793494
"2",3,20,103,0,215,112,0.26046511627907,248.470564937947,215,572,3332,1,0.139077669902913,1322.07143826177
"3",3,30,117,0,215,98,0.227906976744186,201.924352668154,215,639,3265,1,0.155339805825243,1552.63347461202
"4",3,40,114,0,215,101,0.234883720930233,175.81959987401,215,650,3254,1,0.158009708737864,1912.11354451333
"5",3,50,116,0,215,99,0.230232558139535,158.56476607756,215,663,3241,1,0.161165048543689,2219.54591973244
"6",3,60,116,0,215,99,0.230232558139535,150.502733779203,215,672,3232,1,0.163349514563107,2416.67000563811
"7",3,70,117,0,215,98,0.227906976744186,143.785330433165,215,679,3225,1,0.16504854368932,2596.58143576427
"8",3,80,117,0,215,98,0.227906976744186,137.955327276211,215,689,3215,1,0.16747572815534,2765.35424019754
"9",3,90,118,0,215,97,0.225581395348837,132.554366115324,215,698,3206,1,0.169660194174757,2928.93270387422
"10",3,100,121,0,215,94,0.218604651162791,127.409174735119,215,709,3195,1,0.172330097087379,3089.64213627359
"11",3,110,123,0,215,92,0.213953488372093,122.576838258663,215,718,3186,1,0.174514563106796,3246.30152524477
"12",3,120,125,0,215,90,0.209302325581395,118.116650197316,215,726,3178,1,0.176456310679612,3397.76198703605
"13",3,130,131,0,215,84,0.195348837209302,113.963612654343,215,748,3156,1,0.181796116504854,3545.86887163693
"14",3,140,137,0,215,78,0.181395348837209,109.875760721653,215,762,3142,1,0.185194174757282,3698.98384705011
"15",3,150,143,1,214,72,0.169767441860465,104.806337516166,215,825,3079,1,0.200485436893204,3891.44024684167
"16",3,160,191,5,210,24,0.0674418604651163,94.657587608466,216,1220,2684,0,0.296116504854369,4258.82218767535
"17",3,170,191,5,210,24,0.0674418604651163,90.3431862559668,216,1241,2663,0,0.30121359223301,4358.76944044946
"18",3,180,193,5,210,22,0.0627906976744186,86.2626408771473,216,1255,2649,0,0.304611650485437,4499.73282621745
"19",3,190,193,5,210,22,0.0627906976744186,82.521116659933,216,1280,2624,0,0.310679611650485,4694.4539679954
"20",3,200,193,5,210,22,0.0627906976744186,80.1755501921802,216,1302,2602,0,0.316019417475728,4847.35145733754
