"","H","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","Val-TP","Val-FP","Val-TN","Val-FN","Val-%"
"1",10,2,1720,1000,2893,0,0.216778668978972,216,1694,2210,0,0.698268755152514
"2",10,4,1720,3335,558,0,1.4640035118525,216,3472,432,0,5.35802469135802
"3",10,6,1720,3765,128,0,2.03733766233766,216,3821,83,0,12.7792642140468
"4",10,8,1720,3811,82,0,2.11487236403996,216,3847,57,0,14.0915750915751
"5",10,10,1720,760,3133,0,0.156604162373789,216,1475,2429,0,0.55765595463138
