"","H","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","Train-CE","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","Val-CE"
"1",2,20,32,0,215,183,0.425581395348837,442.927374085164,209,476,3428,7,0.217233009708738,846.36646263245
"2",2,40,61,0,215,154,0.358139534883721,395.255421794278,215,611,3293,1,0.248543689320388,1237.95660780789
"3",2,60,77,0,215,138,0.32093023255814,349.544271557757,216,665,3239,0,0.261407766990291,1841.52163548451
"4",2,80,73,0,215,142,0.330232558139535,343.346062066182,216,650,3254,0,0.257766990291262,2094.12323210455
"5",2,100,85,0,215,130,0.302325581395349,309.099718144948,216,664,3240,0,0.261165048543689,2332.78441585602
"6",2,120,86,0,215,129,0.3,297.435407481996,215,655,3249,1,0.259223300970874,2457.96019686903
"7",2,140,89,0,215,126,0.293023255813953,286.13553024553,215,647,3257,1,0.257281553398058,2574.85123173034
"8",2,160,92,0,215,123,0.286046511627907,274.71908280312,215,646,3258,1,0.257038834951456,2702.83940590937
"9",2,180,93,0,215,122,0.283720930232558,265.6513391306,215,647,3257,1,0.257281553398058,2816.42512419849
"10",2,200,93,0,215,122,0.283720930232558,258.313968497782,215,647,3257,1,0.257281553398058,2916.52254867866
"11",2,220,93,0,215,122,0.283720930232558,251.699914588767,215,648,3256,1,0.25752427184466,3008.78170200993
"12",2,240,92,0,215,123,0.286046511627907,244.629671141618,215,646,3258,1,0.257038834951456,3103.36918793333
"13",2,260,96,0,215,119,0.276744186046512,237.558346246368,215,645,3259,1,0.256796116504854,3200.96079013332
"14",2,280,98,0,215,117,0.272093023255814,230.749637863461,215,645,3259,1,0.256796116504854,3299.62972420041
"15",2,300,98,0,215,117,0.272093023255814,224.226320945536,215,647,3257,1,0.257281553398058,3397.96686429807
"16",2,320,98,0,215,117,0.272093023255814,217.94970803658,215,649,3255,1,0.257766990291262,3495.2534062819
"17",2,340,99,0,215,116,0.269767441860465,211.875109043129,215,651,3253,1,0.258252427184466,3591.21737301045
"18",2,360,99,0,215,116,0.269767441860465,205.967162644537,215,653,3251,1,0.25873786407767,3685.80259186192
"19",2,380,99,0,215,116,0.269767441860465,200.201575952482,215,654,3250,1,0.258980582524272,3779.04313069022
"20",2,400,99,0,215,116,0.269767441860465,194.562966860874,215,658,3246,1,0.25995145631068,3871.01337648093
"21",2,420,100,0,215,115,0.267441860465116,189.042050249726,215,660,3244,1,0.260436893203883,3961.81815380288
"22",2,440,102,0,215,113,0.262790697674419,183.633076824974,215,665,3239,1,0.261650485436893,4051.60085902542
"23",2,460,103,0,215,112,0.26046511627907,178.331729762259,215,668,3236,1,0.262378640776699,4140.55814264303
"24",2,480,106,0,215,109,0.253488372093023,173.133506060086,215,671,3233,1,0.263106796116505,4228.95575015431
"25",2,500,109,0,215,106,0.246511627906977,168.032653993456,215,672,3232,1,0.263349514563107,4317.14216818902
"26",2,520,109,0,215,106,0.246511627906977,163.022087811119,215,675,3229,1,0.264077669902913,4405.55324092832
"27",2,540,110,0,215,105,0.244186046511628,158.095650717695,215,677,3227,1,0.264563106796116,4494.68643995329
"28",2,560,110,0,215,105,0.244186046511628,153.255739744511,215,679,3225,1,0.26504854368932,4584.98969647376
"29",2,580,111,0,215,104,0.241860465116279,148.529107164191,215,683,3221,1,0.266019417475728,4676.57884054505
"30",2,600,112,0,215,103,0.23953488372093,143.98200460069,215,686,3218,1,0.266747572815534,4768.83117665889
"31",2,620,114,0,215,101,0.234883720930233,139.704057364717,215,687,3217,1,0.266990291262136,4860.34819497018
"32",2,640,116,0,215,99,0.230232558139535,135.756136065314,215,688,3216,1,0.267233009708738,4949.68959870713
"33",2,660,116,0,215,99,0.230232558139535,132.14297662434,215,690,3214,1,0.267718446601942,5036.09139924221
"34",2,680,116,0,215,99,0.230232558139535,128.83320171076,215,691,3213,1,0.267961165048544,5119.44765972042
"35",2,700,116,0,215,99,0.230232558139535,125.786504225486,215,692,3212,1,0.268203883495146,5199.96710058566
"36",2,720,118,0,215,97,0.225581395348837,122.966931763681,215,694,3210,1,0.26868932038835,5277.92984083655
"37",2,740,118,0,215,97,0.225581395348837,120.346044801846,215,698,3206,1,0.269660194174757,5353.58506848054
"38",2,760,119,0,215,96,0.223255813953488,117.90212475912,215,701,3203,1,0.270388349514563,5427.12484224138
"39",2,780,121,0,215,94,0.218604651162791,115.618500248936,215,701,3203,1,0.270388349514563,5498.68765926986
"40",2,800,121,0,215,94,0.218604651162791,113.482043913091,215,702,3202,1,0.270631067961165,5568.3701086558
"41",2,820,121,0,215,94,0.218604651162791,111.482059890297,215,703,3201,1,0.270873786407767,5636.23847480442
"42",2,840,121,0,215,94,0.218604651162791,109.609519843855,215,706,3198,1,0.271601941747573,5702.33801948997
"43",2,860,122,0,215,93,0.216279069767442,107.856555372919,215,709,3195,1,0.272330097087379,5766.69979919938
"44",2,880,123,0,215,92,0.213953488372093,106.21612606093,215,710,3194,1,0.272572815533981,5829.34547691075
"45",2,900,123,0,215,92,0.213953488372093,104.681804069924,215,714,3190,1,0.273543689320388,5890.29065753826
"46",2,920,123,0,215,92,0.213953488372093,103.24763439093,215,719,3185,1,0.274757281553398,5949.54719982489
"47",2,940,124,1,214,91,0.213953488372093,101.908042786245,215,722,3182,1,0.275485436893204,6007.12486387143
"48",2,960,125,1,214,90,0.211627906976744,100.657772293556,215,726,3178,1,0.276456310679612,6063.03257221231
"49",2,980,128,1,214,87,0.204651162790698,99.4918355169981,215,729,3175,1,0.277184466019417,6117.27948606409
"50",2,1000,132,1,214,83,0.195348837209302,98.4054751053536,215,740,3164,1,0.279854368932039,6169.87601188056
