"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",3,50,1720,1255,2638,0,0.776411900944237,4952.30811539157,216,1856,2048,0,0.549514563106796,9846.84801424984
"2",3,100,1720,1231,2662,0,0.780687689292713,4816.1732106223,216,1839,2065,0,0.553640776699029,9647.88977873491
"3",3,150,1720,1212,2681,0,0.784072688401924,4681.59489595846,216,1818,2086,0,0.55873786407767,9449.97952620882
"4",3,200,1720,1189,2704,0,0.788170318902548,4548.62807730997,216,1796,2108,0,0.564077669902913,9253.00727404096
"5",3,250,1720,1173,2720,0,0.791020844468199,4417.3304550669,216,1768,2136,0,0.570873786407767,9056.85176136224
"6",3,300,1720,1151,2742,0,0.794940317120969,4287.72705764859,216,1752,2152,0,0.574757281553398,8861.39180936182
"7",3,350,1720,1125,2768,0,0.799572421165152,4159.82265685877,216,1730,2174,0,0.580097087378641,8666.51409037471
"8",3,400,1720,1101,2792,0,0.803848209513629,4033.61272997111,216,1714,2190,0,0.583980582524272,8472.11833444885
"9",3,450,1720,1080,2813,0,0.807589524318546,3909.09207633043,216,1691,2213,0,0.589563106796116,8278.11977296472
"10",3,500,1720,1053,2840,0,0.812399786210583,3786.26037275718,216,1680,2224,0,0.592233009708738,8084.44927986693
"11",3,550,1720,1025,2868,0,0.817388205950472,3665.12417654404,216,1659,2245,0,0.597330097087379,7891.05231439215
"12",3,600,1720,1008,2885,0,0.820416889363976,3545.69547003943,216,1644,2260,0,0.600970873786408,7697.88801887388
"13",3,650,1720,990,2903,0,0.823623730625334,3427.98774638434,216,1622,2282,0,0.606310679611651,7504.929445597
"14",3,700,1720,966,2927,0,0.827899518973811,3312.01142472442,216,1604,2300,0,0.610679611650485,7312.16504749211
"15",3,750,1720,935,2958,0,0.83342241225726,3197.77056570525,216,1596,2308,0,0.612621359223301,7119.60081117741
"16",3,800,1720,906,2987,0,0.838588989845003,3085.26234213797,216,1578,2326,0,0.616990291262136,6927.26222889783
"17",3,850,1720,893,3000,0,0.840905041867094,2974.479834003,216,1553,2351,0,0.623058252427184,6735.19573641341
"18",3,900,1720,872,3021,0,0.844646356672011,2865.41786334869,216,1540,2364,0,0.62621359223301,6543.46990580376
"19",3,950,1720,855,3038,0,0.847675040085516,2758.08098083542,216,1516,2388,0,0.632038834951456,6352.17712853086
"20",3,1000,1720,831,3062,0,0.851950828433993,2652.49240774549,216,1494,2410,0,0.637378640776699,6161.43653185425
"21",3,1050,1720,818,3075,0,0.854266880456084,2548.70270804673,216,1475,2429,0,0.641990291262136,5971.3984933054
"22",3,1100,1720,800,3093,0,0.857473721717442,2446.79717087909,216,1452,2452,0,0.647572815533981,5782.25057112478
"23",3,1150,1720,780,3113,0,0.861036878674506,2346.90123158875,216,1433,2471,0,0.652184466019417,5594.22419058381
"24",3,1200,1720,761,3132,0,0.864421877783716,2249.18361001747,216,1412,2492,0,0.657281553398058,5407.6011651695
"25",3,1250,1712,737,3156,8,0.867272403349368,2153.85706893159,216,1387,2517,0,0.663349514563107,5222.71910483668
"26",3,1300,1712,709,3184,8,0.872260823089257,2061.1767382427,216,1367,2537,0,0.668203883495146,5039.97488419414
"27",3,1350,1712,695,3198,8,0.874755032959202,1971.4358542513,216,1340,2564,0,0.674757281553398,4859.82549150593
"28",3,1400,1712,675,3218,8,0.878318189916266,1884.95863916358,216,1324,2580,0,0.678640776699029,4682.78567213751
"29",3,1450,1712,665,3228,8,0.880099768394798,1802.0900215571,216,1297,2607,0,0.685194174757282,4509.42181028797
"30",3,1500,1712,636,3257,8,0.885266345982541,1723.18206488448,216,1275,2629,0,0.690533980582524,4340.34152654473
"31",3,1550,1712,614,3279,8,0.889185818635311,1648.57735399875,216,1252,2652,0,0.696116504854369,4176.17861394673
"32",3,1600,1696,592,3301,24,0.89025476572243,1578.59014055409,216,1230,2674,0,0.701456310679612,4017.5732936201
"33",3,1650,1696,560,3333,24,0.895955816853732,1513.48665448803,216,1211,2693,0,0.706067961165049,3865.14838365991
"34",3,1700,1696,537,3356,24,0.900053447354356,1453.46649626137,216,1187,2717,0,0.711893203883495,3719.48277687147
"35",3,1750,1688,525,3368,32,0.900766078745769,1398.64726934665,216,1169,2735,0,0.71626213592233,3581.08443200589
"36",3,1800,1680,509,3384,40,0.902191341528594,1349.05446601183,216,1149,2755,0,0.721116504854369,3450.36564252667
"37",3,1850,1672,494,3399,48,0.903438446463567,1304.61804020294,216,1123,2781,0,0.727427184466019,3327.62341944162
"38",3,1900,1648,475,3418,72,0.902547657224301,1265.17617346053,216,1101,2803,0,0.732766990291262,3213.02730036842
