"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",6,50,139,60,3833,76,0.966893865628043,342.91549675974,125,68,3836,91,0.961407766990291,365.414490347488
"2",6,100,137,60,3833,78,0.966407010710808,342.339900040946,125,68,3836,91,0.961407766990291,365.352166453945
"3",6,150,138,60,3833,77,0.966650438169426,341.964220934202,125,67,3837,91,0.961650485436893,365.015737721863
"4",6,200,138,61,3832,77,0.966407010710808,341.660217893365,125,66,3838,91,0.961893203883495,364.674835011412
"5",6,250,138,61,3832,77,0.966407010710808,341.399826304028,125,66,3838,91,0.961893203883495,364.37006501828
"6",6,300,138,60,3833,77,0.966650438169426,341.171478708003,125,66,3838,91,0.961893203883495,364.101932604678
"7",6,350,138,60,3833,77,0.966650438169426,340.970509609913,125,66,3838,91,0.961893203883495,363.866273513362
"8",6,400,138,59,3834,77,0.966893865628043,340.795114858803,125,66,3838,91,0.961893203883495,363.659347312597
"9",6,450,138,59,3834,77,0.966893865628043,340.644354444997,125,66,3838,91,0.961893203883495,363.478083192347
"10",6,500,138,59,3834,77,0.966893865628043,340.517290142639,125,66,3838,91,0.961893203883495,363.319893045081
"11",6,550,138,59,3834,77,0.966893865628043,340.412693962838,125,66,3838,91,0.961893203883495,363.182607845761
"12",6,600,138,59,3834,77,0.966893865628043,340.32894990763,125,66,3838,91,0.961893203883495,363.06442659613
"13",6,650,138,59,3834,77,0.966893865628043,340.263949035798,125,66,3838,91,0.961893203883495,362.96375342869
"14",6,700,139,59,3834,76,0.96713729308666,340.214943671245,125,66,3838,91,0.961893203883495,362.878919859961
"15",6,750,139,59,3834,76,0.96713729308666,340.178442943831,125,66,3838,91,0.961893203883495,362.807896966597
"16",6,800,139,60,3833,76,0.966893865628043,340.150268039953,125,66,3838,91,0.961893203883495,362.748138892889
"17",6,850,139,60,3833,76,0.966893865628043,340.125840203699,125,67,3837,91,0.961650485436893,362.696655616439
"18",6,900,139,60,3833,76,0.966893865628043,340.100678730601,125,67,3837,91,0.961650485436893,362.650317530998
"19",6,950,139,60,3833,76,0.966893865628043,340.070990024252,125,67,3837,91,0.961650485436893,362.606295754268
"20",6,1000,139,60,3833,76,0.966893865628043,340.034179097843,125,67,3837,91,0.961650485436893,362.56248621394
"21",6,1050,139,59,3834,76,0.96713729308666,339.989134450092,125,67,3837,91,0.961650485436893,362.517775477021
"22",6,1100,139,59,3834,76,0.96713729308666,339.936215099905,125,67,3837,91,0.961650485436893,362.472072640768
"23",6,1150,139,59,3834,76,0.96713729308666,339.876967332138,125,67,3837,91,0.961650485436893,362.426119792669
"24",6,1200,139,59,3834,76,0.96713729308666,339.813675260766,125,66,3838,91,0.961893203883495,362.381163377398
"25",6,1250,139,58,3835,76,0.967380720545277,339.748876963907,125,66,3838,91,0.961893203883495,362.33859528832
"26",6,1300,138,58,3835,77,0.96713729308666,339.68495670798,125,66,3838,91,0.961893203883495,362.299655320331
"27",6,1350,138,56,3837,77,0.967624148003895,339.623874310284,125,66,3838,91,0.961893203883495,362.265244378387
"28",6,1400,138,56,3837,77,0.967624148003895,339.567040896421,125,65,3839,91,0.962135922330097,362.235853783002
"29",6,1450,138,56,3837,77,0.967624148003895,339.515314079317,125,65,3839,91,0.962135922330097,362.211585942821
"30",6,1500,138,56,3837,77,0.967624148003895,339.469070218499,125,65,3839,91,0.962135922330097,362.192229922153
"31",6,1550,138,56,3837,77,0.967624148003895,339.42831274071,125,65,3839,91,0.962135922330097,362.177357954029
"32",6,1600,138,55,3838,77,0.967867575462512,339.392785748353,125,65,3839,91,0.962135922330097,362.166418676823
"33",6,1650,138,54,3839,77,0.96811100292113,339.362074478684,125,65,3839,91,0.962135922330097,362.158813806105
"34",6,1700,138,54,3839,77,0.96811100292113,339.335684555327,125,65,3839,91,0.962135922330097,362.153953708636
"35",6,1750,137,54,3839,78,0.967867575462512,339.313098961761,125,65,3839,91,0.962135922330097,362.151292888603
"36",6,1800,136,54,3839,79,0.967624148003895,339.293815460498,125,65,3839,91,0.962135922330097,362.150349091572
"37",6,1850,136,54,3839,79,0.967624148003895,339.277368649447,125,64,3840,91,0.962378640776699,362.150710461885
"38",6,1900,136,54,3839,79,0.967624148003895,339.2633409159,125,64,3840,91,0.962378640776699,362.152034822515
"39",6,1950,136,54,3839,79,0.967624148003895,339.251365939402,125,64,3840,91,0.962378640776699,362.154044320627
"40",6,2000,136,54,3839,79,0.967624148003895,339.241127567899,125,64,3840,91,0.962378640776699,362.156517781435
"41",6,2050,136,54,3839,79,0.967624148003895,339.2323560951,125,64,3840,91,0.962378640776699,362.159282326021
"42",6,2100,136,54,3839,79,0.967624148003895,339.224823306539,124,64,3840,92,0.962135922330097,362.162205199564
"43",6,2150,136,54,3839,79,0.967624148003895,339.21833716132,124,64,3840,92,0.962135922330097,362.165186323529
"44",6,2200,136,54,3839,79,0.967624148003895,339.212736621452,124,64,3840,92,0.962135922330097,362.168151798553
"45",6,2250,136,54,3839,79,0.967624148003895,339.20788690177,123,64,3840,93,0.961893203883495,362.171048408014
"46",6,2300,136,54,3839,79,0.967624148003895,339.203675260688,123,64,3840,93,0.961893203883495,362.173839072062
"47",6,2350,136,54,3839,79,0.967624148003895,339.200007359635,123,64,3840,93,0.961893203883495,362.176499152233
"48",6,2400,136,54,3839,79,0.967624148003895,339.196804166948,123,64,3840,93,0.961893203883495,362.179013488333
