"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",8,50,1720,1256,2637,0,0.776233743096383,5150.76616326261,216,1855,2049,0,0.549757281553398,9823.80354091937
"2",8,100,1720,1245,2648,0,0.778193479422769,5037.14451230547,216,1855,2049,0,0.549757281553398,9669.98004525028
"3",8,150,1720,1227,2666,0,0.781400320684126,4907.00919783344,216,1838,2066,0,0.553883495145631,9490.01395240432
"4",8,200,1720,1208,2685,0,0.784785319793337,4769.15831113747,216,1819,2085,0,0.558495145631068,9298.92485428414
"5",8,250,1720,1182,2711,0,0.78941742383752,4629.07328797396,216,1797,2107,0,0.563834951456311,9102.81948918487
"6",8,300,1720,1157,2736,0,0.79387137003385,4489.25605411335,216,1784,2120,0,0.566990291262136,8904.61578574505
"7",8,350,1720,1142,2751,0,0.796543737751648,4350.87652796536,216,1757,2147,0,0.573543689320388,8705.78109600962
"8",8,400,1720,1118,2775,0,0.800819526100125,4214.49057772283,216,1736,2168,0,0.578640776699029,8507.07491897754
"9",8,450,1720,1104,2789,0,0.803313735970069,4080.35307997794,216,1717,2187,0,0.583252427184466,8308.89073744912
"10",8,500,1720,1087,2806,0,0.806342419383574,3948.56617003623,216,1703,2201,0,0.586650485436893,8111.42614894764
"11",8,550,1720,1062,2831,0,0.810796365579904,3819.15329606709,216,1687,2217,0,0.590533980582524,7914.7732564426
"12",8,600,1720,1046,2847,0,0.813646891145555,3692.09602416216,216,1671,2233,0,0.594417475728155,7718.96862782542
"13",8,650,1720,1017,2876,0,0.818813468733298,3567.35157526003,216,1659,2245,0,0.597330097087379,7524.02147092074
"14",8,700,1720,995,2898,0,0.822732941386068,3444.86125279189,216,1644,2260,0,0.600970873786408,7329.92976418454
"15",8,750,1720,978,2915,0,0.825761624799572,3324.55560622971,216,1626,2278,0,0.605339805825243,7136.68965571223
"16",8,800,1720,962,2931,0,0.828612150365224,3206.3593625011,216,1604,2300,0,0.610679611650485,6944.3010684992
"17",8,850,1720,945,2948,0,0.831640833778728,3090.19739510274,216,1585,2319,0,0.615291262135922,6752.77132911476
"18",8,900,1720,925,2968,0,0.835203990735792,2976.00201649531,216,1573,2331,0,0.618203883495146,6562.11827128336
"19",8,950,1720,896,2997,0,0.840370568323535,2863.72134478929,216,1556,2348,0,0.622330097087379,6372.37409201487
"20",8,1000,1720,880,3013,0,0.843221093889186,2753.32815818648,216,1532,2372,0,0.628155339805825,6183.59082127615
"21",8,1050,1720,859,3034,0,0.846962408694103,2644.82842999245,216,1515,2389,0,0.632281553398058,5995.8475462685
"22",8,1100,1720,838,3055,0,0.85070372349902,2538.26867278269,216,1498,2406,0,0.636407766990291,5809.25877247185
"23",8,1150,1720,813,3080,0,0.85515766969535,2433.74134494697,216,1469,2435,0,0.643446601941748,5623.98282396145
"24",8,1200,1720,798,3095,0,0.857830037413148,2331.38783794781,216,1453,2451,0,0.647330097087379,5440.2291298306
"25",8,1250,1720,772,3121,0,0.862462141457331,2231.39885830385,216,1429,2475,0,0.653155339805825,5258.26353198685
"26",8,1300,1720,748,3145,0,0.866737929805808,2134.01223465965,216,1398,2506,0,0.660679611650485,5078.41116483334
"27",8,1350,1720,727,3166,0,0.870479244610725,2039.50825558214,216,1370,2534,0,0.66747572815534,4901.05677805976
"28",8,1400,1720,702,3191,0,0.874933190807055,1948.20258558042,216,1350,2554,0,0.672330097087379,4726.64247866306
"29",8,1450,1704,679,3214,16,0.876180295742027,1860.43669049097,216,1326,2578,0,0.678155339805825,4555.66276975807
"30",8,1500,1704,661,3232,16,0.879387137003385,1776.56564428393,216,1307,2597,0,0.682766990291262,4388.65657397848
"31",8,1550,1704,645,3248,16,0.882237662569036,1696.94329459093,216,1289,2615,0,0.687135922330097,4226.19579714969
"32",8,1600,1696,611,3282,24,0.886869766613219,1621.90508323871,216,1251,2653,0,0.696359223300971,4068.8700439589
"33",8,1650,1696,590,3303,24,0.890611081418136,1551.74931707774,216,1225,2679,0,0.702669902912621,3917.26741983178
"34",8,1700,1696,574,3319,24,0.893461606983788,1486.71825211117,216,1200,2704,0,0.70873786407767,3771.95194589196
"35",8,1750,1696,552,3341,24,0.897381079636558,1426.98082917316,216,1183,2721,0,0.712864077669903,3633.4388876048
"36",8,1800,1688,532,3361,32,0.899518973810796,1372.61911080119,216,1164,2740,0,0.71747572815534,3502.17006680537
"37",8,1850,1680,513,3380,40,0.901478710137182,1323.62028441183,216,1140,2764,0,0.723300970873786,3378.49174351297
"38",8,1900,1672,495,3398,48,0.903260288615714,1279.87547874251,216,1112,2792,0,0.730097087378641,3262.63769133158
"39",8,1950,1672,477,3416,48,0.906467129877071,1241.18568513633,216,1090,2814,0,0.735436893203884,3154.71954672245
"40",8,2000,1664,458,3435,56,0.908426866203456,1207.27400455702,216,1073,2831,0,0.739563106796116,3054.72547937658
"41",8,2050,1656,447,3446,64,0.908961339747016,1177.80253175992,216,1049,2855,0,0.745388349514563,2962.52697388593
"42",8,2100,1624,433,3460,96,0.905754498485658,1152.39166515014,216,1038,2866,0,0.748058252427184,2877.89236755284
"43",8,2150,1608,414,3479,112,0.906288972029218,1130.63958469795,216,1021,2883,0,0.752184466019417,2800.50502788101
"44",8,2200,1608,400,3493,112,0.908783181899163,1112.14000795822,216,998,2906,0,0.757766990291262,2729.98379416622
"45",8,2250,1608,392,3501,112,0.910208444681988,1096.49694891685,216,985,2919,0,0.760922330097087,2665.90350382196
"46",8,2300,1600,382,3511,120,0.910564760377695,1083.33587467562,216,966,2938,0,0.765533980582524,2607.81392029198
"47",8,2350,1576,375,3518,144,0.90753607696419,1072.31123119386,216,957,2947,0,0.767718446601942,2555.25599161092
"48",8,2400,1576,357,3536,144,0.910742918225548,1063.11071312998,216,946,2958,0,0.770388349514563,2507.77494678484
"49",8,2450,1576,355,3538,144,0.911099233921254,1055.45687247345,216,941,2963,0,0.771601941747573,2464.93019282719
"50",8,2500,1576,348,3545,144,0.912346338856227,1049.10672736949,216,929,2975,0,0.774514563106796,2426.30227942958
"51",8,2550,1576,342,3551,144,0.913415285943346,1043.84999487126,216,922,2982,0,0.77621359223301,2391.49736275533
"52",8,2600,1568,335,3558,152,0.913237128095493,1039.50647653767,216,908,2996,0,0.779611650485437,2360.14965672976
"53",8,2650,1568,331,3562,152,0.913949759486905,1035.9230103428,216,907,2997,0,0.779854368932039,2331.92234570545
"54",8,2700,1568,326,3567,152,0.914840548726171,1032.97028985296,216,904,3000,0,0.780582524271845,2306.50737792496
"55",8,2750,1552,322,3571,168,0.912702654551933,1030.53975450929,216,898,3006,0,0.782038834951456,2283.62448795847
"56",8,2800,1544,311,3582,176,0.913237128095493,1028.54067767509,216,891,3013,0,0.78373786407767,2263.01972320569
"57",8,2850,1544,306,3587,176,0.914127917334759,1026.8975216382,216,886,3018,0,0.78495145631068,2244.46368296482
"58",8,2900,1544,304,3589,176,0.914484233030465,1025.54758837839,216,883,3021,0,0.785679611650485,2227.74962220108
"59",8,2950,1536,299,3594,184,0.913949759486905,1024.43896817102,216,880,3024,0,0.786407766990291,2212.69152682447
"60",8,3000,1536,295,3598,184,0.914662390878318,1023.52877160362,216,873,3031,0,0.788106796116505,2199.12223226253
"61",8,3050,1520,293,3600,200,0.912168181008373,1022.78162140321,216,872,3032,0,0.788349514563107,2186.89163092375
"62",8,3100,1520,290,3603,200,0.912702654551933,1022.16837628089,216,869,3035,0,0.789077669902913,2175.8649951325
"63",8,3150,1520,288,3605,200,0.913058970247639,1021.66505804141,216,865,3039,0,0.79004854368932,2165.92142870593
"64",8,3200,1504,288,3605,216,0.910208444681988,1021.25195422175,216,861,3043,0,0.791019417475728,2156.95245117419
"65",8,3250,1504,285,3608,216,0.910742918225548,1020.91287064219,216,858,3046,0,0.791747572815534,2148.86071260884
"66",8,3300,1504,281,3612,216,0.911455549616961,1020.63451089585,216,855,3049,0,0.79247572815534,2141.55883324738
"67",8,3350,1504,280,3613,216,0.911633707464814,1020.40596260067,216,854,3050,0,0.792718446601942,2134.9683599167
"68",8,3400,1504,280,3613,216,0.911633707464814,1020.21827296511,216,854,3050,0,0.792718446601942,2129.01883017243
"69",8,3450,1504,277,3616,216,0.912168181008373,1020.06409875359,216,851,3053,0,0.793446601941748,2123.64693471934
"70",8,3500,1504,277,3616,216,0.912168181008373,1019.93741801651,216,850,3054,0,0.793689320388349,2118.7957688046
"71",8,3550,1504,276,3617,216,0.912346338856227,1019.83329295663,216,850,3054,0,0.793689320388349,2114.41416369405
"72",8,3600,1504,276,3617,216,0.912346338856227,1019.74767503852,216,849,3055,0,0.793932038834951,2110.45608992833
"73",8,3650,1504,276,3617,216,0.912346338856227,1019.67724493352,216,849,3055,0,0.793932038834951,2106.88012472201
"74",8,3700,1504,276,3617,216,0.912346338856227,1019.61928115044,216,849,3055,0,0.793932038834951,2103.64897656292
"75",8,3750,1504,275,3618,216,0.91252449670408,1019.57155226091,216,849,3055,0,0.793932038834951,2100.72906074864
"76",8,3800,1504,275,3618,216,0.91252449670408,1019.53222851424,216,848,3056,0,0.794174757281553,2098.09012024467
"77",8,3850,1504,275,3618,216,0.91252449670408,1019.49980937373,216,848,3056,0,0.794174757281553,2095.70488685409
"78",8,3900,1504,274,3619,216,0.912702654551933,1019.47306411972,216,848,3056,0,0.794174757281553,2093.54877823745
"79",8,3950,1504,273,3620,216,0.912880812399786,1019.45098317086,216,847,3057,0,0.794417475728155,2091.59962682304
"80",8,4000,1504,270,3623,216,0.913415285943346,1019.43273819431,216,847,3057,0,0.794417475728155,2089.83743709681
