"","H","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","Train-CE","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","Val-CE"
"1",4,20,34,0,215,181,0.42093023255814,442.514917830636,178,318,3586,38,0.523467786576671,737.71499696623
"2",4,40,70,0,215,145,0.337209302325581,343.117730035614,209,560,3344,7,0.505778345319609,1417.55758994186
"3",4,60,95,0,215,120,0.27906976744186,278.850700876499,216,700,3204,0,0.465532979711675,1861.6375721909
"4",4,80,110,0,215,105,0.244186046511628,246.352177292184,216,760,3144,0,0.212135922330097,2157.19175406841
"5",4,100,123,1,214,92,0.216279069767442,217.857220531032,216,805,3099,0,0.255426632852185,2349.02625167469
"6",4,120,133,2,213,82,0.195348837209302,197.450365364445,216,843,3061,0,0.352155946330457,2541.15063137515
"7",4,140,140,2,213,75,0.17906976744186,180.890884285604,216,874,3030,0,0.31654532330094,2749.4567585623
"8",4,160,143,1,214,72,0.169767441860465,174.091851199387,216,875,3029,0,0.212378640776699,2872.41962534449
"9",4,180,145,1,214,70,0.165116279069767,159.124656437313,216,868,3036,0,0.210679611650485,3803.25454499541
"10",4,200,142,1,214,73,0.172093023255814,154.458848518268,216,871,3033,0,0.211407766990291,4106.14685925149
"11",4,220,150,1,214,65,0.153488372093023,142.470274846297,216,884,3020,0,0.214563106796117,4397.66228554359
"12",4,240,150,1,214,65,0.153488372093023,138.376395746444,216,888,3016,0,0.215533980582524,4548.05856630608
"13",4,260,153,1,214,62,0.146511627906977,131.650796677855,216,894,3010,0,0.216990291262136,4768.02441901176
"14",4,280,154,1,214,61,0.144186046511628,127.384914687906,216,900,3004,0,0.218446601941748,4929.10096578495
"15",4,300,155,1,214,60,0.141860465116279,123.788585164929,216,904,3000,0,0.219417475728155,5055.01924718422
"16",4,320,155,1,214,60,0.141860465116279,120.537615333989,216,909,2995,0,0.220631067961165,5167.94587064603
"17",4,340,155,1,214,60,0.141860465116279,117.524931615388,216,914,2990,0,0.221844660194175,5273.77792030001
"18",4,360,155,1,214,60,0.141860465116279,114.705777898261,216,919,2985,0,0.223058252427184,5374.2703670874
"19",4,380,155,1,214,60,0.141860465116279,112.056392297022,216,922,2982,0,0.22378640776699,5470.09008258779
"20",4,400,155,1,214,60,0.141860465116279,109.5600947866,216,925,2979,0,0.224514563106796,5561.59408737817
"21",4,420,155,2,213,60,0.144186046511628,107.202828748077,216,931,2973,0,0.225970873786408,5649.05071824203
"22",4,440,167,5,210,48,0.123255813953488,104.971914662298,216,994,2910,0,0.24126213592233,5732.70405704056
"23",4,460,168,5,210,47,0.12093023255814,102.855651213575,216,1009,2895,0,0.244902912621359,5812.78949030986
